Country	HA200002	HA201416	ID	id_row
Afghanistan	2238.0	2793.1	Q889	0
Albania	157.6	148.1	Q222	1
Algeria	1845.2	3376.3	Q262	2
Angola	1170.0	2595.4	Q916	3
Antigua and Barbuda	0.0	0.0	Q781	4
Argentina	10624.3	11751.2	Q414	5
Armenia	184.9	194.7	Q399	6
Australia	17561.1	16976.0	Q408	7
Austria	816.8	787.0	Q40	8
Azerbaijan	813.2	986.9	Q227	9
Bahamas, The	0.1	0.1	Q778	10
Bangladesh	11588.1	11793.6	Q902	11
Barbados	0.1	0.0	Q244	12
Belarus	2310.0	2206.1	Q184	13
Belgium	310.5	327.5	Q31	14
Belize	23.0	28.9	Q242	15
Benin	960.1	1246.2	Q962	16
Bhutan	59.0	52.1	Q917	17
Bolivia	768.3	1260.3	Q750	18
Bosnia and Herzegovina	341.6	319.3	Q225	19
Botswana	96.5	100.3	Q963	20
Brazil	17883.4	20122.7	Q155	21
Brunei Darussalam	0.5	1.0	Q921	22
Bulgaria	2145.1	1816.6	Q219	23
Burkina Faso	3308.7	4017.6	Q965	24
Burundi	223.4	289.2	Q967	25
Cabo Verde	34.1	31.7	Q1011	26
Cambodia	2066.2	3052.4	Q424	27
Cameroon	890.8	2403.7	Q1009	28
Canada	15174.8	14135.2	Q16	29
Central African Republic	184.4	162.8	Q929	30
Chad	1807.1	3402.0	Q657	31
Chile	652.1	564.6	Q298	32
China	81469.3	103036.2	Q148	33
Hong Kong SAR, China	0.0	0.0	Q8646	34
Colombia	1087.1	1013.7	Q739	35
Comoros	16.1	28.7	Q970	36
Congo, Dem. Rep.	1969.6	3979.6	Q974	37
Congo, Rep.	24.9	36.3	Q971	38
Costa Rica	54.7	53.1	Q800	39
Cote d'Ivoire	759.7	1479.9	Q1008	40
Croatia	578.9	532.8	Q224	41
Cuba	320.6	316.7	Q241	42
Cyprus	59.2	23.3	Q229	43
Czech Republic	1569.1	1361.4	Q213	44
Denmark	1527.9	1471.3	Q35	45
Djibouti	0.0	0.0	Q977	46
Dominica	0.1	0.1	Q784	47
Dominican Republic	176.4	190.3	Q786	48
Ecuador	845.0	706.1	Q736	49
Egypt, Arab Rep.	2712.2	3226.3	Q79	50
El Salvador	328.7	390.8	Q792	51
Eritrea	344.6	470.7	Q986	52
Estonia	259.2	351.4	Q191	53
Eswatini	69.0	78.1	Q1050	54
Ethiopia	6648.8	10219.4	Q115	55
Fiji	5.7	2.3	Q712	56
Finland	1195.1	998.0	Q33	57
France	9352.0	9610.7	Q142	58
Gabon	17.3	28.8	Q1000	59
Gambia, The	145.0	260.8	Q1005	60
Georgia	355.7	171.5	Q230	61
Germany	6941.0	6316.3	Q183	62
Ghana	1597.6	1518.8	Q117	63
Greece	1287.7	979.1	Q41	64
Grenada	0.3	0.3	Q769	65
Guam	0.0	0.0	Q16635	66
