Country	Rank	EducationIndex	Expectedyearsofschooling	Meanyearsofschooling	HDIrank	ID	id_row
Australia	1.0	939.0	20.4	13.2	2.0	Q408	0
Denmark	2.0	923.0	19.2	12.7	5.0	Q35	1
New Zealand	3.0	917.0	19.2	12.5	13.0	Q664	2
Norway	4.0	916.0	17.7	12.7	1.0	Q20	3
Germany	5.0	914.0	17.1	13.2	4.0	Q183	4
Ireland	6.0	910.0	18.6	12.3	8.0	Q27	5
Iceland	7.0	906.0	19.0	12.2	9.0	Q189	6
United States	8.0	900.0	16.5	13.2	10.0	Q30	7
Netherlands	9.0	897.0	18.1	11.9	7.0	Q55	8
United Kingdom	10.0	896.0	16.3	13.3	16.0	Q145	9
Switzerland	11.0	891.0	16.0	13.4	2.0	Q39	10
Canada	12.0	890.0	16.3	13.1	10.0	Q16	11
Slovenia	13.0	886.0	17.3	12.1	25.0	Q215	12
Lithuania	14.0	882.0	16.5	12.7	37.0	Q37	13
Czechia	15.0	878.0	16.8	12.3	28.0	Q213	14
Estonia	16.0	877.0	16.5	12.5	30.0	Q191	15
Israel	17.0	870.0	16.0	12.8	19.0	Q801	16
South Korea	18.0	867.0	16.6	12.2	18.0	Q884	17
Sweden	19.0	855.0	16.1	12.3	14.0	Q34	18
Poland	20.0	852.0	16.4	11.9	36.0	Q36	19
Finland	21.0	847.0	17.0	11.2	23.0	Q33	20
Japan	22.0	842.0	15.3	12.5	17.0	Q17	21
Belgium	23.0	841.0	16.6	11.4	22.0	Q31	22
France	24.0	839.0	16.3	11.6	21.0	Q142	23
Latvia	25.0	835.0	16.0	11.7	44.0	Q211	24
Belarus	26.0	834.0	15.7	12.0	52.0	Q184	25
Hungary	26.0	834.0	15.6	12.0	43.0	Q28	26
Greece	28.0	830.0	17.2	10.5	29.0	Q41	27
Slovakia	29.0	823.0	15.0	12.2	40.0	Q214	28
Hong Kong	30.0	822.0	15.7	11.6	12.0	Q8646	29
Austria	31.0	820.0	15.9	11.3	24.0	Q40	30
Liechtenstein	32.0	818.0	14.6	12.4	15.0	Q347	31
Spain	32.0	818.0	17.7	9.8	27.0	Q29	32
Russian Federation	34.0	816.0	15.0	12.0	49.0	Q159	33
Italy	35.0	814.0	16.3	10.9	26.0	Q38	34
