Country	Male_2000	Male_2018	Female_2000	Female_2018	ID	id_row
Afghanistan	90.6	77.1	98.3	90.1	Q889	0
Albania	59.7	53.8	65.5	53.7	Q222	1
Algeria	30.3	27.7	36.6	23.3	Q262	2
Angola	46.2	52.6	76.1	79.8	Q916	3
Argentina	24.4	22.8	20.6	20.0	Q414	4
Armenia	42.6	39.4	54.2	38.3	Q399	5
Australia	14.9	12.8	9.2	8.1	Q408	6
Austria	7.8	7.9	9.4	6.9	Q40	7
Azerbaijan	47.8	48.2	65.6	63.3	Q227	8
Bahamas, The	19.2	19.4	10.0	8.3	Q778	9
Bahrain	2.0	1.1	0.4	0.9	Q398	10
Bangladesh	62.0	50.6	81.0	67.6	Q902	11
Barbados	16.6	20.3	7.8	11.2	Q244	12
Belarus	4.9	4.4	2.1	2.2	Q184	13
Belgium	11.5	11.8	11.5	8.5	Q31	14
Belize	26.4	29.5	21.3	30.0	Q242	15
Benin	84.7	81.8	95.4	94.2	Q962	16
Bhutan	70.5	63.4	81.4	84.1	Q917	17
Bolivia	60.7	58.8	73.6	69.7	Q750	18
Bosnia and Herzegovina	25.0	15.7	28.9	17.6	Q225	19
Botswana	27.9	23.2	33.2	29.2	Q963	20
Brazil	33.9	31.0	31.0	23.7	Q155	21
Brunei Darussalam	4.5	5.8	4.0	6.5	Q921	22
Bulgaria	16.1	9.2	11.6	6.5	Q219	23
Burkina Faso	90.8	83.9	96.3	90.1	Q965	24
Burundi	92.3	92.1	96.9	96.8	Q967	25
Cabo Verde	39.4	27.0	50.8	46.2	Q1011	26
Cambodia	80.7	43.2	91.0	58.4	Q424	27
Cameroon	67.8	65.1	90.5	83.5	Q1009	28
Canada	11.9	11.9	9.1	9.4	Q16	29
Central African Republic	88.5	87.9	96.0	95.7	Q929	30
Chad	90.6	88.2	99.1	98.8	Q657	31
Channel Islands	11.9	11.7	9.3	8.0	Q42314	32
Chile	29.9	22.7	23.1	23.1	Q298	33
China	55.2	42.8	67.5	49.2	Q148	34
Hong Kong SAR, China	7.3	7.4	3.4	4.0	Q8646	35
Macao SAR, China	9.5	4.2	7.2	1.9	Q14773	36
Colombia	47.0	47.8	46.7	46.4	Q739	37
Comoros	56.5	53.8	79.6	77.5	Q970	38
Congo, Dem. Rep.	81.1	69.8	95.3	90.2	Q974	39
Congo, Rep.	64.1	62.2	91.5	90.7	Q971	40
Costa Rica	24.9	21.1	20.5	20.9	Q800	41
Cote d'Ivoire	71.2	63.9	89.6	82.3	Q1008	42
Croatia	18.7	8.0	18.9	6.6	Q224	43
Cuba	13.2	30.4	4.4	11.7	Q241	44
Cyprus	20.2	12.7	14.9	9.3	Q229	45
Czech Republic	13.2	16.2	7.7	10.8	Q213	46
Denmark	5.5	6.1	4.3	3.6	Q35	47
Djibouti	42.3	39.1	57.9	54.1	Q977	48
Dominican Republic	45.6	48.0	28.0	28.5	Q786	49
