Country	SecureInternetservers	ID	id_row
Tajikistan	27.4	Q863	187
Tanzania	27.3	Q924	188
Thailand	953.9	Q869	189
Timor-Leste	29.2	Q574	190
Togo	7.7	Q945	191
Tonga	174.4	Q678	192
Trinidad and Tobago	281.3	Q754	193
Tunisia	316.2	Q948	194
Turkey	4335.1	Q43	195
Turkmenistan	6.0	Q874	196
Turks and Caicos Islands	743.4	Q18221	197
Tuvalu	86.9	Q672	198
Uganda	20.2	Q1036	199
Ukraine	6027.8	Q212	200
United Arab Emirates	1484.0	Q878	201
United Kingdom	27261.8	Q145	202
United States	65864.2	Q30	203
Uruguay	1574.8	Q77	204
Uzbekistan	278.9	Q265	205
Vanuatu	198.2	Q686	206
Venezuela, RB	275.6	Q717	207
Vietnam	1769.5	Q881	208
Virgin Islands (U.S.)	860.0	Q11703	209
West Bank and Gaza	469.0	Q407199	210
Yemen, Rep.	3.8	Q805	211
Zambia	41.2	Q953	212
Zimbabwe	46.6	Q954	213
