Country	Income2010	Income2019	ID	id_row
Afghanistan	2600.0	1756.0	Q889	0
Albania	1221.0	1083.0	Q222	1
Algeria	2665.0	3089.0	Q262	2
Angola	-438.0	-227.0	Q916	3
Antigua and Barbuda	19.0	-54.0	Q781	4
Argentina	581.0	822.0	Q414	5
Armenia	607.0	625.0	Q399	6
Aruba	-71.0	-91.0	Q21203	7
Australia	-1607.0	-756.0	Q408	8
Austria	-3990.0	-3931.0	Q40	9
Azerbaijan	509.0	509.0	Q227	10
Bahamas, The	-3.0	-69.0	Q778	11
Bahrain	-1642.0	-3269.0	Q398	12
Bangladesh	11379.0	18689.0	Q902	13
Belarus	317.0	1037.0	Q184	14
Belgium	-4876.0	-7294.0	Q31	15
Belize	92.0	76.0	Q242	16
Benin	155.0	227.0	Q962	17
Bermuda	-138.0	-170.0	Q23635	18
Bhutan	94.0	170.0	Q917	19
Bolivia	1081.0	1138.0	Q750	20
Bosnia and Herzegovina	2389.0	2378.0	Q225	21
Botswana	1196.0	1603.0	Q963	22
Brazil	2896.0	964.0	Q155	23
Brunei Darussalam	-309.0	-490.0	Q921	24
Bulgaria	2000.0	2305.0	Q219	25
Burkina Faso	493.0	471.0	Q965	26
Burundi	136.0	251.0	Q967	27
Cabo Verde	340.0	324.0	Q1011	28
Cambodia	1092.0	1756.0	Q424	29
Cameroon	146.0	454.0	Q1009	30
Canada	-3839.0	-2058.0	Q16	31
Chile	4410.0	2411.0	Q298	32
China	40686.0	10250.0	Q148	33
Hong Kong SAR, China	-2263.0	-2663.0	Q8646	34
Macao SAR, China	-1374.0	-3413.0	Q14773	35
Colombia	4659.0	8676.0	Q739	36
Comoros	146.0	163.0	Q970	37
Congo, Dem. Rep.	843.0	1211.0	Q974	38
Costa Rica	388.0	513.0	Q800	39
Cote d'Ivoire	-440.0	-557.0	Q1008	40
Croatia	1694.0	2695.0	Q224	41
Curacao	-41.0	-28.0	Q25279	42
Cyprus	-254.0	-304.0	Q229	43
Czech Republic	-573.0	-1783.0	Q213	44
Denmark	-6537.0	-5370.0	Q35	45
Djibouti	105.0	197.0	Q977	46
Dominica	20.0	43.0	Q784	47
Dominican Republic	3431.0	6686.0	Q786	48
Ecuador	2481.0	2739.0	Q736	49
Egypt, Arab Rep.	12439.0	26799.0	Q79	50
El Salvador	3629.0	5638.0	Q792	51
Estonia	142.0	57.0	Q191	52
Eswatini	400.0	503.0	Q1050	53
Ethiopia	4698.0	8027.0	Q115	54
Fiji	149.0	320.0	Q712	55
Finland	-2723.0	-2736.0	Q33	56
France	-49828.0	-52574.0	Q142	57
Gambia, The	78.0	213.0	Q1005	58
Georgia	1098.0	1373.0	Q230	59
Germany	-52955.0	-53353.0	Q183	60
Ghana	2322.0	2583.0	Q117	61
Greece	-2386.0	653.0	Q41	62
Grenada	32.0	-10.0	Q769	63
Guatemala	5013.0	11148.0	Q774	64
Guinea	17.0	96.0	Q1006	65
