Country	Percentageofunemployment	ID	id_row
Afghanistan	12.3	Q889	0
Albania	6.4	Q222	1
Argentina	11.1	Q414	2
Armenia	20.6	Q399	3
Austria	11.3	Q40	4
Bangladesh	3.5	Q902	5
Belarus	13.4	Q184	6
Belgium	12.4	Q31	7
Belize	6.5	Q242	8
Bolivia	2.5	Q750	9
Bosnia and Herzegovina	20.1	Q225	10
Brazil	14.6	Q155	11
Brunei Darussalam	8.9	Q921	12
Bulgaria	15.0	Q219	13
Burkina Faso	6.4	Q965	14
Cabo Verde	9.3	Q1011	15
Cambodia	0.2	Q424	16
Canada	11.9	Q16	17
Cayman Islands	5.7	Q5785	18
Chile	6.9	Q298	19
Colombia	6.7	Q739	20
Costa Rica	10.2	Q800	21
Cote d'Ivoire	2.2	Q1008	22
Croatia	11.3	Q224	23
Cyprus	9.6	Q229	24
Czech Republic	10.6	Q213	25
Denmark	8.6	Q35	26
Dominican Republic	5.7	Q786	27
Ecuador	2.0	Q736	28
Egypt, Arab Rep.	4.1	Q79	29
El Salvador	3.7	Q792	30
Estonia	10.3	Q191	31
Eswatini	25.4	Q1050	32
Fiji	2.6	Q712	33
Finland	15.9	Q33	34
France	15.9	Q142	35
Gambia, The	11.5	Q1005	36
Georgia	10.5	Q230	37
Germany	8.8	Q183	38
Ghana	3.5	Q117	39
Greece	21.8	Q41	40
Guatemala	3.1	Q774	41
Guyana	14.4	Q734	42
Honduras	5.3	Q783	43
Hong Kong SAR, China	3.9	Q8646	44
Hungary	10.3	Q28	45
Iceland	4.5	Q189	46
India	4.2	Q668	47
Indonesia	3.0	Q252	48
Iran, Islamic Rep.	8.9	Q794	49
Ireland	9.7	Q27	50
Israel	6.8	Q801	51
Italy	14.5	Q38	52
Kazakhstan	6.7	Q232	53
Kenya	1.6	Q114	54
Kiribati	9.3	Q710	55
Korea, Rep.	3.0	Q884	56
Kosovo	54.9	Q1246	57
Lao PDR	11.0	Q819	58
Latvia	16.1	Q211	59
Liberia	2.8	Q1014	60
Lithuania	17.1	Q37	61
Luxembourg	8.4	Q32	62
Macao SAR, China	2.3	Q14773	63
Madagascar	1.1	Q1019	64
Malawi	29.6	Q1020	65
Malaysia	2.1	Q833	66
Maldives	9.4	Q826	67
Mali	2.1	Q912	68
Malta	5.3	Q233	69
Mauritania	15.8	Q1025	70
Mauritius	3.9	Q1027	71
Mexico	3.0	Q96	72
Moldova	5.2	Q217	73
Mongolia	3.0	Q711	74
Montenegro	20.3	Q236	75
Mozambique	6.1	Q1029	76
Myanmar	0.6	Q836	77
Namibia	17.5	Q1030	78
Nepal	10.4	Q837	79
Netherlands	6.4	Q55	80
Niger	8.1	Q1032	81
Nigeria	6.3	Q1033	82
North Macedonia	23.3	Q221	83
Norway	8.3	Q20	84
Pakistan	3.9	Q843	85
Panama	3.2	Q804	86
Paraguay	5.0	Q733	87
Peru	2.1	Q419	88
Philippines	4.5	Q928	89
Poland	9.9	Q36	90
Portugal	7.1	Q45	91
Romania	5.6	Q218	92
Russian Federation	12.7	Q159	93
Rwanda	14.2	Q1037	94
Samoa	14.6	Q683	95
San Marino	4.5	Q238	96
Senegal	8.4	Q1041	97
Serbia	12.3	Q403	98
Seychelles	2.3	Q1042	99
Singapore	3.5	Q334	100
Slovak Republic	29.8	Q214	101
Slovenia	8.4	Q215	102
South Africa	32.7	Q258	103
Spain	21.6	Q29	104
Sri Lanka	2.6	Q854	105
St. Lucia	25.4	Q760	106
Sweden	18.7	Q34	107
Switzerland	8.1	Q39	108
Thailand	0.6	Q869	109
Timor-Leste	4.3	Q574	110
Togo	4.8	Q945	111
Tonga	3.8	Q678	112
Trinidad and Tobago	3.9	Q754	113
Tunisia	8.8	Q948	114
Turkey	10.0	Q43	115
Tuvalu	8.1	Q672	116
Uganda	5.5	Q1036	117
Ukraine	10.3	Q212	118
United Arab Emirates	1.2	Q878	119
United Kingdom	6.3	Q145	120
United States	5.9	Q30	121
Uruguay	9.9	Q77	122
Vietnam	0.9	Q881	123
West Bank and Gaza	24.0	Q407199	124
Zambia	10.4	Q953	125
