Country	Total1990	Total2019	Male2019	Female2019	ID	id_row
Micronesia, Fed. Sts.	55.0	29.0	32.0	26.0	Q702	111
Moldova	33.0	14.0	16.0	13.0	Q217	112
Monaco	8.0	3.0	3.0	3.0	Q235	113
Mongolia	108.0	16.0	18.0	14.0	Q711	114
Montenegro	17.0	2.0	3.0	2.0	Q236	115
Morocco	79.0	21.0	24.0	19.0	Q1028	116
Mozambique	243.0	74.0	79.0	70.0	Q1029	117
Myanmar	115.0	45.0	49.0	40.0	Q836	118
Namibia	72.0	42.0	46.0	39.0	Q1030	119
Nepal	140.0	31.0	33.0	29.0	Q837	120
Netherlands	8.0	4.0	4.0	4.0	Q55	121
New Zealand	11.0	5.0	5.0	4.0	Q664	122
Nicaragua	67.0	17.0	19.0	15.0	Q811	123
Niger	329.0	80.0	84.0	77.0	Q1032	124
Nigeria	210.0	117.0	124.0	110.0	Q1033	125
North Macedonia	36.0	6.0	7.0	6.0	Q221	126
Norway	9.0	2.0	3.0	2.0	Q20	127
Oman	39.0	11.0	13.0	10.0	Q842	128
Pakistan	140.0	67.0	72.0	63.0	Q843	129
Palau	35.0	17.0	19.0	15.0	Q695	130
Panama	31.0	15.0	16.0	13.0	Q804	131
Papua New Guinea	85.0	45.0	49.0	41.0	Q691	132
Paraguay	45.0	19.0	21.0	17.0	Q733	133
Peru	80.0	13.0	14.0	12.0	Q419	134
Philippines	57.0	27.0	30.0	24.0	Q928	135
Poland	17.0	4.0	5.0	4.0	Q36	136
Portugal	15.0	4.0	4.0	3.0	Q45	137
Qatar	21.0	7.0	7.0	6.0	Q846	138
Romania	31.0	7.0	8.0	6.0	Q218	139
Russian Federation	22.0	6.0	6.0	5.0	Q159	140
Rwanda	150.0	34.0	38.0	31.0	Q1037	141
Samoa	30.0	15.0	16.0	14.0	Q683	142
San Marino	14.0	2.0	2.0	2.0	Q238	143
Sao Tome and Principe	108.0	30.0	33.0	27.0	Q1039	144
Saudi Arabia	44.0	7.0	7.0	6.0	Q851	145
Senegal	139.0	45.0	49.0	41.0	Q1041	146
Serbia	28.0	5.0	6.0	5.0	Q403	147
Seychelles	16.0	14.0	15.0	13.0	Q1042	148
Sierra Leone	260.0	109.0	115.0	103.0	Q1044	149
Singapore	8.0	3.0	3.0	2.0	Q334	150
Slovak Republic	15.0	6.0	6.0	5.0	Q214	151
Slovenia	10.0	2.0	2.0	2.0	Q215	152
Solomon Islands	38.0	20.0	21.0	18.0	Q685	153
Somalia	178.0	117.0	123.0	111.0	Q1045	154
South Africa	57.0	35.0	37.0	31.0	Q258	155
South Sudan	250.0	96.0	101.0	92.0	Q958	156
Spain	9.0	3.0	3.0	3.0	Q29	157
Sri Lanka	22.0	7.0	8.0	7.0	Q854	158
St. Kitts and Nevis	31.0	15.0	17.0	14.0	Q763	159
St. Lucia	22.0	22.0	24.0	20.0	Q760	160
St. Vincent and the Grenadines	24.0	15.0	16.0	13.0	Q757	161
Sudan	131.0	58.0	63.0	53.0	Q1049	162
Suriname	45.0	18.0	20.0	16.0	Q730	163
Sweden	7.0	3.0	3.0	2.0	Q34	164
Switzerland	8.0	4.0	4.0	4.0	Q39	165
Syrian Arab Republic	37.0	22.0	23.0	20.0	Q858	166
Tajikistan	102.0	34.0	38.0	30.0	Q863	167
Tanzania	165.0	50.0	54.0	47.0	Q924	168
Thailand	37.0	9.0	10.0	8.0	Q869	169
Timor-Leste	175.0	44.0	48.0	40.0	Q574	170
Togo	145.0	67.0	72.0	61.0	Q945	171
Tonga	22.0	17.0	15.0	18.0	Q678	172
Trinidad and Tobago	30.0	18.0	19.0	16.0	Q754	173
Tunisia	55.0	17.0	18.0	15.0	Q948	174
Turkey	74.0	10.0	11.0	9.0	Q43	175
Turkmenistan	80.0	42.0	48.0	36.0	Q874	176
Tuvalu	53.0	24.0	26.0	22.0	Q672	177
Uganda	182.0	46.0	51.0	41.0	Q1036	178
Ukraine	19.0	8.0	9.0	8.0	Q212	179
United Arab Emirates	17.0	8.0	8.0	7.0	Q878	180
United Kingdom	9.0	4.0	5.0	4.0	Q145	181
United States	11.0	7.0	7.0	6.0	Q30	182
Uruguay	23.0	7.0	8.0	6.0	Q77	183
Uzbekistan	72.0	17.0	20.0	15.0	Q265	184
Vanuatu	35.0	26.0	28.0	24.0	Q686	185
Venezuela, RB	30.0	24.0	26.0	22.0	Q717	186
Vietnam	51.0	20.0	23.0	17.0	Q881	187
West Bank and Gaza	45.0	19.0	21.0	18.0	Q407199	188
Yemen, Rep.	126.0	58.0	62.0	54.0	Q805	189
Zambia	180.0	62.0	66.0	57.0	Q953	190
Zimbabwe	77.0	55.0	59.0	50.0	Q954	191
