Country	Population	ID	id_row
Northern Mariana Islands	0.1	Q16644	143
Norway	5.3	Q20	144
Oman	5.0	Q842	145
Pakistan	216.6	Q843	146
Palau	0.0	Q695	147
Panama	4.2	Q804	148
Papua New Guinea	8.8	Q691	149
Paraguay	7.0	Q733	150
Peru	32.5	Q419	151
Philippines	108.1	Q928	152
Poland	38.0	Q36	153
Portugal	10.3	Q45	154
Puerto Rico	3.2	Q1183	155
Qatar	2.8	Q846	156
Romania	19.4	Q218	157
Russian Federation	144.4	Q159	158
Rwanda	12.6	Q1037	159
Samoa	0.2	Q683	160
San Marino	0.0	Q238	161
Sao Tome and Principe	0.2	Q1039	162
Saudi Arabia	34.3	Q851	163
Senegal	16.3	Q1041	164
Serbia	6.9	Q403	165
Seychelles	0.1	Q1042	166
Sierra Leone	7.8	Q1044	167
Singapore	5.7	Q334	168
Sint Maarten (Dutch part)	0.0	Q26273	169
Slovak Republic	5.5	Q214	170
Slovenia	2.1	Q215	171
Solomon Islands	0.7	Q685	172
Somalia	15.4	Q1045	173
South Africa	58.6	Q258	174
South Sudan	11.1	Q958	175
Spain	47.1	Q29	176
Sri Lanka	21.8	Q854	177
St. Kitts and Nevis	0.1	Q763	178
St. Lucia	0.2	Q760	179
St. Martin (French part)	0.0	Q126125	180
St. Vincent and the Grenadines	0.1	Q757	181
Sudan	42.8	Q1049	182
Suriname	0.6	Q730	183
Sweden	10.3	Q34	184
Switzerland	8.6	Q39	185
Syrian Arab Republic	17.1	Q858	186
Tajikistan	9.3	Q863	187
Tanzania	58.0	Q924	188
Thailand	69.6	Q869	189
Timor-Leste	1.3	Q574	190
Togo	8.1	Q945	191
Tonga	0.1	Q678	192
Trinidad and Tobago	1.4	Q754	193
Tunisia	11.7	Q948	194
Turkey	83.4	Q43	195
Turkmenistan	5.9	Q874	196
Turks and Caicos Islands	0.0	Q18221	197
Tuvalu	0.0	Q672	198
Uganda	44.3	Q1036	199
Ukraine	44.4	Q212	200
United Arab Emirates	9.8	Q878	201
United Kingdom	66.8	Q145	202
United States	328.2	Q30	203
Uruguay	3.5	Q77	204
Uzbekistan	33.6	Q265	205
Vanuatu	0.3	Q686	206
Venezuela, RB	28.5	Q717	207
Vietnam	96.5	Q881	208
Virgin Islands (U.S.)	0.1	Q11703	209
West Bank and Gaza	4.7	Q407199	210
Yemen, Rep.	29.2	Q805	211
Zambia	17.9	Q953	212
Zimbabwe	14.6	Q954	213
