Country	Date	cases	deaths	Cumulative_number_for_14_days_of_COVID-19_cases_per_100000	ID
Afghanistan	10/28/20	113	7	3.02562261	Q889
Afghanistan	10/27/20	199	8	2.90207416	Q889
Afghanistan	10/26/20	65	3	2.71806583	Q889
Afghanistan	10/25/20	81	4	2.79955524	Q889
Afghanistan	10/24/20	61	2	2.58663132	Q889
Afghanistan	10/23/20	116	4	2.45256811	Q889
Afghanistan	10/22/20	135	2	2.35004918	Q889
Afghanistan	10/21/20	88	2	2.17392693	Q889
Afghanistan	10/20/20	87	5	2.10558098	Q889
Afghanistan	10/19/20	59	4	2.25804502	Q889
Afghanistan	10/18/20	68	3	2.21861467	Q889
Afghanistan	10/17/20	47	4	2.05826455	Q889
Afghanistan	10/16/20	0	0	1.94785956	Q889
Afghanistan	10/15/20	32	1	1.99254729	Q889
Afghanistan	10/14/20	66	0	1.94523087	Q889
Afghanistan	10/13/20	129	3	1.81116766	Q889
Afghanistan	10/12/20	96	4	1.50361089	Q889
Afghanistan	10/11/20	0	0	1.25125661	Q889
Afghanistan	10/10/20	10	1	1.34326078	Q889
Afghanistan	10/09/20	77	2	1.33274601	Q889
Afghanistan	10/08/20	68	1	1.1723959	Q889
Afghanistan	10/07/20	62	2	1.05936222	Q889
Afghanistan	10/06/20	145	5	1.08302043	Q889
Afghanistan	10/05/20	44	0	0.78072104	Q889
Afghanistan	10/04/20	7	4	0.66505866	Q889
Afghanistan	10/03/20	5	0	0.97524412	Q889
Afghanistan	10/02/20	17	0	1.08564912	Q889
Afghanistan	10/01/20	14	0	1.04096138	Q889
Afghanistan	09/30/20	15	2	1.04884745	Q889
Afghanistan	09/29/20	12	3	1.11456471	Q889
Afghanistan	09/28/20	0	0	1.34326078	Q889
Afghanistan	09/27/20	35	0	1.54041255	Q889
Afghanistan	09/26/20	6	2	1.54041255	Q889
Afghanistan	09/25/20	16	0	1.61401588	Q889
Afghanistan	09/24/20	25	5	1.64556017	Q889
Afghanistan	09/23/20	71	2	1.64293148	Q889
Afghanistan	09/22/20	30	3	1.52464041	Q889
Afghanistan	09/21/20	0	0	1.69813397	Q889
Afghanistan	09/20/20	125	4	1.89265706	Q889
Afghanistan	09/19/20	47	1	1.61664457	Q889
Afghanistan	09/18/20	0	0	1.53515517	Q889
Afghanistan	09/17/20	17	0	1.65344624	Q889
Afghanistan	09/16/20	40	10	1.70864874	Q889
Afghanistan	09/15/20	99	6	1.62715933	Q889
Afghanistan	09/14/20	75	0	1.45629446	Q889
Afghanistan	09/13/20	35	0	1.3090878	Q889
Afghanistan	09/12/20	34	0	1.22496971	Q889
Afghanistan	09/11/20	28	0	1.16450983	Q889
Afghanistan	09/10/20	24	2	1.09879257	Q889
Afghanistan	09/09/20	26	3	1.18028197	Q889
Afghanistan	09/08/20	96	3	1.11456471	Q889
Afghanistan	09/07/20	74	2	1.04884745	Q889
Afghanistan	09/06/20	20	0	0.85432437	Q889
Afghanistan	09/05/20	16	0	1.07776305	Q889
Afghanistan	09/04/20	45	1	1.13559424	Q889
Afghanistan	09/03/20	38	3	1.27228614	Q889
Afghanistan	09/02/20	9	0	1.59298636	Q889
Afghanistan	09/01/20	34	4	1.56932815	Q889
Afghanistan	08/31/20	19	0	1.48783875	Q889
Afghanistan	08/30/20	3	0	1.55618469	Q889
Afghanistan	08/29/20	11	1	1.86374147	Q889
Afghanistan	08/28/20	3	0	1.85322671	Q889
Afghanistan	08/27/20	55	4	2.05300717	Q889
Afghanistan	08/26/20	1	0	2.10820967	Q889
Afghanistan	08/25/20	71	10	2.67074941	Q889
Afghanistan	08/24/20	0	0	2.48411239	Q889
Afghanistan	08/23/20	105	2	2.48411239	Q889
Afghanistan	08/22/20	38	0	2.31061883	Q889
Afghanistan	08/21/20	97	2	2.41576644	Q889
Afghanistan	08/20/20	160	8	2.26855978	Q889
Afghanistan	08/19/20	0	0	2.02409158	Q889
Afghanistan	08/18/20	3	0	2.23964419	Q889
Afghanistan	08/17/20	45	5	2.32901966	Q889
Afghanistan	08/16/20	120	7	2.21072859	Q889
Afghanistan	08/15/20	7	0	1.89528575	Q889
Afghanistan	08/14/20	79	9	2.3185049	Q889
Afghanistan	08/13/20	76	10	2.29747538	Q889
Afghanistan	08/12/20	215	32	2.09769491	Q889
Afghanistan	08/11/20	0	0	1.80328159	Q889
Afghanistan	08/10/20	0	0	2.07929408	Q889
Afghanistan	08/09/20	39	5	2.35793526	Q889
Afghanistan	08/08/20	78	9	2.57348786	Q889
Afghanistan	08/07/20	41	0	2.65234858	Q889
Afghanistan	08/06/20	67	4	2.57874525	Q889
Afghanistan	08/05/20	82	6	2.89681678	Q889
Afghanistan	08/04/20	37	4	2.97567749	Q889
Afghanistan	08/03/20	0	1	3.2464326	Q889
Afghanistan	08/02/20	0	0	3.70382472	Q889
Afghanistan	08/01/20	168	12	3.73536901	Q889
Afghanistan	07/31/20	71	0	3.86943221	Q889
Afghanistan	07/30/20	0	0	3.88257567	Q889
Afghanistan	07/29/20	103	1	4.55026302	Q889
Afghanistan	07/28/20	105	1	5.02868466	Q889
Afghanistan	07/27/20	106	10	4.76318694	Q889
Afghanistan	07/26/20	121	13	4.48454576	Q889
Afghanistan	07/25/20	108	35	4.38991291	Q889
Afghanistan	07/24/20	13	0	5.30995453	Q889
Afghanistan	07/23/20	188	21	5.9460976	Q889
Afghanistan	07/22/20	112	4	5.60699654	Q889
Afghanistan	07/21/20	140	5	5.8646082	Q889
Afghanistan	07/20/20	174	17	6.63481448	Q889
Afghanistan	07/19/20	12	17	6.91082696	Q889
Afghanistan	07/18/20	219	32	7.79406692	Q889
Afghanistan	07/17/20	76	21	8.01224823	Q889
Afghanistan	07/16/20	254	49	8.30140416	Q889
Afghanistan	07/15/20	285	33	8.47226904	Q889
Afghanistan	07/14/20	4	2	8.4564969	Q889
Afghanistan	07/13/20	0	0	9.15835722	Q889
Afghanistan	07/12/20	85	16	10.08102754	Q889
Afghanistan	07/11/20	458	37	10.29132277	Q889
Afghanistan	07/10/20	255	20	9.81290112	Q889
Afghanistan	07/09/20	59	1	10.35178265	Q889
Afghanistan	07/08/20	210	16	10.81180346	Q889
Afghanistan	07/07/20	433	56	11.14827583	Q889
Afghanistan	07/06/20	279	38	10.82494691	Q889
Afghanistan	07/05/20	348	7	11.16667666	Q889
Afghanistan	07/04/20	302	12	11.68715735	Q889
Afghanistan	07/03/20	186	33	11.80281973	Q889
Afghanistan	07/02/20	319	28	13.04356158	Q889
Afghanistan	07/01/20	279	13	13.68759072	Q889
Afghanistan	06/30/20	271	12	15.01245066	Q889
Afghanistan	06/29/20	351	18	16.30050894	Q889
Afghanistan	06/28/20	165	20	17.12328902	Q889
Afghanistan	06/27/20	276	8	18.15110695	Q889
Afghanistan	06/26/20	460	36	19.15000929	Q889
Afghanistan	06/25/20	234	21	19.90444343	Q889
Afghanistan	06/24/20	338	20	21.08735409	Q889
Afghanistan	06/23/20	310	17	21.62360692	Q889
Afghanistan	06/22/20	409	12	22.32020987	Q889
Afghanistan	06/21/20	546	21	23.32436959	Q889
Afghanistan	06/20/20	346	2	23.41900244	Q889
Afghanistan	06/19/20	658	42	24.91472726	Q889
Afghanistan	06/18/20	564	13	25.25382831	Q889
Afghanistan	06/17/20	783	13	25.76379424	Q889
Afghanistan	06/16/20	761	7	25.70070567	Q889
Afghanistan	06/15/20	664	20	25.13290856	Q889
Afghanistan	06/14/20	556	5	25.1749676	Q889
Afghanistan	06/13/20	656	20	25.98986161	Q889
Afghanistan	06/12/20	747	21	25.90311483	Q889
