Country	Tax	ID	id_row
Afghanistan	0.0	Q889	0
Albania	14.1	Q222	1
Algeria	8.1	Q262	2
Angola	21.5	Q916	3
Antigua and Barbuda	25.5	Q781	4
Argentina	3.6	Q414	5
Armenia	21.8	Q399	6
Australia	26.1	Q408	7
Austria	17.1	Q40	8
Azerbaijan	12.7	Q227	9
Bahamas, The	0.0	Q778	10
Bahrain	0.0	Q398	11
Bangladesh	31.1	Q902	12
Barbados	19.8	Q244	13
Belarus	11.1	Q184	14
Belgium	10.3	Q31	15
Belize	24.7	Q242	16
Benin	11.9	Q962	17
Bhutan	33.9	Q917	18
Bolivia	0.0	Q750	19
Bosnia and Herzegovina	8.4	Q225	20
Botswana	21.5	Q963	21
Brazil	22.4	Q155	22
Brunei Darussalam	0.1	Q921	23
Bulgaria	4.9	Q219	24
Burkina Faso	16.2	Q965	25
Burundi	28.5	Q967	26
Cabo Verde	18.3	Q1011	27
Cambodia	19.0	Q424	28
Cameroon	38.9	Q1009	29
Canada	8.0	Q16	30
Central African Republic	0.0	Q929	31
Chad	31.3	Q657	32
Chile	26.2	Q298	33
China	6.3	Q148	34
Hong Kong SAR, China	16.5	Q8646	35
Colombia	21.1	Q739	36
Comoros	30.4	Q970	37
Congo, Dem. Rep.	23.6	Q974	38
Congo, Rep.	0.0	Q971	39
Costa Rica	19.2	Q800	40
Cote d'Ivoire	8.8	Q1008	41
Croatia	0.0	Q224	42
Cyprus	8.3	Q229	43
Czech Republic	5.2	Q213	44
Denmark	17.1	Q35	45
Djibouti	17.7	Q977	46
Dominica	21.8	Q784	47
Dominican Republic	29.1	Q786	48
Ecuador	18.2	Q736	49
Egypt, Arab Rep.	14.4	Q79	50
El Salvador	16.6	Q792	51
Equatorial Guinea	53.0	Q983	52
Eritrea	9.2	Q986	53
Estonia	7.7	Q191	54
Ethiopia	24.6	Q115	55
Fiji	19.6	Q712	56
Finland	12.1	Q33	57
France	0.2	Q142	58
Gabon	20.3	Q1000	59
Gambia, The	24.4	Q1005	60
Georgia	7.8	Q230	61
Germany	23.2	Q183	62
Ghana	10.0	Q117	63
Greece	23.0	Q41	64
Grenada	26.5	Q769	65
Guatemala	20.2	Q774	66
Guinea	0.0	Q1006	67
Guinea-Bissau	15.1	Q1007	68
Guyana	19.6	Q734	69
Haiti	22.8	Q790	70
Honduras	29.2	Q783	71
Hungary	9.4	Q28	72
Iceland	8.5	Q189	73
India	21.6	Q668	74
Indonesia	18.1	Q252	75
Iran, Islamic Rep.	18.4	Q794	76
Iraq	15.0	Q796	77
Ireland	12.4	Q27	78
Israel	18.0	Q801	79
Italy	14.6	Q38	80
Jamaica	13.6	Q766	81
Japan	23.9	Q17	82
Jordan	10.5	Q810	83
Kazakhstan	16.4	Q232	84
Kenya	30.1	Q114	85
Kiribati	24.3	Q710	86
Korea, Rep.	18.2	Q884	87
Kosovo	9.3	Q1246	88
Kuwait	0.0	Q817	89
Kyrgyz Republic	6.7	Q813	90
Lao PDR	16.4	Q819	91
Latvia	7.8	Q211	92
Lebanon	6.9	Q822	93
Lesotho	10.8	Q1013	94
Liberia	35.4	Q1014	95
Libya	22.1	Q1016	96
Liechtenstein	-2.0	Q347	97
Lithuania	5.9	Q37	98
Luxembourg	4.2	Q32	99
North Macedonia	11.0	Q221	100
Madagascar	16.6	Q1019	101
Malawi	20.4	Q1020	102
Malaysia	19.6	Q833	103
Maldives	13.1	Q826	104
Mali	7.5	Q912	105
Malta	32.3	Q233	106
Marshall Islands	0.0	Q709	107
Mauritania	0.0	Q1025	108
Mauritius	10.3	Q1027	109
Mexico	27.0	Q96	110
Micronesia, Fed. Sts.	0.0	Q702	111
Moldova	8.7	Q217	112
Mongolia	10.2	Q711	113
Montenegro	8.3	Q236	114
Morocco	21.1	Q1028	115
Mozambique	30.8	Q1029	116
Myanmar	26.8	Q836	117
Namibia	16.7	Q1030	118
Nepal	15.0	Q837	119
Netherlands	20.4	Q55	120
New Zealand	29.9	Q664	121
Nicaragua	17.3	Q811	122
Niger	21.6	Q1032	123
Nigeria	21.0	Q1033	124
Norway	20.0	Q20	125
Oman	14.4	Q842	126
Pakistan	17.8	Q843	127
Palau	65.8	Q695	128
Panama	12.4	Q804	129
Papua New Guinea	23.2	Q691	130
Paraguay	9.6	Q733	131
Peru	22.7	Q419	132
Philippines	20.2	Q928	133
Poland	14.5	Q36	134
Portugal	12.5	Q45	135
Puerto Rico	30.8	Q1183	136
Qatar	0.0	Q846	137
Romania	15.6	Q218	138
Russian Federation	7.3	Q159	139
Rwanda	25.7	Q1037	140
Samoa	10.9	Q683	141
San Marino	5.0	Q238	142
Sao Tome and Principe	19.4	Q1039	143
Saudi Arabia	2.2	Q851	144
