Country	Exports2010	Exports2019	ID	id_row
Sudan	17.0	13.0	Q1049	156
Sweden	45.0	47.0	Q34	157
Switzerland	64.0	66.0	Q39	158
Tajikistan	15.0	16.0	Q863	159
Tanzania	20.0	15.0	Q924	160
Thailand	66.0	60.0	Q869	161
Timor-Leste	9.0	3.0	Q574	162
Togo	38.0	30.0	Q945	163
Tonga	12.0	22.0	Q678	164
Tunisia	49.0	50.0	Q948	165
Turkey	20.0	32.0	Q43	166
Turkmenistan	46.0	23.0	Q874	167
Uganda	14.0	19.0	Q1036	168
Ukraine	47.0	41.0	Q212	169
United Arab Emirates	82.0	92.0	Q878	170
United Kingdom	28.0	32.0	Q145	171
United States	12.0	12.0	Q30	172
Uruguay	26.0	22.0	Q77	173
Uzbekistan	28.0	31.0	Q265	174
Vietnam	72.0	107.0	Q881	175
Virgin Islands (U.S.)	298.0	73.0	Q11703	176
West Bank and Gaza	15.0	20.0	Q407199	177
Zambia	37.0	35.0	Q953	178
Zimbabwe	30.0	19.0	Q954	179
