Country	ForestArea2000	ForestArea2016	Permanentcropland2000	Permanentcropland2016	Arableland2000	Arableland2016	ID	id_row
Palau	86.1	87.6	4.3	4.3	2.2	2.2	Q695	131
Panama	65.5	61.9	2.0	2.5	7.4	7.6	Q804	132
Papua New Guinea	74.2	74.1	1.4	1.5	0.5	0.7	Q691	133
Paraguay	48.7	37.7	0.2	0.2	7.6	12.1	Q733	134
Peru	59.5	57.7	0.7	1.1	3.4	2.7	Q419	135
Philippines	23.6	27.8	15.8	17.9	16.9	18.7	Q928	136
Poland	29.6	30.9	1.1	1.3	45.7	35.3	Q36	137
Portugal	36.5	34.6	8.6	8.3	19.1	10.7	Q45	138
Puerto Rico	50.7	56.3	4.7	5.6	6.7	6.9	Q1183	139
Qatar	0.0	0.0	0.3	0.2	1.1	1.2	Q846	140
Romania	27.7	30.1	2.3	1.8	40.8	37.3	Q218	141
Russian Federation	49.4	49.8	0.1	0.1	7.6	7.5	Q159	142
Rwanda	13.9	19.7	10.1	10.1	36.5	46.7	Q1037	143
Samoa	60.4	60.4	11.0	7.8	4.9	2.8	Q683	144
Sao Tome and Principe	58.3	55.8	43.8	40.6	6.3	9.1	Q1039	145
Saudi Arabia	0.5	0.5	0.1	0.1	2020.7	2020.6	Q851	146
Senegal	46.2	42.8	0.3	0.4	17.3	16.6	Q1041	147
Seychelles	88.4	88.4	6.5	3.0	2.2	0.3	Q1042	148
Sierra Leone	40.5	43.1	1.7	2.3	6.8	21.9	Q1044	149
Singapore	24.4	23.1	0.3	0.1	1.5	0.8	Q334	150
Slovak Republic	39.9	40.4	1.0	0.4	31.8	28.0	Q214	151
Slovenia	61.2	62.0	1.5	2.7	8.6	9.1	Q215	152
Solomon Islands	81.0	77.9	2.0	2.9	0.5	0.7	Q685	153
Somalia	12.0	10.0	0.0	0.0	1.7	1.8	Q1045	154
South Africa	2020.6	2020.6	0.3	0.3	2020.4	2020.3	Q258	155
Spain	34.0	36.9	9.8	9.4	26.9	24.7	Q29	156
Sri Lanka	35.0	32.9	15.9	15.9	14.6	20.7	Q854	157
St. Kitts and Nevis	42.3	42.3	1.9	0.4	26.9	19.2	Q763	158
St. Lucia	34.8	33.2	17.9	11.5	3.3	4.9	Q760	159
St. Vincent and the Grenadines	66.7	69.2	7.7	7.7	12.8	12.8	Q757	160
Suriname	98.7	98.3	0.1	0.0	0.4	0.4	Q730	161
Sweden	68.6	68.9	0.0	0.0	6.6	6.3	Q34	162
Switzerland	30.2	31.8	0.6	0.6	10.3	10.1	Q39	163
Syrian Arab Republic	2.4	2.7	4.4	5.8	24.7	25.4	Q858	164
Tajikistan	2.9	3.0	0.7	1.0	5.6	5.3	Q863	165
Tanzania	58.6	51.6	1.6	2.4	9.7	15.2	Q924	166
Thailand	33.3	32.2	6.6	8.8	30.6	32.9	Q869	167
Timor-Leste	57.4	45.4	4.5	5.0	8.1	10.4	Q574	168
Togo	8.9	3.1	2.4	3.1	46.0	48.7	Q945	169
Tonga	12.5	12.5	15.3	15.3	20.8	25.0	Q678	170
Trinidad and Tobago	45.5	46.0	4.9	4.3	6.8	4.9	Q754	171
Tunisia	5.4	6.8	13.7	15.0	18.4	18.7	Q948	172
Turkey	13.2	15.4	3.3	4.3	31.0	26.5	Q43	173
Turkmenistan	8.8	8.8	0.1	0.1	4.1	4.1	Q874	174
Uganda	19.4	9.7	10.5	11.0	26.5	34.4	Q1036	175
Ukraine	16.4	16.7	1.6	1.5	56.2	56.6	Q212	176
United Arab Emirates	4.4	4.6	2.6	0.6	0.8	0.6	Q878	177
United Kingdom	12.2	13.1	0.2	0.2	24.3	24.9	Q145	178
United States	33.1	33.9	0.3	0.3	2020.1	2020.6	Q30	179
Uruguay	7.8	10.7	0.2	0.2	7.8	13.8	Q77	180
Uzbekistan	7.6	7.5	0.8	0.9	10.5	10.3	Q265	181
Vanuatu	36.1	36.1	9.3	10.3	1.6	1.6	Q686	182
Venezuela, RB	55.7	52.7	0.9	0.8	2.9	3.1	Q717	183
Vietnam	37.7	48.1	6.2	14.6	19.9	22.6	Q881	184
Virgin Islands (U.S.)	58.5	50.0	2.9	2.9	5.7	2.9	Q11703	185
West Bank and Gaza	1.5	1.5	19.9	16.0	16.9	8.4	Q407199	186
Yemen, Rep.	1.0	1.0	0.2	0.6	2.9	2.4	Q805	187
Zambia	68.8	65.2	0.0	0.0	3.8	5.1	Q953	188
Zimbabwe	48.8	35.5	0.3	0.3	9.3	10.3	Q954	189
