Country	Male_2000	Male_2018	Female_2000	Female_2018	ID	id_row
Afghanistan	63.5	37.6	79.9	65.7	Q889	0
Albania	43.5	34.3	63.0	41.5	Q222	1
Algeria	23.6	11.2	13.1	3.6	Q262	2
Angola	29.6	44.4	45.5	56.7	Q916	3
Argentina	1.0	0.1	0.2	0.1	Q414	4
Armenia	38.8	27.6	48.7	33.8	Q399	5
Australia	6.0	3.4	3.4	1.7	Q408	6
Austria	5.8	4.1	6.4	3.3	Q40	7
Azerbaijan	36.6	30.9	46.2	42.0	Q227	8
Bahamas, The	6.8	3.9	1.1	0.3	Q778	9
Bahrain	2.0	1.2	0.2	0.0	Q398	10
Bangladesh	60.7	31.4	78.8	58.5	Q902	11
Barbados	5.0	3.7	3.4	1.6	Q244	12
Belarus	19.2	14.9	10.5	7.7	Q184	13
Belgium	2.4	1.3	1.2	0.6	Q31	14
Belize	34.7	24.3	5.6	4.9	Q242	15
Benin	53.5	47.2	41.3	31.0	Q962	16
Bhutan	58.2	50.3	74.6	64.3	Q917	17
Bolivia	40.2	31.0	37.2	31.1	Q750	18
Bosnia and Herzegovina	23.2	15.5	27.0	16.1	Q225	19
Botswana	22.1	25.0	17.3	16.5	Q963	20
Brazil	20.7	13.1	9.7	4.1	Q155	21
Brunei Darussalam	1.4	2.0	1.0	0.5	Q921	22
Bulgaria	15.4	8.6	10.6	4.2	Q219	23
Burkina Faso	84.8	32.1	75.0	17.8	Q965	24
Burundi	87.2	87.7	96.8	96.0	Q967	25
Cabo Verde	28.0	16.1	15.3	6.5	Q1011	26
Cambodia	72.1	31.7	74.8	35.8	Q424	27
Cameroon	63.2	39.9	69.9	48.7	Q1009	28
Canada	3.2	2.0	1.7	0.9	Q16	29
Central African Republic	75.9	74.1	85.3	81.6	Q929	30
Chad	80.8	78.0	83.9	75.2	Q657	31
Channel Islands	7.3	4.9	4.5	2.2	Q42314	32
Chile	19.5	12.1	4.7	5.2	Q298	33
China	53.5	28.3	45.7	23.3	Q148	34
Hong Kong SAR, China	0.3	0.2	0.2	0.1	Q8646	35
Macao SAR, China	0.6	0.7	0.2	0.1	Q14773	36
Colombia	32.3	23.1	6.6	7.8	Q739	37
Comoros	51.8	46.7	64.4	56.1	Q970	38
Congo, Dem. Rep.	65.0	58.8	81.2	73.1	Q974	39
Congo, Rep.	40.2	35.0	43.5	34.2	Q971	40
Costa Rica	22.2	17.3	3.9	4.4	Q800	41
Cote d'Ivoire	51.4	47.3	47.4	31.9	Q1008	42
Croatia	16.4	7.2	16.8	5.1	Q224	43
Cuba	34.0	24.2	14.0	7.5	Q241	44
Cyprus	5.9	3.1	4.6	1.0	Q229	45
Czech Republic	6.3	3.6	3.8	1.8	Q213	46
Denmark	5.1	3.4	2.0	1.0	Q35	47
Djibouti	44.6	35.3	45.5	31.9	Q977	48
Dominican Republic	21.9	14.5	2.5	1.3	Q786	49
Ecuador	32.6	30.7	24.8	26.1	Q736	50
Egypt, Arab Rep.	27.4	21.3	39.4	36.2	Q79	51
El Salvador	33.9	26.3	3.8	3.5	Q792	52
Equatorial Guinea	51.2	41.6	52.0	43.0	Q983	53
Eritrea	59.9	57.4	72.3	66.5	Q986	54
Estonia	8.2	4.8	4.4	1.6	Q191	55
Eswatini	20.3	14.4	17.1	10.7	Q1050	56
Ethiopia	83.4	73.5	68.2	58.8	Q115	57
Fiji	49.3	37.7	49.5	35.4	Q712	58
Finland	8.3	5.2	3.9	2.1	Q33	59
France	5.2	3.5	2.9	1.4	Q142	60
French Polynesia	14.1	9.4	6.1	3.9	Q30971	61
Gabon	29.5	24.7	59.6	48.7	Q1000	62
Gambia, The	28.4	23.3	46.1	33.8	Q1005	63
Georgia	47.3	40.5	57.8	44.8	Q230	64
Germany	3.0	1.6	2.1	0.8	Q183	65
Ghana	59.8	36.8	50.0	23.2	Q117	66
Greece	16.1	12.6	19.7	11.7	Q41	67
Guam	0.7	0.4	0.2	0.1	Q16635	68
Guatemala	51.1	42.3	18.2	10.1	Q774	69
Guinea	66.7	60.3	75.1	63.9	Q1006	70
Guinea-Bissau	68.2	66.1	77.6	71.1	Q1007	71
Guyana	30.9	22.5	10.9	9.2	Q734	72
Haiti	50.3	42.2	21.2	13.2	Q790	73
Honduras	50.8	42.7	7.9	10.6	Q783	74
Hungary	9.0	6.6	3.3	2.7	Q28	75
Iceland	12.6	6.5	4.3	1.2	Q189	76
India	54.6	40.2	74.4	55.5	Q668	77
Indonesia	44.4	31.0	46.7	27.5	Q252	78
Iran, Islamic Rep.	24.6	16.9	24.2	21.0	Q794	79
Iraq	26.2	18.4	26.2	17.8	Q796	80
Ireland	11.9	7.6	2.2	1.5	Q27	81
Israel	2.9	1.3	1.2	0.5	Q801	82
Italy	5.7	4.7	4.4	2.4	Q38	83
Jamaica	28.8	22.1	9.2	8.9	Q766	84
Japan	4.8	3.9	5.5	3.0	Q17	85
Jordan	4.3	3.6	3.4	1.0	Q810	86
Kazakhstan	38.1	17.6	35.0	14.8	Q232	87
Kenya	40.0	49.1	57.9	61.3	Q114	88
Korea, Dem. Peopleâ€™s Rep.	46.3	43.7	67.0	60.1	Q423	89
Korea, Rep.	9.5	5.2	12.2	4.7	Q884	90
Kuwait	3.2	2.7	0.1	0.0	Q817	91
Kyrgyz Republic	51.8	22.5	54.8	21.1	Q813	92
Lao PDR	78.0	61.4	85.2	65.1	Q819	93
Latvia	16.7	10.0	13.1	4.0	Q211	94
Lebanon	18.3	13.5	20.3	14.7	Q822	95
Lesotho	23.4	13.1	6.4	3.0	Q1013	96
Liberia	49.5	44.9	53.3	41.8	Q1014	97
Libya	21.5	16.8	30.2	22.1	Q1016	98
Lithuania	23.4	9.7	15.2	4.7	Q37	99
Luxembourg	3.1	1.5	1.5	0.5	Q32	100
Madagascar	74.5	68.2	78.3	61.0	Q1019	101
Malawi	51.0	44.3	56.1	44.0	Q1020	102
Malaysia	20.7	13.2	14.1	6.5	Q833	103
Maldives	24.2	10.5	9.3	2.0	Q826	104
Mali	71.9	62.6	73.5	63.5	Q912	105
Malta	2.6	1.5	0.8	0.4	Q233	106
Mauritania	61.2	52.4	64.5	51.2	Q1025	107
Mauritius	12.7	6.9	8.8	5.2	Q1027	108
Mexico	22.8	18.4	6.6	3.6	Q96	109
Moldova	51.9	39.3	49.9	32.9	Q217	110
Mongolia	50.5	30.4	46.4	25.2	Q711	111
Montenegro	10.8	8.6	8.3	7.3	Q236	112
Morocco	40.9	29.1	57.7	54.8	Q1028	113
Mozambique	70.5	59.8	91.0	80.5	Q1029	114
Myanmar	63.9	53.2	58.2	44.5	Q836	115
Namibia	33.0	24.1	29.2	21.1	Q1030	116
Nepal	66.3	53.2	84.6	75.3	Q837	117
Netherlands	4.0	2.8	2.4	1.3	Q55	118
New Caledonia	6.7	2.9	2.9	0.9	Q33788	119
New Zealand	11.1	7.6	5.8	3.8	Q664	120
Nicaragua	41.8	44.0	9.8	8.4	Q811	121
Niger	80.7	79.1	74.6	70.2	Q1032	122
Nigeria	53.7	44.5	42.8	24.4	Q1033	123
North Macedonia	23.7	16.3	25.4	14.8	Q221	124
Norway	6.0	3.0	2.3	1.1	Q20	125
Oman	6.6	5.2	5.4	0.4	Q842	126
Pakistan	39.3	30.1	65.5	66.4	Q843	127
Panama	25.2	18.3	1.8	8.0	Q804	128
Papua New Guinea	69.3	57.1	77.5	61.7	Q691	129
Paraguay	40.9	23.7	20.0	14.6	Q733	130
Peru	37.0	28.7	31.4	25.9	Q419	131
Philippines	45.3	30.5	24.0	14.4	Q928	132
Poland	18.9	10.6	18.4	8.4	Q36	133
Portugal	11.3	8.1	14.3	3.9	Q45	134
Puerto Rico	3.1	1.7	0.2	0.3	Q1183	135
Qatar	3.1	1.4	0.0	0.0	Q846	136
Romania	42.8	22.4	48.0	22.2	Q218	137
Russian Federation	17.1	7.7	11.7	4.0	Q159	138
Rwanda	83.0	53.4	93.8	72.4	Q1037	139
Samoa	54.5	43.0	17.9	6.8	Q683	140
Sao Tome and Principe	36.9	24.5	19.4	9.2	Q1039	141
Saudi Arabia	6.7	2.8	2.3	0.5	Q851	142
Senegal	47.4	34.1	43.8	25.7	Q1041	143
Serbia	26.4	17.7	26.3	13.6	Q403	144
Sierra Leone	66.7	58.4	73.7	52.8	Q1044	145
Singapore	1.2	1.0	0.4	0.3	Q334	146
Slovak Republic	9.1	3.2	4.3	1.2	Q214	147
Slovenia	9.5	5.9	9.7	4.9	Q215	148
Solomon Islands	48.2	38.1	52.6	38.2	Q685	149
Somalia	82.9	82.0	89.9	87.1	Q1045	150
South Africa	10.9	6.2	8.3	3.9	Q258	151
South Sudan	43.2	42.2	76.3	74.0	Q958	152
Spain	7.8	5.9	4.8	2.2	Q29	153
Sri Lanka	38.2	23.7	47.9	28.3	Q854	154
St. Lucia	26.0	22.1	13.8	11.7	Q760	155
St. Vincent and the Grenadines	22.0	15.3	8.5	4.8	Q757	156
Sudan	46.8	34.8	66.7	55.2	Q1049	157
Suriname	8.1	9.5	3.6	4.1	Q730	158
Sweden	4.3	2.4	1.4	0.9	Q34	159
Switzerland	5.5	3.4	4.0	2.6	Q39	160
Syrian Arab Republic	26.6	11.4	62.0	8.5	Q858	161
Tajikistan	49.5	36.4	78.9	61.2	Q863	162
Tanzania	80.4	63.7	85.7	68.0	Q924	163
Thailand	49.8	34.6	47.6	29.2	Q869	164
Timor-Leste	59.2	48.0	60.2	42.4	Q574	165
Togo	47.7	40.2	47.7	36.4	Q945	166
Tonga	50.5	38.4	4.3	2.4	Q678	167
Trinidad and Tobago	9.9	4.3	2.9	1.4	Q754	168
Tunisia	19.8	14.4	22.8	9.9	Q948	169
Turkey	29.2	14.9	65.6	26.0	Q43	170
Turkmenistan	33.2	20.9	26.5	19.4	Q874	171
Uganda	63.5	68.6	77.4	77.4	Q1036	172
Ukraine	25.9	17.0	24.3	12.5	Q212	173
United Arab Emirates	9.0	1.8	0.1	0.0	Q878	174
United Kingdom	2.2	1.5	0.8	0.6	Q145	175
United States	2.3	1.9	0.9	0.8	Q30	176
Uruguay	15.8	12.1	5.7	3.7	Q77	177
Uzbekistan	39.3	24.1	40.8	25.3	Q265	178
Vanuatu	63.5	57.0	69.5	55.7	Q686	179
Venezuela, RB	16.0	12.2	1.7	1.1	Q717	180
Vietnam	64.3	37.4	66.3	39.9	Q881	181
Virgin Islands (U.S.)	9.1	6.0	1.7	0.8	Q11703	182
West Bank and Gaza	10.3	6.2	34.7	6.8	Q407199	183
Yemen, Rep.	33.9	28.1	63.4	47.1	Q805	184
Zambia	64.3	44.1	78.1	54.9	Q953	185
Zimbabwe	52.1	62.6	70.0	70.0	Q954	186
