Country	Areas	ID	id_row
Albania	2.7	Q222	0
Algeria	0.1	Q262	1
American Samoa	8.7	Q16641	2
Angola	0.0	Q916	3
Antigua and Barbuda	0.2	Q781	4
Argentina	3.8	Q414	5
Aruba	0.0	Q21203	6
Australia	40.6	Q408	7
Azerbaijan	0.4	Q227	8
Bahamas, The	7.9	Q778	9
Bahrain	1.2	Q398	10
Bangladesh	5.4	Q902	11
Barbados	0.0	Q244	12
Belgium	36.7	Q31	13
Belize	10.1	Q242	14
Benin	0.0	Q962	15
Bermuda	0.0	Q23635	16
Bosnia and Herzegovina	0.0	Q225	17
Brazil	26.6	Q155	18
Brunei Darussalam	0.2	Q921	19
Bulgaria	8.1	Q219	20
Cabo Verde	0.0	Q1011	21
Cambodia	0.2	Q424	22
Cameroon	3.4	Q1009	23
Canada	0.9	Q16	24
Cayman Islands	0.1	Q5785	25
Chile	28.8	Q298	26
China	5.4	Q148	27
Colombia	17.1	Q739	28
Comoros	0.0	Q970	29
Congo, Dem. Rep.	0.2	Q974	30
Congo, Rep.	3.2	Q971	31
Costa Rica	0.8	Q800	32
Cote d'Ivoire	0.1	Q1008	33
Croatia	8.5	Q224	34
Cuba	4.3	Q241	35
Curacao	0.0	Q25279	36
Cyprus	0.1	Q229	37
Denmark	17.8	Q35	38
Djibouti	0.2	Q977	39
Dominica	0.1	Q784	40
Dominican Republic	18.0	Q786	41
Ecuador	13.3	Q736	42
Egypt, Arab Rep.	5.0	Q79	43
El Salvador	0.7	Q792	44
Equatorial Guinea	0.2	Q983	45
Eritrea	0.0	Q986	46
Estonia	18.6	Q191	47
Faroe Islands	0.0	Q4628	48
Fiji	0.9	Q712	49
Finland	10.5	Q33	50
France	45.0	Q142	51
French Polynesia	0.0	Q30971	52
Gabon	28.8	Q1000	53
Gambia, The	0.1	Q1005	54
Georgia	0.7	Q230	55
Germany	45.4	Q183	56
Ghana	0.1	Q117	57
Greece	4.5	Q41	58
Greenland	4.5	Q223	59
Grenada	0.1	Q769	60
Guam	0.0	Q16635	61
Guatemala	0.9	Q774	62
Guinea	0.5	Q1006	63
Guinea-Bissau	10.0	Q1007	64
Guyana	0.0	Q734	65
Haiti	0.0	Q790	66
Honduras	4.2	Q783	67
Iceland	0.4	Q189	68
India	0.2	Q668	69
Indonesia	3.1	Q252	70
Iran, Islamic Rep.	0.8	Q794	71
