Country	IndividualsusingtheInternet	ID	id_row
Afghanistan	11.4	Q889	0
Albania	69.6	Q222	1
Algeria	49.0	Q262	2
Andorra	91.6	Q228	3
Angola	14.3	Q916	4
Antigua and Barbuda	73.0	Q781	5
Argentina	74.3	Q414	6
Armenia	68.2	Q399	7
Aruba	97.2	Q21203	8
Australia	86.5	Q408	9
Austria	87.5	Q40	10
Azerbaijan	79.8	Q227	11
Bahamas, The	85.0	Q778	12
Bahrain	98.6	Q398	13
Bangladesh	12.9	Q902	14
Barbados	81.8	Q244	15
Belarus	79.1	Q184	16
Belgium	88.7	Q31	17
Belize	47.1	Q242	18
Benin	14.1	Q962	19
Bermuda	98.4	Q23635	20
Bhutan	41.8	Q917	21
Bolivia	44.3	Q750	22
Bosnia and Herzegovina	70.1	Q225	23
Botswana	41.4	Q963	24
Brazil	70.4	Q155	25
British Virgin Islands	77.7	Q25305	26
Brunei Darussalam	95.0	Q921	27
Bulgaria	64.8	Q219	28
Burkina Faso	15.9	Q965	29
Burundi	2.7	Q967	30
Cabo Verde	57.2	Q1011	31
Cambodia	40.5	Q424	32
Cameroon	23.2	Q1009	33
Canada	92.7	Q16	34
Cayman Islands	81.1	Q5785	35
Central African Republic	4.3	Q929	36
Chad	6.5	Q657	37
Chile	82.3	Q298	38
China	54.3	Q148	39
Colombia	64.1	Q739	40
Comoros	8.5	Q970	41
Congo, Dem. Rep.	8.6	Q974	42
Congo, Rep.	8.7	Q971	43
Costa Rica	73.5	Q800	44
Cote d'Ivoire	37.5	Q1008	45
Croatia	75.3	Q224	46
Cuba	62.7	Q241	47
Curacao	68.1	Q25279	48
Cyprus	84.4	Q229	49
Czech Republic	80.7	Q213	50
Denmark	97.3	Q35	51
Djibouti	55.7	Q977	52
Dominica	69.6	Q784	53
Dominican Republic	74.8	Q786	54
Ecuador	54.1	Q736	55
Egypt, Arab Rep.	46.9	Q79	56
El Salvador	33.8	Q792	57
Equatorial Guinea	26.2	Q983	58
Eritrea	1.3	Q986	59
Estonia	89.4	Q191	60
Eswatini	30.3	Q1050	61
Ethiopia	18.6	Q115	62
Faroe Islands	97.6	Q4628	63
Fiji	50.0	Q712	64
Finland	88.9	Q33	65
France	82.0	Q142	66
French Polynesia	72.7	Q30971	67
Gabon	50.3	Q1000	68
Gambia, The	19.8	Q1005	69
Georgia	62.7	Q230	70
Germany	87.0	Q183	71
Ghana	37.9	Q117	72
Gibraltar	94.4	Q1410	73
Greece	72.2	Q41	74
Greenland	69.5	Q223	75
Grenada	59.1	Q769	76
Guam	80.5	Q16635	77
Guatemala	40.7	Q774	78
Guinea	21.8	Q1006	79
Guinea-Bissau	3.9	Q1007	80
Guyana	37.3	Q734	81
Haiti	32.5	Q790	82
Honduras	32.1	Q783	83
Hong Kong SAR, China	90.5	Q8646	84
Hungary	76.1	Q28	85
Iceland	99.0	Q189	86
India	20.1	Q668	87
Indonesia	39.9	Q252	88
Iran, Islamic Rep.	70.0	Q794	89
Iraq	75.0	Q796	90
Ireland	84.5	Q27	91
Israel	83.7	Q801	92
Italy	74.4	Q38	93
Jamaica	55.1	Q766	94
Japan	91.3	Q17	95
Jordan	66.8	Q810	96
Kazakhstan	78.9	Q232	97
Kenya	22.6	Q114	98
Kiribati	14.6	Q710	99
Korea, Rep.	96.0	Q884	100
Kosovo	89.4	Q1246	101
Kuwait	99.6	Q817	102
Kyrgyz Republic	38.2	Q813	103
Lao PDR	25.5	Q819	104
Latvia	83.6	Q211	105
Lebanon	78.2	Q822	106
Lesotho	29.8	Q1013	107
Liberia	8.0	Q1014	108
Libya	21.8	Q1016	109
Liechtenstein	99.5	Q347	110
Lithuania	79.7	Q37	111
Luxembourg	97.1	Q32	112
Macao SAR, China	83.8	Q14773	113
North Macedonia	79.2	Q221	114
Madagascar	4.7	Q1019	115
Malawi	13.8	Q1020	116
Malaysia	81.2	Q833	117
Maldives	63.2	Q826	118
Mali	12.7	Q912	119
Malta	81.7	Q233	120
Marshall Islands	38.7	Q709	121
Mauritania	20.8	Q1025	122
Mauritius	58.6	Q1027	123
Mexico	65.8	Q96	124
Micronesia, Fed. Sts.	35.3	Q702	125
Moldova	76.1	Q217	126
Monaco	97.1	Q235	127
Mongolia	47.1	Q711	128
Montenegro	71.5	Q236	129
Morocco	64.8	Q1028	130
Mozambique	20.8	Q1029	131
Myanmar	23.6	Q836	132
Namibia	36.8	Q1030	133
Nauru	62.4	Q697	134
Nepal	21.4	Q837	135
Netherlands	92.6	Q55	136
New Caledonia	82.0	Q33788	137
New Zealand	90.8	Q664	138
Nicaragua	27.9	Q811	139
Niger	5.3	Q1032	140
Nigeria	7.5	Q1033	141
Norway	96.5	Q20	142
Oman	92.4	Q842	143
Pakistan	17.1	Q843	144
Panama	61.8	Q804	145
Papua New Guinea	11.2	Q691	146
Paraguay	65.0	Q733	147
Peru	55.1	Q419	148
Philippines	43.0	Q928	149
Poland	77.5	Q36	150
Portugal	74.7	Q45	151
Puerto Rico	70.9	Q1183	152
Qatar	99.7	Q846	153
Romania	70.7	Q218	154
Russian Federation	80.9	Q159	155
Rwanda	21.8	Q1037	156
Samoa	33.6	Q683	157
San Marino	60.2	Q238	158
Sao Tome and Principe	29.9	Q1039	159
Saudi Arabia	93.3	Q851	160
Senegal	29.6	Q1041	161
Serbia	73.4	Q403	162
Seychelles	58.8	Q1042	163
Sierra Leone	13.2	Q1044	164
Singapore	88.2	Q334	165
Slovak Republic	80.4	Q214	166
Slovenia	79.7	Q215	167
Solomon Islands	11.9	Q685	168
Somalia	2.0	Q1045	169
South Africa	56.2	Q258	170
South Sudan	8.0	Q958	171
Spain	86.1	Q29	172
Sri Lanka	34.1	Q854	173
St. Kitts and Nevis	80.7	Q763	174
St. Lucia	50.8	Q760	175
St. Vincent and the Grenadines	20.7	Q757	176
Sudan	30.9	Q1049	177
Suriname	48.9	Q730	178
Sweden	94.5	Q34	179
Switzerland	93.1	Q39	180
Syrian Arab Republic	34.3	Q858	181
Tajikistan	22.0	Q863	182
Tanzania	16.0	Q924	183
Thailand	56.8	Q869	184
Timor-Leste	27.5	Q574	185
Togo	12.4	Q945	186
Tonga	41.2	Q678	187
Trinidad and Tobago	77.3	Q754	188
Tunisia	64.2	Q948	189
Turkey	71.0	Q43	190
Turkmenistan	21.3	Q874	191
Tuvalu	49.3	Q672	192
Uganda	23.7	Q1036	193
Ukraine	62.6	Q212	194
United Arab Emirates	98.5	Q878	195
United Kingdom	90.7	Q145	196
United States	88.5	Q30	197
Uruguay	74.4	Q77	198
Uzbekistan	55.2	Q265	199
Vanuatu	25.7	Q686	200
Venezuela, RB	64.3	Q717	201
Vietnam	69.8	Q881	202
Virgin Islands (U.S.)	64.4	Q11703	203
West Bank and Gaza	64.4	Q407199	204
Yemen, Rep.	26.7	Q805	205
Zambia	14.3	Q953	206
Zimbabwe	27.1	Q954	207
