Country	Factor2018	Factor2019	ID	id_row
Sao Tome and Principe	20.8	21.9	Q1039	156
Saudi Arabia	3.8	3.8	Q851	157
Senegal	555.4	585.9	Q1041	158
Serbia	100.2	105.2	Q403	159
Seychelles	13.9	14.0	Q1042	160
Sierra Leone	1.6	1.2	Q1044	161
Singapore	1.3	1.4	Q334	162
Slovak Republic	0.8	0.9	Q214	163
Slovenia	0.8	0.9	Q215	164
Solomon Islands	8.0	8.2	Q685	165
South Africa	13.2	14.4	Q258	166
Spain	0.8	0.9	Q29	167
Sri Lanka	162.5	178.7	Q854	168
St. Kitts and Nevis	2.7	2.7	Q763	169
St. Lucia	2.7	2.7	Q760	170
St. Vincent and the Grenadines	2.7	2.7	Q757	171
Sudan	38.2	60.5	Q1049	172
Suriname	7.5	7.5	Q730	173
Eswatini	13.2	14.7	Q1050	174
Sweden	8.7	9.5	Q34	175
Switzerland	1.0	1.0	Q39	176
Tajikistan	9.2	9.5	Q863	177
Tanzania	1.8	1.5	Q924	178
Thailand	32.3	31.0	Q869	179
Timor-Leste	1.0	1.0	Q574	180
Togo	555.4	585.9	Q945	181
Tonga	2.2	2.3	Q678	182
Trinidad and Tobago	6.8	6.8	Q754	183
Tunisia	2.6	2.9	Q948	184
Turkey	4.8	5.7	Q43	185
Turkmenistan	3.5	3.5	Q874	186
Turks and Caicos Islands	1.0	1.0	Q18221	187
Tuvalu	1.3	1.4	Q672	188
Uganda	1.7	1.8	Q1036	189
Ukraine	27.2	25.8	Q212	190
United Arab Emirates	3.7	3.7	Q878	191
United Kingdom	0.7	0.8	Q145	192
United States	1.0	1.0	Q30	193
Uruguay	30.7	35.3	Q77	194
Uzbekistan	8069.6	1.8	Q265	195
Vanuatu	110.2	114.3	Q686	196
Vietnam	22602.1	23050.2	Q881	197
Virgin Islands (U.S.)	1.0	1.0	Q11703	198
West Bank and Gaza	1.0	1.0	Q407199	199
Yemen, Rep.	493.0	493.0	Q805	200
Zambia	10.5	12.9	Q953	201
Zimbabwe	1.0	1.0	Q954	202
