Country	Savings	ID	id_row
Afghanistan	13.2	Q889	0
Albania	18.9	Q222	1
Algeria	9.0	Q262	2
Angola	42.7	Q916	3
Antigua and Barbuda	11.0	Q781	4
Argentina	12.6	Q414	5
Armenia	13.9	Q399	6
Aruba	10.9	Q21203	7
Australia	18.6	Q408	8
Austria	18.0	Q40	9
Azerbaijan	7.7	Q227	10
Bahamas, The	20.1	Q778	11
Bahrain	7.5	Q398	12
Bangladesh	8.3	Q902	13
Barbados	11.2	Q244	14
Belarus	14.8	Q184	15
Belgium	18.8	Q31	16
Belize	17.5	Q242	17
Benin	17.1	Q962	18
Bhutan	9.2	Q917	19
Bolivia	14.7	Q750	20
Bosnia and Herzegovina	14.1	Q225	21
Botswana	21.8	Q963	22
Brazil	11.9	Q155	23
Brunei Darussalam	8.3	Q921	24
Bulgaria	13.8	Q219	25
Burkina Faso	12.4	Q965	26
Burundi	13.8	Q967	27
Cabo Verde	19.7	Q1011	28
Cambodia	15.5	Q424	29
Cameroon	16.2	Q1009	30
Canada	16.7	Q16	31
Cayman Islands	9.2	Q5785	32
Central African Republic	14.8	Q929	33
Chad	12.8	Q657	34
Chile	15.0	Q298	35
China	21.5	Q148	36
Hong Kong SAR, China	9.5	Q8646	37
Macao SAR, China	11.1	Q14773	38
Colombia	17.1	Q739	39
Comoros	8.6	Q970	40
Congo, Dem. Rep.	6.4	Q974	41
Congo, Rep.	24.5	Q971	42
Costa Rica	5.6	Q800	43
Cote d'Ivoire	1.6	Q1008	44
Croatia	14.0	Q224	45
Cuba	12.6	Q241	46
Cyprus	11.4	Q229	47
Czech Republic	21.2	Q213	48
Denmark	16.1	Q35	49
Djibouti	14.0	Q977	50
Dominica	30.2	Q784	51
Dominican Republic	5.3	Q786	52
Ecuador	18.5	Q736	53
Egypt, Arab Rep.	5.6	Q79	54
El Salvador	13.0	Q792	55
Equatorial Guinea	17.4	Q983	56
Estonia	15.6	Q191	57
Eswatini	12.4	Q1050	58
Ethiopia	21.4	Q115	59
Fiji	11.3	Q712	60
Finland	18.1	Q33	61
France	17.8	Q142	62
Gabon	16.2	Q1000	63
Gambia, The	14.4	Q1005	64
Georgia	11.1	Q230	65
Germany	17.7	Q183	66
Ghana	19.9	Q117	67
Greece	15.7	Q41	68
Grenada	20.4	Q769	69
Guatemala	13.2	Q774	70
Guinea	14.1	Q1006	71
Guinea-Bissau	3.8	Q1007	72
Guyana	4.2	Q734	73
Haiti	7.1	Q790	74
Honduras	6.1	Q783	75
Hungary	16.6	Q28	76
Iceland	17.9	Q189	77
India	11.5	Q668	78
Indonesia	18.1	Q252	79
Iran, Islamic Rep.	16.6	Q794	80
Iraq	11.6	Q796	81
Ireland	30.6	Q27	82
Israel	13.3	Q801	83
Italy	17.3	Q38	84
Jamaica	7.9	Q766	85
Japan	21.4	Q17	86
Jordan	8.3	Q810	87
Kazakhstan	13.4	Q232	88
Kenya	14.8	Q114	89
Kiribati	4.7	Q710	90
Korea, Rep.	19.7	Q884	91
Kosovo	11.2	Q1246	92
Kuwait	10.1	Q817	93
Kyrgyz Republic	11.5	Q813	94
Lao PDR	19.6	Q819	95
Latvia	21.8	Q211	96
Lebanon	19.8	Q822	97
Lesotho	13.9	Q1013	98
Liberia	6.5	Q1014	99
Libya	8.6	Q1016	100
Liechtenstein	16.0	Q347	101
Lithuania	12.6	Q37	102
Luxembourg	19.0	Q32	103
Madagascar	12.6	Q1019	104
Malawi	14.6	Q1020	105
Malaysia	21.2	Q833	106
Maldives	13.9	Q826	107
Mali	7.1	Q912	108
Malta	13.4	Q233	109
Marshall Islands	7.8	Q709	110
Mauritania	8.6	Q1025	111
Mauritius	15.8	Q1027	112
Mexico	18.2	Q96	113
Micronesia, Fed. Sts.	8.0	Q702	114
Moldova	12.5	Q217	115
Mongolia	8.8	Q711	116
Montenegro	13.1	Q236	117
Morocco	11.2	Q1028	118
Mozambique	8.5	Q1029	119
Myanmar	6.5	Q836	120
Namibia	10.4	Q1030	121
Nepal	11.8	Q837	122
Netherlands	16.3	Q55	123
New Zealand	15.4	Q664	124
Nicaragua	10.2	Q811	125
Niger	6.0	Q1032	126
Nigeria	12.7	Q1033	127
North Macedonia	18.8	Q221	128
Norway	16.7	Q20	129
Oman	14.8	Q842	130
Pakistan	4.9	Q843	131
Palau	8.0	Q695	132
Panama	8.0	Q804	133
Papua New Guinea	7.5	Q691	134
