Country	_2000	_2018	ID	id_row
St. Vincent and the Grenadines	19.0	16.7	Q757	156
Sudan	20.4	29.1	Q1049	157
Suriname	19.7	11.4	Q730	158
Sweden	5.0	6.3	Q34	159
Switzerland	3.1	5.1	Q39	160
Syrian Arab Republic	19.6	20.9	Q858	161
Tajikistan	13.8	10.1	Q863	162
Tanzania	3.1	2.5	Q924	163
Thailand	2.3	0.7	Q869	164
Timor-Leste	4.2	6.0	Q574	165
Togo	4.4	1.6	Q945	166
Tonga	5.6	1.9	Q678	167
Trinidad and Tobago	4.4	2.5	Q754	168
Tunisia	16.1	23.1	Q948	169
Turkey	6.3	13.7	Q43	170
Turkmenistan	8.9	2.1	Q874	171
Uganda	3.2	2.2	Q1036	172
Ukraine	11.3	7.4	Q212	173
United Arab Emirates	2.7	6.2	Q878	174
United Kingdom	4.9	3.9	Q145	175
United States	4.1	3.8	Q30	176
Uruguay	15.9	10.1	Q77	177
Uzbekistan	11.8	5.5	Q265	178
Vanuatu	5.2	4.9	Q686	179
Venezuela, RB	14.6	8.0	Q717	180
Vietnam	2.1	1.8	Q881	181
Virgin Islands (U.S.)	10.3	9.1	Q11703	182
West Bank and Gaza	8.0	41.8	Q407199	183
Yemen, Rep.	8.9	25.3	Q805	184
Zambia	11.4	12.4	Q953	185
Zimbabwe	4.6	5.6	Q954	186
