Country	Bothsexes	Male	Female	ID	id_row
Afghanistan	23.0	23.6	22.4	Q889	0
Albania	31.6	34.8	28.5	Q222	1
Algeria	21.7	22.4	20.9	Q262	2
Andorra	24.5	27.8	21.3	Q228	3
Angola	22.3	23.0	21.6	Q916	4
Antigua and Barbuda	24.2	26.7	21.9	Q781	5
Argentina	24.2	27.9	20.7	Q414	6
Armenia	27.4	28.1	26.8	Q399	7
Australia	18.9	21.0	16.9	Q408	8
Austria	27.4	30.2	24.7	Q40	9
Azerbaijan	23.0	23.9	22.3	Q227	10
Bahamas	21.2	24.8	17.9	Q778	11
Bahrain	16.3	17.6	14.0	Q398	12
Bangladesh	20.9	21.6	20.2	Q902	13
Barbados	27.9	29.2	26.7	Q244	14
Belarus	31.8	35.2	29.1	Q184	15
Belgium	23.5	27.5	19.8	Q31	16
Belize	18.3	20.2	16.4	Q242	17
Benin	21.4	21.4	21.3	Q962	18
Bhutan	23.3	24.7	21.6	Q917	19
Bolivia (Plurinational State of)	15.1	16.7	13.6	Q750	20
Bosnia and Herzegovina	36.7	38.1	35.4	Q225	21
Botswana	22.6	22.6	22.6	Q963	22
Brazil	23.1	26.0	20.4	Q155	23
Brunei Darussalam	17.8	21.2	14.5	Q921	24
Bulgaria	36.3	39.5	33.3	Q219	25
Burkina Faso	24.5	23.7	25.2	Q965	26
Burundi	21.6	21.1	22.1	Q967	27
Cabo Verde	25.2	25.5	24.8	Q1011	28
Cambodia	22.6	22.4	22.8	Q424	29
Cameroon	18.6	19.3	17.9	Q1009	30
Canada	17.2	18.8	15.7	Q16	31
Central African Republic	24.8	25.4	24.2	Q929	32
Chad	24.3	24.2	24.5	Q657	33
Chile	22.7	26.4	19.2	Q298	34
China	20.6	22.5	18.6	Q148	35
Colombia	18.2	20.1	16.4	Q739	36
Comoros	22.1	22.3	21.9	Q970	37
Congo	20.8	22.5	19.2	Q971	38
Cook Islands	21.4	23.7	19.0	Q26988	39
Costa Rica	18.2	20.3	16.1	Q800	40
Côte d'Ivoire	21.5	23.3	19.7	Q1008	41
Croatia	41.0	44.7	37.6	Q224	42
Cuba	23.0	24.1	21.9	Q241	43
Cyprus	22.1	25.3	18.8	Q229	44
Czechia	34.1	39.2	29.3	Q213	45
Democratic People's Republic of Korea	19.2	18.8	19.4	Q423	46
Democratic Republic of the Congo	21.8	23.1	20.5	Q974	47
Denmark	27.0	32.1	22.1	Q35	48
Djibouti	21.8	23.4	20.2	Q977	49
Dominica	23.4	26.0	20.9	Q784	50
Dominican Republic	20.1	22.4	17.9	Q786	51
Ecuador	16.7	18.5	15.1	Q736	52
Egypt	22.6	22.4	22.9	Q79	53
El Salvador	16.8	18.0	15.9	Q792	54
Equatorial Guinea	24.1	25.6	22.4	Q983	55
Eritrea	21.1	21.0	21.1	Q986	56
Estonia	34.3	38.3	31.0	Q191	57
Eswatini	22.0	20.9	23.0	Q1050	58
Ethiopia	23.6	22.9	24.2	Q115	59
Fiji	20.3	20.9	19.7	Q712	60
Finland	26.5	29.7	23.5	Q33	61
France	28.5	33.0	24.5	Q142	62
Gabon	21.5	23.7	19.3	Q1000	63
Gambia	21.5	23.1	20.0	Q1005	64
Georgia	31.5	31.9	31.1	Q230	65
Germany	27.7	30.7	24.8	Q183	66
Ghana	18.6	19.8	17.5	Q117	67
Greece	26.0	28.2	23.9	Q41	68
Grenada	22.2	24.1	20.3	Q769	69
Guatemala	17.0	18.0	16.1	Q774	70
Guinea	24.1	23.6	24.7	Q1006	71
Guinea-Bissau	24.0	24.2	23.9	Q1007	72
Guyana	19.5	20.8	18.2	Q734	73
Haiti	20.2	21.2	19.3	Q790	74
Honduras	17.3	18.7	15.9	Q783	75
Hungary	36.7	40.5	33.3	Q28	76
Iceland	23.2	29.4	16.9	Q189	77
India	23.5	24.2	22.7	Q668	78
Indonesia	22.0	22.5	21.4	Q252	79
Iran (Islamic Republic of)	17.1	18.1	16.1	Q794	80
Iraq	19.4	20.2	18.6	Q796	81
Ireland	22.8	25.4	20.2	Q27	82
Israel	18.7	21.8	15.7	Q801	83
Italy	29.7	31.8	27.8	Q38	84
Jamaica	21.9	24.1	19.8	Q766	85
Japan	26.7	29.9	23.7	Q17	86
Jordan	16.4	18.9	13.8	Q810	87
Kazakhstan	26.5	28.4	24.8	Q232	88
Kenya	19.9	20.5	19.3	Q114	89
Kiribati	20.7	23.0	18.3	Q710	90
