Country	Cancerrate	ID	id_row
Australia	468.0	Q408	0
New Zealand	438.1	Q664	1
Ireland	373.7	Q27	2
Hungary	368.1	Q28	3
United States	352.2	Q30	4
Belgium	345.8	Q31	5
France	344.1	Q142	6
Denmark	340.4	Q35	7
Norway	337.8	Q20	8
Netherlands	334.1	Q55	9
Canada	334.0	Q16	10
France (New Caledonia)	324.2	Q33788	11
United Kingdom	319.2	Q145	12
South Korea	313.5	Q884	13
Germany	313.1	Q183	14
Switzerland	311.0	Q39	15
Luxembourg	309.3	Q32	16
Serbia	307.9	Q403	17
Slovenia	304.9	Q215	18
Latvia	302.2	Q211	19
Slovakia	297.5	Q214	20
Czech Republic	296.7	Q213	21
Sweden	294.7	Q34	22
Italy	290.6	Q38	23
Croatia	287.2	Q224	24
Lithuania	285.8	Q37	25
Estonia	283.3	Q191	26
Greece	279.8	Q41	27
Spain	272.3	Q29	28
Finland	266.2	Q33	29
Uruguay	263.4	Q77	30
Belarus	260.7	Q184	31
Portugal	259.5	Q45	32
Iceland	257.8	Q189	33
France (Guadeloupe)	254.6	Q3118683	34
United States (Puerto Rico)	254.5	Q1183	35
Moldova	254.2	Q217	36
Poland	253.8	Q36	37
Cyprus	250.8	Q229	38
France (Martinique)	250.8	Q17054	39
Malta	249.4	Q233	40
Singapore	248.9	Q334	41
Japan	248.0	Q17	42
Austria	247.7	Q40	43
Barbados	247.5	Q244	44
France (French Guiana)	247.0	Q1006	45
Bulgaria	242.8	Q219	46
Lebanon	242.8	Q822	47
France (French Polynesia)	240.6	Q30971	48
Israel	233.6	Q801	49
