Country	Index	ID	id_row
Afghanistan	2.7	Q889	0
Burkina Faso	3.6	Q965	1
Burundi	2.9	Q967	2
Cameroon	3.3	Q1009	3
Central African Republic	2.6	Q929	4
Chad	2.7	Q657	5
Comoros	2.8	Q970	6
Congo, Dem. Rep.	2.9	Q974	7
Congo, Rep.	2.7	Q971	8
Cote d'Ivoire	3.5	Q1008	9
Eritrea	2.0	Q986	10
Gambia, The	3.0	Q1005	11
Guinea-Bissau	2.5	Q1007	12
Haiti	2.8	Q790	13
Kiribati	2.9	Q710	14
Kosovo	3.5	Q1246	15
Liberia	2.9	Q1014	16
Mali	3.4	Q912	17
Marshall Islands	2.6	Q709	18
Micronesia, Fed. Sts.	2.8	Q702	19
Myanmar	3.0	Q836	20
Niger	3.4	Q1032	21
Nigeria	3.1	Q1033	22
Papua New Guinea	3.0	Q691	23
Solomon Islands	2.9	Q685	24
Somalia	1.8	Q1045	25
South Sudan	1.5	Q958	26
Sudan	2.3	Q1049	27
Timor-Leste	2.8	Q574	28
Tuvalu	2.9	Q672	29
Yemen, Rep.	2.0	Q805	30
Zimbabwe	2.8	Q954	31
