Country	Male_2000	Male_2018	Female_2000	Female_2018	ID	id_row
Afghanistan	9.6	16.4	11.2	24.5	Q889	0
Albania	17.8	22.7	7.1	15.7	Q222	1
Algeria	23.9	32.1	30.4	23.9	Q262	2
Angola	15.5	15.3	1.8	1.1	Q916	3
Argentina	31.6	31.3	10.4	9.1	Q414	4
Armenia	22.7	23.8	8.6	8.9	Q399	5
Australia	30.5	30.1	10.2	8.1	Q408	6
Austria	42.3	37.2	14.2	11.9	Q40	7
Azerbaijan	13.8	22.9	7.5	5.9	Q227	8
Bahamas, The	27.2	24.9	5.8	3.0	Q778	9
Bahrain	32.6	42.0	12.6	8.9	Q398	10
Bangladesh	11.3	22.3	8.6	17.3	Q902	11
Barbados	29.8	29.0	10.5	9.2	Q244	12
Belarus	38.3	42.0	23.0	19.1	Q184	13
Belgium	36.2	31.9	11.7	8.5	Q31	14
Belize	19.9	19.5	11.6	9.3	Q242	15
Benin	19.8	21.1	20.4	16.6	Q962	16
Bhutan	8.1	10.9	5.0	9.9	Q917	17
Bolivia	25.0	26.8	9.7	10.2	Q750	18
Bosnia and Herzegovina	36.9	41.0	18.5	17.9	Q225	19
Botswana	26.6	25.7	14.3	9.6	Q963	20
Brazil	27.2	27.1	13.4	10.8	Q155	21
Brunei Darussalam	29.5	21.0	9.9	9.1	Q921	22
Bulgaria	37.6	36.8	27.3	22.4	Q219	23
Burkina Faso	4.8	33.3	8.6	33.6	Q965	24
Burundi	3.7	2.7	0.6	0.4	Q967	25
Cabo Verde	23.2	30.4	11.9	11.1	Q1011	26
Cambodia	7.3	29.6	9.7	26.9	Q424	27
Cameroon	11.8	18.1	7.5	11.2	Q1009	28
Canada	33.3	29.6	11.4	8.5	Q16	29
Central African Republic	9.2	7.7	3.6	2.7	Q929	30
Chad	3.0	3.4	0.6	0.6	Q657	31
Channel Islands	42.3	33.8	18.7	10.8	Q42314	32
Chile	29.1	31.1	12.3	10.2	Q298	33
China	20.8	30.3	24.6	25.5	Q148	34
Hong Kong SAR, China	27.5	19.3	10.4	4.0	Q8646	35
Macao SAR, China	41.4	17.0	12.8	2.6	Q14773	36
Colombia	19.2	23.7	17.4	14.9	Q739	37
Comoros	15.8	15.5	13.2	10.0	Q970	38
Congo, Dem. Rep.	12.9	15.6	3.5	3.5	Q974	39
Congo, Rep.	23.5	22.5	24.7	21.3	Q971	40
Costa Rica	25.3	24.9	16.4	11.0	Q800	41
Cote d'Ivoire	13.0	14.5	12.6	10.5	Q1008	42
Croatia	36.0	37.8	20.4	15.2	Q224	43
Cuba	21.8	21.1	13.8	10.4	Q241	44
Cyprus	30.9	25.4	13.0	6.4	Q229	45
Czech Republic	49.8	48.3	27.2	23.9	Q213	46
Denmark	35.5	27.5	13.5	8.7	Q35	47
Djibouti	14.6	16.4	8.1	7.4	Q977	48
Dominican Republic	26.7	26.3	20.3	9.5	Q786	49
Ecuador	24.3	23.8	14.4	10.8	Q736	50
Egypt, Arab Rep.	24.5	32.4	6.9	6.9	Q79	51
El Salvador	24.2	25.4	24.3	17.8	Q792	52
Equatorial Guinea	18.5	24.9	6.2	11.0	Q983	53
Eritrea	14.0	11.8	6.4	4.6	Q986	54
Estonia	47.1	41.2	22.6	17.3	Q191	55
Eswatini	24.2	25.1	28.5	22.8	Q1050	56
Ethiopia	5.1	10.3	8.6	9.7	Q115	57
Fiji	15.8	15.8	12.1	8.4	Q712	58
Finland	40.2	34.8	14.2	8.9	Q33	59
France	36.1	30.1	14.0	9.6	Q142	60
French Polynesia	22.5	22.0	8.7	5.1	Q30971	61
Gabon	14.2	15.2	2.3	2.8	Q1000	62
Gambia, The	25.2	24.1	5.3	4.0	Q1005	63
Georgia	14.9	20.2	4.0	5.5	Q230	64
Germany	45.3	39.0	18.3	13.9	Q183	65
Ghana	13.5	19.5	14.4	22.9	Q117	66
Greece	28.5	20.5	12.1	7.7	Q41	67
Guam	19.6	21.9	3.4	3.5	Q16635	68
Guatemala	21.5	19.6	24.3	17.0	Q774	69
Guinea	9.6	11.0	2.0	2.1	Q1006	70
Guinea-Bissau	10.6	9.6	5.3	4.2	Q1007	71
Guyana	28.3	31.6	15.1	8.3	Q734	72
Haiti	11.5	10.8	2.9	1.9	Q790	73
Honduras	20.8	21.4	25.1	18.3	Q783	74
Hungary	41.1	42.7	24.8	20.0	Q28	75
Iceland	32.6	25.2	10.3	7.5	Q189	76
India	17.9	26.9	11.7	17.3	Q668	77
Indonesia	18.9	25.7	15.0	17.0	Q252	78
Iran, Islamic Rep.	30.0	32.8	32.5	25.1	Q794	79
Iraq	22.8	23.7	15.6	11.0	Q796	80
Ireland	37.5	27.5	15.3	8.5	Q27	81
Israel	32.5	25.5	13.3	7.9	Q801	82
Italy	38.3	35.5	20.5	13.1	Q38	83
Jamaica	24.3	24.2	6.2	6.0	Q766	84
Japan	38.1	32.5	21.6	14.1	Q17	85
Jordan	22.5	26.9	13.6	13.4	Q810	86
Kazakhstan	21.9	28.8	9.6	11.3	Q232	87
Kenya	16.3	12.2	6.5	2.0	Q114	88
Korea, Dem. Peopleâ€™s Rep.	24.0	19.7	9.5	7.0	Q423	89
Korea, Rep.	34.4	33.7	19.1	13.5	Q884	90
Kuwait	27.7	31.4	2.6	3.4	Q817	91
Kyrgyz Republic	13.0	29.8	7.2	13.6	Q813	92
Lao PDR	5.5	14.4	3.6	8.7	Q819	93
Latvia	34.4	34.5	18.6	13.0	Q211	94
Lebanon	26.7	25.2	20.5	14.5	Q822	95
Lesotho	44.6	50.4	36.3	31.5	Q1013	96
Liberia	16.1	15.3	6.0	5.0	Q1014	97
Libya	31.1	28.0	16.2	12.0	Q1016	98
Lithuania	32.8	35.2	21.0	16.6	Q37	99
Luxembourg	30.2	18.2	6.4	4.1	Q32	100
Madagascar	9.8	9.3	8.1	8.5	Q1019	101
Malawi	17.0	17.2	12.1	10.3	Q1020	102
Malaysia	34.0	31.9	28.9	19.4	Q833	103
Maldives	17.9	17.7	36.3	21.5	Q826	104
Mali	9.3	9.4	7.9	5.3	Q912	105
Malta	36.3	25.3	24.6	8.9	Q233	106
Mauritania	12.1	14.0	9.3	9.9	Q1025	107
Mauritius	37.2	31.3	43.5	16.1	Q1027	108
Mexico	29.5	31.2	22.1	17.8	Q96	109
Moldova	17.9	21.7	10.3	11.3	Q217	110
Mongolia	16.6	25.3	11.2	12.0	Q711	111
Montenegro	31.2	27.5	15.8	7.8	Q236	112
Morocco	20.1	24.6	19.1	12.3	Q1028	113
Mozambique	6.4	14.4	0.3	2.9	Q1029	114
Myanmar	13.2	16.5	13.2	15.3	Q836	115
Namibia	16.9	24.8	6.7	7.6	Q1030	116
Nepal	15.5	23.5	5.5	8.2	Q837	117
Netherlands	30.6	24.6	9.5	6.3	Q55	118
New Caledonia	34.0	32.5	8.7	7.0	Q33788	119
New Zealand	32.5	29.3	12.3	9.3	Q664	120
Nicaragua	18.2	19.3	17.4	12.7	Q811	121
Niger	4.7	4.4	13.3	11.0	Q1032	122
Nigeria	12.0	11.8	12.2	12.8	Q1033	123
North Macedonia	36.6	34.4	31.1	26.7	Q221	124
Norway	32.7	30.6	9.4	7.0	Q20	125
Oman	10.7	36.8	13.6	4.3	Q842	126
Pakistan	21.3	27.1	15.5	16.5	Q843	127
Panama	21.8	24.7	9.2	9.8	Q804	128
Papua New Guinea	5.8	10.1	1.5	2.6	Q691	129
Paraguay	20.0	25.5	10.7	8.2	Q733	130
Peru	18.0	21.2	9.4	8.7	Q419	131
Philippines	17.9	24.9	13.1	9.8	Q928	132
Poland	41.0	43.5	18.8	17.4	Q36	133
Portugal	44.2	33.9	22.5	15.4	Q45	134
Puerto Rico	27.5	21.7	14.7	8.0	Q1183	135
Qatar	43.3	62.0	2.8	6.4	Q846	136
Romania	30.6	36.6	20.3	21.5	Q218	137
Russian Federation	35.8	37.3	22.3	15.7	Q159	138
Rwanda	4.4	15.0	0.6	2.8	Q1037	139
Samoa	13.7	17.5	29.4	33.2	Q683	140
Sao Tome and Principe	26.5	25.9	4.7	3.4	Q1039	141
Saudi Arabia	22.7	28.2	1.5	2.2	Q851	142
Senegal	14.8	18.7	7.2	5.6	Q1041	143
Serbia	32.6	33.4	19.5	18.7	Q403	144
Sierra Leone	9.9	11.3	2.3	1.4	Q1044	145
Singapore	30.9	19.3	23.0	10.9	Q334	146
Slovak Republic	47.2	49.6	25.5	20.6	Q214	147
Slovenia	45.6	44.3	28.3	20.4	Q215	148
Solomon Islands	11.9	14.6	3.4	4.2	Q685	149
Somalia	5.5	4.2	2.4	1.6	Q1045	150
South Africa	34.8	32.2	15.0	11.6	Q258	151
South Sudan	22.9	19.2	10.2	7.7	Q958	152
Spain	40.2	29.6	14.4	9.1	Q29	153
Sri Lanka	23.5	29.8	23.1	27.6	Q854	154
St. Lucia	24.4	26.9	14.9	7.2	Q760	155
St. Vincent and the Grenadines	28.4	29.3	8.4	6.8	Q757	156
Sudan	15.0	21.0	3.2	4.4	Q1049	157
Suriname	32.4	32.7	9.0	7.2	Q730	158
Sweden	36.2	28.3	11.5	7.1	Q34	159
Switzerland	34.9	29.7	12.4	9.9	Q39	160
Syrian Arab Republic	30.1	29.9	7.4	7.8	Q858	161
Tajikistan	22.4	20.6	4.2	7.1	Q863	162
Tanzania	4.4	10.0	1.2	3.1	Q924	163
Thailand	20.5	25.2	17.3	20.0	Q869	164
