Country	Imports2010	Imports2019	ID	id_row
St. Vincent and the Grenadines	17.0	19.0	Q757	156
Sudan	47.0	1.0	Q1049	157
Suriname	17.0	12.0	Q730	158
Sweden	24.0	23.0	Q34	159
Switzerland	16.0	17.0	Q39	160
Tajikistan	1.0	1.0	Q863	161
Tanzania	45.0	36.0	Q924	162
Thailand	14.0	24.0	Q869	163
Timor-Leste	11.0	29.0	Q574	164
Togo	12.0	9.0	Q945	165
Tonga	17.0	43.0	Q678	166
Trinidad and Tobago	19.0	4.0	Q754	167
Tunisia	18.0	29.0	Q948	168
Turkey	28.0	15.0	Q43	169
Uganda	18.0	7.0	Q1036	170
Ukraine	31.0	58.0	Q212	171
United Kingdom	33.0	25.0	Q145	172
United States	23.0	27.0	Q30	173
Uruguay	29.0	30.0	Q77	174
Vanuatu	24.0	11.0	Q686	175
Venezuela, RB	15.0	20.0	Q717	176
West Bank and Gaza	70.0	51.0	Q407199	177
Yemen, Rep.	9.0	3.0	Q805	178
Zambia	12.0	20.0	Q953	179
Zimbabwe	10.0	29.0	Q954	180
