Country	FHFreepressreport	RWBPressfreedomindex	ID	id_row
Afghanistan	74.0	37.36	Q889	0
Albania	51.0	30.88	Q222	1
Algeria	62.0	36.54	Q262	2
Andorra	13.0	6.82	Q228	3
Angola	67.0	37.8	Q916	4
Argentina	50.0	25.67	Q414	5
Armenia	65.0	28.04	Q399	6
Australia	21.0	15.24	Q408	7
Austria	21.0	9.4	Q40	8
Azerbaijan	80.0	47.73	Q227	9
Bahrain	84.0	62.75	Q398	10
Bangladesh	52.0	42.01	Q902	11
Belarus	93.0	48.35	Q184	12
Belgium	11.0	12.94	Q31	13
Benin	34.0	28.33	Q962	14
Bhutan	58.0	28.42	Q917	15
Bolivia	47.0	32.8	Q750	16
Bosnia and Herzegovina	48.0	26.86	Q225	17
Botswana	40.0	22.91	Q963	18
Brazil	44.0	32.75	Q155	19
Brunei	75.0	35.45	Q921	20
Bulgaria	36.0	28.58	Q219	21
Burkina Faso	42.0	23.7	Q965	22
Burundi	72.0	38.02	Q967	23
Cambodia	63.0	41.81	Q424	24
Cameroon	68.0	34.78	Q1009	25
Canada	19.0	12.69	Q16	26
Cape Verde	27.0	14.33	Q1011	27
Central African Republic	62.0	26.61	Q929	28
Chad	75.0	34.87	Q657	29
Chile	31.0	26.24	Q298	30
China	85.0	73.07	Q148	31
Colombia	55.0	37.48	Q739	32
Comoros	48.0	24.52	Q970	33
Congo, Democratic Republic of the	83.0	41.66	Q974	34
Congo, Republic of the	55.0	28.2	Q971	35
Costa Rica	19.0	12.08	Q800	36
Côte d'Ivoire	70.0	29.77	Q1008	37
Croatia	40.0	26.61	Q224	38
Cuba	91.0	71.64	Q241	39
Cyprus	22.0	13.83	Q229	40
Czech Republic	19.0	10.17	Q213	41
Denmark	12.0	7.08	Q35	42
Djibouti	74.0	67.4	Q977	43
Dominican Republic	41.0	28.34	Q786	44
East Timor	35.0	28.72	Q574	45
Ecuador	58.0	34.69	Q736	46
Egypt	57.0	48.66	Q79	47
El Salvador	40.0	22.86	Q792	48
Equatorial Guinea	91.0	67.2	Q983	49
Eritrea	94.0	84.83	Q986	50
Estonia	18.0	9.26	Q191	51
Ethiopia	81.0	39.57	Q115	52
Fiji	58.0	32.69	Q712	53
Finland	10.0	6.38	Q33	54
France	24.0	21.6	Q142	55
Gabon	70.0	28.69	Q1000	56
Gambia	81.0	45.09	Q1005	57
Georgia	52.0	30.09	Q230	58
Germany	17.0	10.24	Q183	59
Ghana	28.0	17.27	Q117	60
Greece	30.0	28.46	Q41	61
Guatemala	60.0	29.39	Q774	62
Guinea	62.0	28.49	Q1006	63
GuineaBissau	57.0	28.94	Q1007	64
Guyana	33.0	27.08	Q734	65
Haiti	50.0	24.09	Q790	66
Honduras	62.0	36.92	Q783	67
Hong Kong	33.0	26.16	Q8646	68
Hungary	36.0	26.09	Q28	69
Iceland	14.0	8.49	Q189	70
India	37.0	41.22	Q668	71
Indonesia	49.0	41.05	Q252	72
Iran	92.0	73.4	Q794	73
Iraq	69.0	44.67	Q796	74
Ireland	16.0	10.6	Q27	75
Israel	30.0	32.97	Q801	76
Italy	33.0	26.11	Q38	77
Jamaica	18.0	9.88	Q766	78
Japan	22.0	25.17	Q17	79
Jordan	63.0	38.47	Q810	80
Kazakhstan	81.0	55.08	Q232	81
Kenya	52.0	27.8	Q114	82
Kosovo	49.0	28.47	Q1246	83
Kuwait	57.0	28.28	Q817	84
Kyrgyzstan	69.0	32.2	Q813	85
Laos	84.0	67.99	Q819	86
Latvia	27.0	22.89	Q211	87
Lebanon	51.0	30.15	Q822	88
Lesotho	49.0	28.36	Q1013	89
Liberia	60.0	29.89	Q1014	90
Libya	60.0	37.86	Q1016	91
Liechtenstein	14.0	7.35	Q347	92
Lithuania	23.0	18.24	Q37	93
Luxembourg	12.0	6.68	Q32	94
Macedonia	54.0	34.27	Q221	95
Madagascar	63.0	28.62	Q1019	96
Malawi	60.0	28.18	Q1020	97
Malaysia	63.0	42.73	Q833	98
Maldives	51.0	31.1	Q826	99
Mali	24.0	30.03	Q912	100
Malta	22.0	23.3	Q233	101
Mauritania	52.0	26.76	Q1025	102
Mauritius	29.0	26.47	Q1027	103
Mexico	62.0	45.3	Q96	104
Moldova	54.0	26.01	Q217	105
Mongolia	37.0	29.93	Q711	106
Montenegro	35.0	32.97	Q236	107
Morocco	68.0	39.04	Q1028	108
Mozambique	43.0	28.01	Q1029	109
Myanmar	85.0	44.71	Q836	110
Namibia	32.0	12.5	Q1030	111
Nepal	55.0	34.61	Q837	112
Netherlands	12.0	6.48	Q55	113
New Zealand	17.0	8.38	Q664	114
Nicaragua	49.0	28.31	Q811	115
Niger	49.0	23.08	Q1032	116
Nigeria	50.0	34.11	Q1033	117
North Korea	97.0	83.9	Q423	118
Norway	10.0	6.52	Q20	119
Oman	71.0	41.51	Q842	120
Pakistan	63.0	51.31	Q843	121
Palestinian territories	83.0	43.09	Q219060	122
Panama	46.0	32.95	Q804	123
Papua New Guinea	27.0	22.97	Q691	124
Paraguay	60.0	28.78	Q733	125
Peru	44.0	31.87	Q419	126
Philippines	42.0	43.11	Q928	127
Poland	25.0	13.11	Q36	128
Portugal	17.0	16.75	Q45	129
Qatar	67.0	32.86	Q846	130
Romania	41.0	23.05	Q218	131
Russia	80.0	43.42	Q159	132
Rwanda	82.0	55.46	Q1037	133
Samoa	29.0	23.84	Q683	134
Saudi Arabia	84.0	56.88	Q851	135
Senegal	55.0	26.19	Q1041	136
Serbia	35.0	26.59	Q403	137
Seychelles	56.0	29.19	Q1042	138
