Country	Tons	Change	Fromenergyprocesses	Agricultural	ID	id_row
Afghanistan	13763.0	80.4	8.2	62.7	Q889	0
Albania	2644.0	3.8	25.8	65.0	Q222	1
Algeria	48527.0	50.2	79.4	10.0	Q262	2
American Samoa	13.0	48.3	0.0	24.8	Q16641	3
Angola	18974.0	-14.0	63.8	23.0	Q916	4
Antigua and Barbuda	43.0	21.9	2.8	61.4	Q781	5
Argentina	88476.0	-13.3	17.7	73.5	Q414	6
Armenia	3426.0	18.5	55.4	35.9	Q399	7
Aruba	23.0	52.8	6.4	3.7	Q21203	8
Australia	125588.0	9.1	32.0	56.8	Q408	9
Austria	8007.0	-20.2	24.5	48.0	Q40	10
Azerbaijan	19955.0	74.2	58.0	32.1	Q227	11
Bahamas, The	227.0	60.2	4.8	2.0	Q778	12
Bahrain	3379.0	87.7	92.1	0.5	Q398	13
Bangladesh	105142.0	20.7	11.5	68.9	Q902	14
Barbados	109.0	-15.0	8.4	18.5	Q244	15
Belarus	16620.0	-10.9	7.0	53.8	Q184	16
Belgium	9243.0	-25.7	14.7	57.9	Q31	17
Belize	228.0	34.5	13.4	56.4	Q242	18
Benin	6983.0	36.4	13.4	45.8	Q962	19
Bermuda	31.0	28.6	3.8	4.7	Q23635	20
Bhutan	1770.0	92.6	36.4	42.8	Q917	21
Bolivia	23231.0	3.5	44.6	48.3	Q750	22
Bosnia and Herzegovina	3140.0	-31.6	47.8	42.1	Q225	23
Botswana	4448.0	-26.8	11.8	79.9	Q963	24
Brazil	477077.0	49.2	9.8	75.0	Q155	25
Brunei Darussalam	4539.0	25.7	97.6	0.3	Q921	26
Bulgaria	11794.0	-24.8	12.4	15.8	Q219	27
Burkina Faso	14957.0	106.6	19.9	70.4	Q965	28
Burundi	2719.0	58.4	50.7	22.6	Q967	29
Cabo Verde	151.0	82.0	3.0	39.4	Q1011	30
Cambodia	35915.0	137.6	3.7	63.2	Q424	31
Cameroon	18516.0	15.9	13.3	62.3	Q1009	32
Canada	106847.0	38.5	42.1	26.8	Q16	33
Cayman Islands	29.0	63.3	3.2	6.4	Q5785	34
Central African Republic	85677.0	102.8	0.5	76.0	Q929	35
Chad	18364.0	83.0	11.5	82.9	Q657	36
Chile	18381.0	53.3	23.7	43.3	Q298	37
China	1752290.0	72.3	48.0	37.6	Q148	38
Hong Kong SAR, China	3147.0	105.4	25.6	0.0	Q8646	39
Macao SAR, China	151.0	77.2	2.7	0.0	Q14773	40
Colombia	67979.0	35.3	19.2	66.9	Q739	41
Comoros	284.0	56.7	29.5	32.7	Q970	42
Congo, Dem. Rep.	75336.0	-23.4	9.1	25.1	Q974	43
Congo, Rep.	7156.0	-0.5	56.2	23.1	Q971	44
Costa Rica	2315.0	-38.6	12.1	65.0	Q800	45
Cote d'Ivoire	16266.0	33.9	24.7	15.1	Q1008	46
Croatia	4708.0	13.0	48.7	28.7	Q224	47
Cuba	8560.0	-29.0	10.1	59.6	Q241	48
Cyprus	642.0	45.7	2.4	37.8	Q229	49
Czech Republic	11902.0	-34.8	43.0	29.5	Q213	50
Denmark	7603.0	-4.7	16.6	65.1	Q35	51
Djibouti	634.0	51.8	16.5	62.8	Q977	52
Dominica	41.0	11.7	2.9	49.1	Q784	53
Dominican Republic	6861.0	14.3	17.1	55.0	Q786	54
Ecuador	15786.0	43.7	22.7	65.0	Q736	55
Egypt, Arab Rep.	51977.0	92.6	55.3	29.3	Q79	56
El Salvador	3032.0	13.4	15.2	53.9	Q792	57
Equatorial Guinea	2959.0	2414.8	92.2	0.3	Q983	58
Eritrea	2894.0	39.8	19.6	65.6	Q986	59
Estonia	2235.0	-34.4	40.9	29.0	Q191	60
Ethiopia	64481.0	61.3	16.7	70.8	Q115	61
