Country	Tons	Change	Fromenergyprocesses	Agricultural	ID	id_row
Faroe Islands	39.0	16.8	0.0	36.0	Q4628	62
Fiji	715.0	12.5	2.3	78.4	Q712	63
Finland	8552.0	-15.1	8.8	20.6	Q33	64
France	81179.0	7.2	42.6	43.5	Q142	65
French Polynesia	99.0	40.1	2.1	26.5	Q30971	66
Gabon	3894.0	11.9	53.9	3.9	Q1000	67
Gambia, The	1039.0	69.2	19.2	62.1	Q1005	68
Georgia	5019.0	-0.3	39.2	50.0	Q230	69
Germany	55721.0	-51.8	26.6	50.2	Q183	70
Ghana	21078.0	166.0	13.5	60.2	Q117	71
Greece	8255.0	6.7	22.5	45.2	Q41	72
Greenland	29.0	21.2	0.0	11.8	Q223	73
Grenada	37.0	48.2	15.3	21.9	Q769	74
Guam	71.0	53.8	0.1	2.6	Q16635	75
Guatemala	6877.0	43.3	19.4	53.4	Q774	76
Guinea	28654.0	228.8	4.7	46.1	Q1006	77
Guinea-Bissau	1421.0	64.9	3.5	80.1	Q1007	78
Guyana	2124.0	69.1	5.4	70.2	Q734	79
Haiti	4587.0	38.7	20.0	50.1	Q790	80
Honduras	5844.0	47.2	8.5	76.6	Q783	81
Hungary	7135.0	-29.1	29.0	31.5	Q28	82
Iceland	359.0	5.0	0.9	57.0	Q189	83
India	636396.0	23.9	17.2	62.7	Q668	84
Indonesia	223316.0	5.6	26.7	41.1	Q252	85
Iran, Islamic Rep.	121298.0	113.7	68.6	19.0	Q794	86
Iraq	24351.0	13.7	67.3	15.4	Q796	87
Ireland	14330.0	3.2	13.6	78.6	Q27	88
Israel	3416.0	78.8	26.4	28.6	Q801	89
Italy	35238.0	-25.3	16.7	41.7	Q38	90
Jamaica	1316.0	6.5	11.6	49.8	Q766	91
Japan	38957.0	-41.8	8.2	72.5	Q17	92
Jordan	2115.0	144.2	30.9	21.4	Q810	93
Kazakhstan	71350.0	2.8	68.0	21.9	Q232	94
Kenya	28027.0	37.9	28.1	56.4	Q114	95
Kiribati	16.0	60.7	5.6	7.1	Q710	96
Korea, Dem. Peopleâ€™s Rep.	18983.0	-12.2	59.1	23.3	Q423	97
Korea, Rep.	32625.0	4.2	22.6	40.6	Q884	98
Kuwait	12691.0	134.1	92.3	1.2	Q817	99
Kyrgyz Republic	4291.0	-26.3	7.0	73.9	Q813	100
Lao PDR	15011.0	84.4	9.7	77.0	Q819	101
Latvia	3181.0	-41.8	55.5	25.1	Q211	102
Lebanon	1150.0	64.7	10.9	25.2	Q822	103
Lesotho	1287.0	13.1	27.1	55.5	Q1013	104
Liberia	1586.0	78.2	55.8	18.3	Q1014	105
Libya	18495.0	10.4	88.7	4.7	Q1016	106
Lithuania	4806.0	-36.8	34.3	37.7	Q37	107
Luxembourg	1169.0	19.4	11.2	82.3	Q32	108
North Macedonia	1396.0	-16.0	33.5	43.9	Q221	109
Madagascar	20070.0	17.7	15.8	73.6	Q1019	110
Malawi	4629.0	14.4	32.3	37.9	Q1020	111
Malaysia	34271.0	45.1	65.9	15.2	Q833	112
Maldives	52.0	110.4	11.2	1.2	Q826	113
Mali	18042.0	91.1	4.0	77.2	Q912	114
Malta	141.0	-23.2	0.3	20.1	Q233	115
Marshall Islands	8.0	62.5	0.0	0.0	Q709	116
Mauritania	6082.0	71.6	8.6	83.1	Q1025	117
Mauritius	311.0	48.2	12.1	16.0	Q1027	118
Mexico	116705.0	18.0	34.2	47.2	Q96	119
Micronesia, Fed. Sts.	30.0	43.3	2.3	64.0	Q702	120
Moldova	3456.0	-15.4	52.5	22.7	Q217	121
Mongolia	6257.0	-24.6	7.8	87.5	Q711	122
Morocco	12012.0	30.2	11.8	49.3	Q1028	123
Mozambique	9968.0	-15.4	50.4	19.5	Q1029	124
Myanmar	80637.0	-4.0	13.4	77.0	Q836	125
Namibia	5097.0	43.5	2.6	92.0	Q1030	126
Nepal	23982.0	18.2	6.3	82.1	Q837	127
Netherlands	19026.0	-36.9	26.5	46.5	Q55	128
New Caledonia	215.0	6.7	1.9	73.2	Q33788	129
New Zealand	28658.0	7.4	4.1	91.0	Q664	130
Nicaragua	6492.0	34.9	6.8	73.7	Q811	131
Niger	6858.0	53.7	29.7	47.6	Q1032	132
Nigeria	89782.0	37.7	41.4	41.6	Q1033	133
Northern Mariana Islands	12.0	158.3	0.0	0.0	Q16644	134
Norway	16409.0	15.3	76.3	11.8	Q20	135
Oman	16858.0	173.3	92.8	3.5	Q842	136
Pakistan	158337.0	74.4	25.2	62.3	Q843	137
Palau	1.0	20.1	0.0	0.0	Q695	138
Panama	3378.0	22.0	4.0	78.6	Q804	139
Papua New Guinea	2143.0	-11.6	45.6	15.0	Q691	140
Paraguay	16246.0	4.8	12.3	78.4	Q733	141
Peru	19321.0	42.3	13.0	65.9	Q419	142
Philippines	57170.0	37.6	10.5	62.7	Q928	143
Poland	65071.0	-39.5	63.0	23.6	Q36	144
Portugal	12976.0	31.5	12.7	33.8	Q45	145
Puerto Rico	2406.0	31.9	0.0	21.5	Q1183	146
Qatar	41124.0	834.7	97.6	0.4	Q846	147
Romania	25708.0	-31.3	46.5	32.9	Q218	148
Russian Federation	545819.0	-12.7	79.5	8.2	Q159	149
Rwanda	2942.0	98.2	33.3	38.7	Q1037	150
Samoa	133.0	16.2	5.1	70.5	Q683	151
Sao Tome and Principe	46.0	60.6	40.1	12.6	Q1039	152
Saudi Arabia	62903.0	104.5	85.5	3.4	Q851	153
Senegal	9928.0	76.4	16.5	65.6	Q1041	154
Serbia	6589.0	-100.0	0.0	0.0	Q403	155
Seychelles	24.0	35.6	16.0	14.0	Q1042	156
Sierra Leone	3352.0	15.2	24.2	57.3	Q1044	157
Singapore	2386.0	143.3	59.2	1.4	Q334	158
Slovak Republic	4075.0	-36.8	23.0	33.5	Q214	159
Slovenia	2822.0	-7.0	38.9	36.5	Q215	160
Solomon Islands	1449.0	-29.2	1.0	96.8	Q685	161
Somalia	16206.0	24.1	16.6	77.9	Q1045	162
South Africa	63156.0	18.3	47.1	30.3	Q258	163
Spain	37208.0	13.4	9.2	55.5	Q29	164
Sri Lanka	11864.0	3.0	5.1	67.1	Q854	165
St. Kitts and Nevis	30.0	16.4	1.2	34.3	Q763	166
St. Lucia	44.0	18.2	5.4	44.7	Q760	167
St. Vincent and the Grenadines	40.0	34.1	5.2	24.7	Q757	168
Sudan	96531.0	104.8	6.4	87.9	Q1049	169
Suriname	709.0	-28.1	3.6	79.3	Q730	170
Eswatini	1377.0	21.4	11.7	57.3	Q1050	171
Sweden	10304.0	-10.6	11.0	28.2	Q34	172
Switzerland	4900.0	-17.0	21.6	64.6	Q39	173
Syrian Arab Republic	12783.0	52.5	45.4	35.0	Q858	174
Tajikistan	5408.0	25.8	11.8	71.3	Q863	175
Tanzania	27994.0	4.1	22.2	60.2	Q924	176
Thailand	106499.0	25.3	22.2	62.4	Q869	177
Timor-Leste	732.0	115.0	1.2	86.4	Q574	178
Togo	5343.0	72.9	27.9	39.0	Q945	179
Tonga	61.0	8.7	1.5	70.7	Q678	180
Trinidad and Tobago	14789.0	386.9	86.6	0.5	Q754	181
Tunisia	7647.0	88.4	56.0	31.8	Q948	182
Turkey	78853.0	79.8	19.6	31.9	Q43	183
Turkmenistan	22009.0	-26.3	76.7	20.5	Q874	184
Turks and Caicos Islands	6.0	165.8	5.7	0.0	Q18221	185
Tuvalu	3.0	25.6	0.0	35.2	Q672	186
Uganda	21161.0	72.8	22.3	65.5	Q1036	187
Ukraine	68061.0	-44.4	69.6	15.0	Q212	188
United Arab Emirates	26120.0	92.0	92.9	2.5	Q878	189
United Kingdom	58980.0	-49.8	22.6	39.5	Q145	190
United States	499809.0	-21.6	40.1	36.0	Q30	191
Uruguay	19549.0	24.1	3.0	92.8	Q77	192
Uzbekistan	47333.0	43.7	59.2	32.8	Q265	193
Vanuatu	254.0	18.8	1.4	85.4	Q686	194
Venezuela, RB	58199.0	31.9	41.2	44.1	Q717	195
Vietnam	113564.0	87.8	34.7	54.2	Q881	196
Virgin Islands (U.S.)	47.0	39.5	0.0	7.2	Q11703	197
Yemen, Rep.	8940.0	128.5	27.8	46.8	Q805	198
Zambia	6551.0	-77.5	40.3	38.3	Q953	199
Zimbabwe	8589.0	-16.3	12.2	69.8	Q954	200
