Country	Expenditures2012	Expenditures2018	Expenditures2012	Expenditures2018	ID	id_row
Nigeria	9240.0	13218.0	11.4	18.5	Q1033	108
Norway	18131.0	18592.0	12.9	13.2	Q20	109
Oman	1644.0	3210.0	4.8	9.1	Q842	110
Pakistan	1851.0	2899.0	3.8	4.2	Q843	111
Panama	591.0	1307.0	1.8	4.5	Q804	112
Paraguay	363.0	549.0	3.0	4.0	Q733	113
Peru	1900.0	3417.0	4.0	6.6	Q419	114
Philippines	7140.0	12474.0	9.0	9.6	Q928	115
Poland	9129.0	10608.0	4.1	3.5	Q36	116
Portugal	4482.0	6524.0	5.4	6.3	Q45	117
Qatar	10702.0	11754.0	19.6	17.9	Q846	118
Romania	2108.0	5088.0	2.9	4.7	Q218	119
Russian Federation	48096.0	38791.0	10.8	11.3	Q159	120
Rwanda	133.0	377.0	5.6	12.0	Q1037	121
Samoa	22.0	4.0	5.6	1.0	Q683	122
Sao Tome and Principe	3.0	18.0	2.2	8.9	Q1039	123
Saudi Arabia	17986.0	17932.0	8.4	8.6	Q851	124
Serbia	1188.0	1837.0	5.4	6.2	Q403	125
Seychelles	58.0	102.0	4.1	5.5	Q1042	126
Sierra Leone	32.0	61.0	1.3	3.8	Q1044	127
Singapore	23139.0	25346.0	4.5	4.6	Q334	128
Sint Maarten (Dutch part)	120.0	105.0	11.6	8.5	Q26273	129
Slovak Republic	2309.0	2823.0	2.8	2.8	Q214	130
Slovenia	1508.0	1755.0	4.6	4.2	Q215	131
Solomon Islands	68.0	53.0	10.7	7.1	Q685	132
South Africa	7145.0	6348.0	5.8	5.8	Q258	133
Spain	15395.0	26670.0	4.0	5.8	Q29	134
Sri Lanka	1219.0	2487.0	5.6	9.3	Q854	135
St. Kitts and Nevis	15.0	59.0	4.3	9.9	Q763	136
St. Lucia	45.0	87.0	5.9	8.7	Q760	137
St. Vincent and the Grenadines	14.0	48.0	3.4	10.6	Q757	138
Sudan	699.0	13.0	6.8	0.2	Q1049	139
Suriname	58.0	104.0	2.2	4.9	Q730	140
Eswatini	53.0	43.0	2.7	2.1	Q1050	141
Sweden	13954.0	18056.0	6.3	7.4	Q34	142
Switzerland	17980.0	20722.0	4.7	5.4	Q39	143
Tajikistan	37.0	24.0	0.7	0.8	Q863	144
Tanzania	1003.0	818.0	7.9	8.3	Q924	145
Thailand	8095.0	14675.0	3.0	5.2	Q869	146
Timor-Leste	92.0	131.0	5.5	12.4	Q574	147
Tonga	29.0	41.0	10.0	12.8	Q678	148
Trinidad and Tobago	223.0	149.0	1.9	1.6	Q754	149
Tunisia	673.0	954.0	2.6	3.9	Q948	150
Turkey	4585.0	4993.0	1.8	2.0	Q43	151
Uganda	642.0	334.0	8.3	3.9	Q1036	152
Ukraine	5536.0	8287.0	5.5	11.8	Q212	153
United Kingdom	61323.0	68888.0	7.3	7.5	Q145	154
United States	129902.0	186508.0	4.7	6.0	Q30	155
Uruguay	1043.0	1309.0	6.3	10.0	Q77	156
Vanuatu	43.0	21.0	10.8	4.6	Q686	157
Vietnam	1856.0	5910.0	1.6	2.4	Q881	158
West Bank and Gaza	646.0	755.0	10.3	8.6	Q407199	159
Zambia	303.0	478.0	3.3	4.7	Q953	160
