Country	Mostrecentyear	Tariff	ID	id_row
Albania	2017	6.84	Q222	0
Angola	2016	21.9	Q916	1
Antigua and Barbuda	2017	50.28	Q781	2
Argentina	2017	24.95	Q414	3
Armenia	2017	3.61	Q399	4
Australia	2017	0.05	Q408	5
Austria	2017	5.45	Q40	6
Bahrain	2017	0.15	Q398	7
Bangladesh	2016	39.26	Q902	8
Barbados	2013	46.81	Q244	9
Belgium	2017	5.45	Q31	10
Belize	2017	40.08	Q242	11
Benin	2017	47.04	Q962	12
Bolivia	2017	20.1	Q750	13
Botswana	2017	14.94	Q963	14
Brazil	2017	28.3	Q155	15
Brunei Darussalam	2017	0.0	Q921	16
Bulgaria	2017	5.45	Q219	17
Burkina Faso	2017	40.77	Q965	18
Burundi	2016	32.64	Q967	19
Cabo Verde	2015	43.47	Q1011	20
Cambodia	2016	10.38	Q424	21
Cameroon	2014	54.07	Q1009	22
Canada	2017	5.21	Q16	23
Central African Republic	2017	43.4	Q929	24
Chad	2016	49.65	Q657	25
Chile	2017	0.0	Q298	26
China	2017	15.16	Q148	27
Hong Kong SAR, China	2017	0.0	Q8646	28
Macao SAR, China	2017	0.0	Q14773	29
Colombia	2017	9.25	Q739	30
Congo, Dem. Rep.	2014	32.85	Q974	31
Congo, Rep.	2015	44.08	Q971	32
Costa Rica	2016	0.3	Q800	33
Cote d'Ivoire	2017	43.23	Q1008	34
Croatia	2017	5.45	Q224	35
Cuba	2017	28.49	Q241	36
Czech Republic	2017	5.45	Q213	37
Denmark	2017	5.45	Q35	38
Djibouti	2014	61.83	Q977	39
Dominica	2017	35.78	Q784	40
Dominican Republic	2017	22.25	Q786	41
Ecuador	2017	25.35	Q736	42
Egypt, Arab Rep.	2017	11.26	Q79	43
El Salvador	2017	13.22	Q792	44
Estonia	2017	5.45	Q191	45
Fiji	2017	41.36	Q712	46
Finland	2017	5.45	Q33	47
France	2017	5.45	Q142	48
Gabon	2016	53.4	Q1000	49
Gambia, The	2013	72.35	Q1005	50
Georgia	2016	0.03	Q230	51
Germany	2017	5.45	Q183	52
Ghana	2017	43.2	Q117	53
Greece	2017	5.45	Q41	54
Grenada	2016	44.6	Q769	55
Guatemala	2015	11.18	Q774	56
Guinea	2017	45.43	Q1006	57
Guinea-Bissau	2017	50.59	Q1007	58
Guyana	2017	36.94	Q734	59
Haiti	2016	16.55	Q790	60
Honduras	2015	14.73	Q783	61
Hungary	2017	5.45	Q28	62
Iceland	2017	3.31	Q189	63
India	2017	8.29	Q668	64
Indonesia	2017	12.3	Q252	65
Ireland	2017	5.45	Q27	66
Israel	2017	1.56	Q801	67
Italy	2017	5.45	Q38	68
Jamaica	2016	42.11	Q766	69
Japan	2017	10.99	Q17	70
Jordan	2017	14.25	Q810	71
Kazakhstan	2017	4.31	Q232	72
Kenya	2016	37.48	Q114	73
Korea, Rep.	2017	3.97	Q884	74
Kuwait	2017	0.03	Q817	75
Kyrgyz Republic	2017	2.73	Q813	76
Lao PDR	2017	2.23	Q819	77
Latvia	2017	5.45	Q211	78
Lesotho	2017	10.11	Q1013	79
Lithuania	2017	5.45	Q37	80
Luxembourg	2017	5.45	Q32	81
North Macedonia	2017	15.67	Q221	82
Madagascar	2017	24.91	Q1019	83
Malawi	2016	30.41	Q1020	84
Malaysia	2016	16.64	Q833	85
Maldives	2017	38.73	Q826	86
Mali	2017	43.58	Q912	87
Malta	2017	5.45	Q233	88
Mauritania	2015	40.39	Q1025	89
Mauritius	2017	8.42	Q1027	90
Mexico	2017	8.87	Q96	91
Moldova	2016	9.29	Q217	92
Mongolia	2017	2.79	Q711	93
Montenegro	2017	4.46	Q236	94
Morocco	2017	16.68	Q1028	95
Mozambique	2016	23.17	Q1029	96
Myanmar	2015	5.7	Q836	97
Namibia	2017	22.15	Q1030	98
Nepal	2016	48.12	Q837	99
Netherlands	2017	5.45	Q55	100
New Zealand	2017	0.02	Q664	101
Nicaragua	2017	13.35	Q811	102
Niger	2017	46.37	Q1032	103
Nigeria	2016	36.36	Q1033	104
Norway	2017	6.41	Q20	105
Oman	2017	0.36	Q842	106
Pakistan	2016	49.35	Q843	107
Panama	2015	0.62	Q804	108
Papua New Guinea	2013	15.81	Q691	109
Paraguay	2017	17.89	Q733	110
Peru	2017	0.0	Q419	111
Philippines	2017	11.29	Q928	112
Poland	2017	5.45	Q36	113
Portugal	2017	5.45	Q45	114
Qatar	2017	0.09	Q846	115
Romania	2017	5.45	Q218	116
Russian Federation	2017	3.61	Q159	117
Rwanda	2016	36.16	Q1037	118
Samoa	2017	34.98	Q683	119
Saudi Arabia	2017	0.27	Q851	120
Senegal	2017	45.4	Q1041	121
Seychelles	2017	11.61	Q1042	122
Sierra Leone	2012	49.87	Q1044	123
Singapore	2017	0.07	Q334	124
Slovak Republic	2017	5.45	Q214	125
Slovenia	2017	5.45	Q215	126
Solomon Islands	2017	3.48	Q685	127
South Africa	2017	23.1	Q258	128
Spain	2017	5.45	Q29	129
Sri Lanka	2017	42.09	Q854	130
St. Kitts and Nevis	2017	41.7	Q763	131
St. Lucia	2016	38.01	Q760	132
St. Vincent and the Grenadines	2017	35.31	Q757	133
Suriname	2013	35.06	Q730	134
Eswatini	2017	12.15	Q1050	135
Sweden	2017	5.45	Q34	136
Switzerland	2017	10.35	Q39	137
Tajikistan	2017	10.81	Q863	138
Tanzania	2016	37.53	Q924	139
Thailand	2015	16.7	Q869	140
Togo	2017	45.41	Q945	141
