Country	Modeledestimates	ID	id_row
Iran, Islamic Rep.	16.0	Q794	76
Iraq	78.0	Q796	77
Ireland	6.0	Q27	78
Israel	3.0	Q801	79
Italy	2.0	Q38	80
Jamaica	80.0	Q766	81
Japan	5.0	Q17	82
Jordan	47.0	Q810	83
Kazakhstan	10.0	Q232	84
Kenya	346.0	Q114	85
Kiribati	94.0	Q710	86
Korea, Dem. Peopleâ€™s Rep.	90.0	Q423	87
Korea, Rep.	11.0	Q884	88
Kuwait	12.0	Q817	89
Kyrgyz Republic	63.0	Q813	90
Lao PDR	196.0	Q819	91
Latvia	26.0	Q211	92
Lebanon	29.0	Q822	93
Lesotho	559.0	Q1013	94
Liberia	661.0	Q1014	95
Libya	73.0	Q1016	96
Lithuania	8.0	Q37	97
Luxembourg	5.0	Q32	98
Madagascar	348.0	Q1019	99
Malawi	358.0	Q1020	100
Malaysia	29.0	Q833	101
Maldives	54.0	Q826	102
Mali	590.0	Q912	103
Malta	6.0	Q233	104
Mauritania	777.0	Q1025	105
Mauritius	67.0	Q1027	106
Mexico	34.0	Q96	107
Micronesia, Fed. Sts.	90.0	Q702	108
Moldova	20.0	Q217	109
Mongolia	46.0	Q711	110
Montenegro	6.0	Q236	111
Morocco	72.0	Q1028	112
Mozambique	301.0	Q1029	113
Myanmar	245.0	Q836	114
Namibia	207.0	Q1030	115
Nepal	200.0	Q837	116
Netherlands	6.0	Q55	117
New Zealand	10.0	Q664	118
Nicaragua	100.0	Q811	119
Niger	530.0	Q1032	120
Nigeria	925.0	Q1033	121
North Macedonia	8.0	Q221	122
Norway	3.0	Q20	123
Oman	19.0	Q842	124
Pakistan	143.0	Q843	125
Panama	55.0	Q804	126
Papua New Guinea	148.0	Q691	127
Paraguay	130.0	Q733	128
Peru	91.0	Q419	129
Philippines	124.0	Q928	130
Poland	2.0	Q36	131
Portugal	9.0	Q45	132
Puerto Rico	20.0	Q1183	133
Qatar	9.0	Q846	134
Romania	21.0	Q218	135
Russian Federation	18.0	Q159	136
Rwanda	260.0	Q1037	137
Samoa	44.0	Q683	138
Sao Tome and Principe	130.0	Q1039	139
Saudi Arabia	17.0	Q851	140
Senegal	330.0	Q1041	141
Serbia	12.0	Q403	142
Seychelles	54.0	Q1042	143
Sierra Leone	1120.0	Q1044	144
Singapore	8.0	Q334	145
Slovak Republic	6.0	Q214	146
Slovenia	7.0	Q215	147
Solomon Islands	108.0	Q685	148
Somalia	865.0	Q1045	149
South Africa	122.0	Q258	150
South Sudan	1130.0	Q958	151
Spain	4.0	Q29	152
Sri Lanka	36.0	Q854	153
St. Lucia	117.0	Q760	154
St. Vincent and the Grenadines	67.0	Q757	155
Sudan	308.0	Q1049	156
Suriname	121.0	Q730	157
Sweden	4.0	Q34	158
Switzerland	5.0	Q39	159
Syrian Arab Republic	30.0	Q858	160
Tajikistan	17.0	Q863	161
Tanzania	539.0	Q924	162
Thailand	37.0	Q869	163
Timor-Leste	152.0	Q574	164
Togo	395.0	Q945	165
Tonga	53.0	Q678	166
Trinidad and Tobago	68.0	Q754	167
Tunisia	45.0	Q948	168
Turkey	18.0	Q43	169
Turkmenistan	8.0	Q874	170
Uganda	381.0	Q1036	171
Ukraine	20.0	Q212	172
United Arab Emirates	3.0	Q878	173
United Kingdom	7.0	Q145	174
United States	19.0	Q30	175
Uruguay	18.0	Q77	176
Uzbekistan	29.0	Q265	177
Vanuatu	74.0	Q686	178
Venezuela, RB	121.0	Q717	179
Vietnam	44.0	Q881	180
West Bank and Gaza	29.0	Q407199	181
Yemen, Rep.	165.0	Q805	182
Zambia	222.0	Q953	183
Zimbabwe	468.0	Q954	184
