Country	Debt	ID	id_row
Afghanistan	-5.0	Q889	0
Albania	-130.0	Q222	1
Algeria	-8.0	Q262	2
Angola	-525.0	Q916	3
Argentina	5117.0	Q414	4
Armenia	381.0	Q399	5
Azerbaijan	720.0	Q227	6
Bangladesh	1483.0	Q902	7
Belarus	2613.0	Q184	8
Belize	-12.0	Q242	9
Benin	805.0	Q962	10
Bhutan	-5.0	Q917	11
Bolivia	-106.0	Q750	12
Bosnia and Herzegovina	516.0	Q225	13
Botswana	-9.0	Q963	14
Brazil	29749.0	Q155	15
Bulgaria	848.0	Q219	16
Burkina Faso	1.0	Q965	17
Burundi	0.0	Q967	18
Cabo Verde	0.0	Q1011	19
Cambodia	805.0	Q424	20
Cameroon	-41.0	Q1009	21
Central African Republic	0.0	Q929	22
Chad	0.0	Q657	23
China	2006.0	Q148	24
Colombia	4831.0	Q739	25
Comoros	0.0	Q970	26
Congo, Dem. Rep.	17.0	Q974	27
Congo, Rep.	0.0	Q971	28
Costa Rica	1139.0	Q800	29
Cote d'Ivoire	1.0	Q1008	30
Djibouti	-94.0	Q977	31
Dominica	-1.0	Q784	32
Dominican Republic	205.0	Q786	33
Ecuador	1563.0	Q736	34
Egypt, Arab Rep.	4817.0	Q79	35
El Salvador	220.0	Q792	36
Eritrea	0.0	Q986	37
Ethiopia	252.0	Q115	38
Fiji	0.0	Q712	39
Gabon	-211.0	Q1000	40
Gambia, The	-2.0	Q1005	41
Georgia	221.0	Q230	42
Ghana	-320.0	Q117	43
Grenada	0.0	Q769	44
Guatemala	-548.0	Q774	45
Guinea	0.0	Q1006	46
Guinea-Bissau	0.0	Q1007	47
Guyana	-51.0	Q734	48
Haiti	-3.0	Q790	49
Honduras	218.0	Q783	50
India	11006.0	Q668	51
Indonesia	11319.0	Q252	52
Iran, Islamic Rep.	-45.0	Q794	53
Jamaica	987.0	Q766	54
Jordan	600.0	Q810	55
Kazakhstan	1299.0	Q232	56
Kenya	161.0	Q114	57
Kosovo	11.0	Q1246	58
Kyrgyz Republic	-86.0	Q813	59
Lao PDR	140.0	Q819	60
Lebanon	5164.0	Q822	61
Lesotho	0.0	Q1013	62
Liberia	-8.0	Q1014	63
North Macedonia	-137.0	Q221	64
Madagascar	106.0	Q1019	65
Malawi	0.0	Q1020	66
Maldives	30.0	Q826	67
Mali	0.0	Q912	68
Mauritania	0.0	Q1025	69
Mauritius	1077.0	Q1027	70
Mexico	-2598.0	Q96	71
Moldova	127.0	Q217	72
Mongolia	757.0	Q711	73
Montenegro	191.0	Q236	74
Morocco	757.0	Q1028	75
Mozambique	1380.0	Q1029	76
Myanmar	-42.0	Q836	77
Nepal	-8.0	Q837	78
Nicaragua	-140.0	Q811	79
Niger	0.0	Q1032	80
Nigeria	1144.0	Q1033	81
Pakistan	1596.0	Q843	82
Papua New Guinea	65.0	Q691	83
Paraguay	-955.0	Q733	84
Peru	455.0	Q419	85
Philippines	-185.0	Q928	86
Romania	-1531.0	Q218	87
Russian Federation	-55764.0	Q159	88
Rwanda	229.0	Q1037	89
Samoa	0.0	Q683	90
Sao Tome and Principe	0.0	Q1039	91
Senegal	388.0	Q1041	92
Serbia	705.0	Q403	93
Sierra Leone	0.0	Q1044	94
Solomon Islands	6.0	Q685	95
Somalia	0.0	Q1045	96
South Africa	1769.0	Q258	97
Sri Lanka	-714.0	Q854	98
St. Lucia	0.0	Q760	99
St. Vincent and the Grenadines	-3.0	Q757	100
Sudan	0.0	Q1049	101
Eswatini	-1.0	Q1050	102
Syrian Arab Republic	0.0	Q858	103
Tajikistan	81.0	Q863	104
Tanzania	-24.0	Q924	105
Thailand	14686.0	Q869	106
Timor-Leste	0.0	Q574	107
Togo	-5.0	Q945	108
Tonga	0.0	Q678	109
Tunisia	-208.0	Q948	110
Turkey	-2009.0	Q43	111
Turkmenistan	254.0	Q874	112
Uganda	-197.0	Q1036	113
Ukraine	1492.0	Q212	114
Uzbekistan	-51.0	Q265	115
Vanuatu	0.0	Q686	116
Venezuela, RB	3226.0	Q717	117
Vietnam	4256.0	Q881	118
Yemen, Rep.	0.0	Q805	119
Zambia	1495.0	Q953	120
Zimbabwe	496.0	Q954	121
