Country	Bothsexes	Male	Female	ID	id_row
Afghanistan	29.8	31.8	27.7	Q889	0
Albania	17.0	20.7	13.1	Q222	1
Algeria	14.2	15.2	13.2	Q262	2
Angola	16.5	17.2	16.0	Q916	3
Antigua and Barbuda	22.6	25.2	20.0	Q781	4
Argentina	15.8	19.7	12.2	Q414	5
Armenia	22.3	30.9	15.0	Q399	6
Australia	9.1	11.0	7.2	Q408	7
Austria	11.4	14.4	8.5	Q40	8
Azerbaijan	22.2	28.7	16.1	Q227	9
Bahamas	15.5	18.6	12.7	Q778	10
Bahrain	11.3	10.9	11.9	Q398	11
Bangladesh	21.6	22.6	20.4	Q902	12
Barbados	16.2	19.7	12.9	Q244	13
Belarus	23.7	35.2	13.8	Q184	14
Belgium	11.4	14.1	8.6	Q31	15
Belize	22.1	25.5	18.5	Q242	16
Benin	19.6	19.9	19.3	Q962	17
Bhutan	23.3	21.9	24.9	Q917	18
Bolivia (Plurinational State of)	17.2	17.7	16.8	Q750	19
Bosnia and Herzegovina	17.8	23.1	12.9	Q225	20
Botswana	20.3	23.4	17.9	Q963	21
Brazil	16.6	20.0	13.5	Q155	22
Brunei Darussalam	16.6	18.5	14.8	Q921	23
Bulgaria	23.6	32.0	15.5	Q219	24
Burkina Faso	21.7	22.5	21.2	Q965	25
Burundi	22.9	23.1	22.7	Q967	26
Cabo Verde	17.2	19.0	15.9	Q1011	27
Cambodia	21.1	23.9	19.1	Q424	28
Cameroon	21.6	22.3	20.9	Q1009	29
Canada	9.8	11.5	8.1	Q16	30
Central African Republic	23.1	23.9	22.4	Q929	31
Chad	23.9	24.2	23.7	Q657	32
Chile	12.4	14.8	10.1	Q298	33
China	17.0	19.8	14.1	Q148	34
Colombia	15.8	18.3	13.5	Q739	35
Comoros	22.9	24.8	21.2	Q970	36
Congo	16.7	15.9	17.4	Q971	37
Costa Rica	11.5	13.7	9.4	Q800	38
Côte d'Ivoire	29.1	28.2	30.1	Q1008	39
Croatia	16.7	22.8	10.7	Q224	40
Cuba	16.4	19.0	13.8	Q241	41
Cyprus	11.3	15.2	7.5	Q229	42
Czechia	15.0	20.0	10.2	Q213	43
Democratic People's Republic of Korea	25.6	34.4	17.6	Q423	44
Democratic Republic of the Congo	19.4	19.7	19.2	Q974	45
Denmark	11.3	13.1	9.5	Q35	46
Djibouti	19.6	21.2	18.2	Q977	47
Dominican Republic	19.0	21.7	16.5	Q786	48
Ecuador	13.0	13.9	12.2	Q736	49
Egypt	27.7	31.5	23.8	Q79	50
El Salvador	14.0	15.1	13.1	Q792	51
Equatorial Guinea	22.0	22.6	21.3	Q983	52
Eritrea	23.9	25.3	22.7	Q986	53
Estonia	17.0	25.0	10.3	Q191	54
Eswatini	26.7	29.8	24.4	Q1050	55
Ethiopia	18.3	18.7	18.0	Q115	56
Fiji	30.6	36.8	24.0	Q712	57
Finland	10.2	13.3	7.2	Q33	58
France	10.6	14.1	7.2	Q142	59
Gabon	14.4	14.9	13.9	Q1000	60
Gambia	20.4	21.9	18.9	Q1005	61
Georgia	24.9	34.9	15.9	Q230	62
Germany	12.1	15.2	8.9	Q183	63
Ghana	20.8	18.2	23.2	Q117	64
Greece	12.4	17.3	7.7	Q41	65
Grenada	21.4	25.5	17.3	Q769	66
Guatemala	14.9	14.9	15.0	Q774	67
Guinea	22.4	21.8	22.9	Q1006	68
Guinea-Bissau	20.0	20.2	19.9	Q1007	69
Guyana	30.5	32.4	28.8	Q734	70
Haiti	26.5	28.2	25.0	Q790	71
Honduras	14.0	16.1	12.1	Q783	72
Hungary	23.0	31.1	15.6	Q28	73
Iceland	9.1	9.9	8.2	Q189	74
India	23.3	26.7	19.8	Q668	75
Indonesia	26.4	30.3	22.6	Q252	76
Iran (Islamic Republic of)	14.8	16.0	13.7	Q794	77
Iraq	21.3	24.6	18.3	Q796	78
