Country	Bycountryoforigin	Bycountryofasylum	ID	id_row
Afghanistan	2681.0	72.0	Q889	0
Burkina Faso	11.0	25.0	Q965	1
Burundi	388.0	72.0	Q967	2
Cameroon	45.0	380.0	Q1009	3
Central African Republic	591.0	7.0	Q929	4
Chad	11.0	451.0	Q657	5
Congo, Dem. Rep.	720.0	529.0	Q974	6
Congo, Rep.	13.0	37.0	Q971	7
Cote d'Ivoire	38.0	2.0	Q1008	8
Eritrea	507.0	2.0	Q986	9
Gambia, The	17.0	4.0	Q1005	10
Guinea-Bissau	2.0	5.0	Q1007	11
Haiti	28.0	0.0	Q790	12
Iraq	372.0	283.0	Q796	13
Lebanon	6.0	1425.0	Q822	14
Liberia	6.0	9.0	Q1014	15
Libya	14.0	9.0	Q1016	16
Mali	158.0	27.0	Q912	17
Niger	3.0	175.0	Q1032	18
Nigeria	277.0	35.0	Q1033	19
Papua New Guinea	0.0	10.0	Q691	20
Somalia	950.0	17.0	Q1045	21
South Sudan	2285.0	292.0	Q958	22
Sudan	725.0	1078.0	Q1049	23
Syrian Arab Republic	6654.0	579.0	Q858	24
West Bank and Gaza	101.0	2268.0	Q407199	25
Yemen, Rep.	31.0	264.0	Q805	26
Zimbabwe	16.0	8.0	Q954	27
