Country	Stuntingheightforage	ID	id_row
Afghanistan	38.2	Q889	0
Albania	11.3	Q222	1
Algeria	11.7	Q262	2
Angola	37.6	Q916	3
Argentina	7.9	Q414	4
Armenia	9.4	Q399	5
Azerbaijan	17.8	Q227	6
Bangladesh	30.8	Q902	7
Barbados	7.7	Q244	8
Belize	15.0	Q242	9
Benin	32.2	Q962	10
Bolivia	16.1	Q750	11
Bosnia and Herzegovina	8.9	Q225	12
Bulgaria	7.0	Q219	13
Burkina Faso	24.9	Q965	14
Burundi	54.2	Q967	15
Cambodia	32.4	Q424	16
Cameroon	28.9	Q1009	17
Central African Republic	40.8	Q929	18
Chad	39.8	Q657	19
Chile	1.8	Q298	20
China	8.1	Q148	21
Colombia	12.7	Q739	22
Comoros	31.1	Q970	23
Congo, Dem. Rep.	42.7	Q974	24
Congo, Rep.	21.2	Q971	25
Cote d'Ivoire	21.6	Q1008	26
Djibouti	33.5	Q977	27
Dominican Republic	7.1	Q786	28
Ecuador	23.9	Q736	29
Egypt, Arab Rep.	22.3	Q79	30
El Salvador	13.6	Q792	31
Equatorial Guinea	26.2	Q983	32
Eswatini	25.5	Q1050	33
Ethiopia	36.8	Q115	34
Gabon	17.0	Q1000	35
Gambia, The	13.6	Q1005	36
Germany	1.7	Q183	37
Ghana	17.5	Q117	38
Guatemala	46.7	Q774	39
Guinea	30.3	Q1006	40
Guinea-Bissau	27.6	Q1007	41
Guyana	11.3	Q734	42
Haiti	21.9	Q790	43
Honduras	22.6	Q783	44
India	34.7	Q668	45
Indonesia	30.5	Q252	46
Iran, Islamic Rep.	6.8	Q794	47
Iraq	12.6	Q796	48
Jamaica	6.0	Q766	49
Jordan	7.8	Q810	50
Kazakhstan	8.0	Q232	51
Kenya	26.2	Q114	52
Korea, Dem. People’s Rep.	19.1	Q423	53
Kuwait	6.4	Q817	54
Kyrgyz Republic	11.8	Q813	55
Lao PDR	33.1	Q819	56
Lesotho	34.6	Q1013	57
Liberia	30.1	Q1014	58
Libya	38.1	Q1016	59
Madagascar	41.6	Q1019	60
Malawi	39.0	Q1020	61
Malaysia	20.7	Q833	62
Mali	26.9	Q912	63
Marshall Islands	34.8	Q709	64
Mauritania	22.8	Q1025	65
Mexico	10.0	Q96	66
Moldova	6.4	Q217	67
Mongolia	9.4	Q711	68
Montenegro	9.4	Q236	69
Morocco	15.1	Q1028	70
Mozambique	42.3	Q1029	71
Myanmar	29.4	Q836	72
Namibia	22.7	Q1030	73
Nepal	36.0	Q837	74
Nicaragua	17.3	Q811	75
Niger	48.5	Q1032	76
Nigeria	36.8	Q1033	77
North Macedonia	4.9	Q221	78
Oman	11.4	Q842	79
Pakistan	37.6	Q843	80
Paraguay	5.6	Q733	81
Peru	12.2	Q419	82
Philippines	30.3	Q928	83
Poland	2.6	Q36	84
Rwanda	36.9	Q1037	85
Samoa	4.9	Q683	86
Sao Tome and Principe	17.2	Q1039	87
Senegal	18.8	Q1041	88
Serbia	6.0	Q403	89
Seychelles	7.9	Q1042	90
Sierra Leone	29.5	Q1044	91
Solomon Islands	31.7	Q685	92
South Africa	27.4	Q258	93
Sri Lanka	17.3	Q854	94
St. Lucia	2.5	Q760	95
Sudan	38.2	Q1049	96
Tajikistan	17.5	Q863	97
Tanzania	31.8	Q924	98
Thailand	10.5	Q869	99
Timor-Leste	51.7	Q574	100
Togo	23.8	Q945	101
Tonga	8.1	Q678	102
Trinidad and Tobago	9.2	Q754	103
Tunisia	8.4	Q948	104
Turkey	6.0	Q43	105
Turkmenistan	11.5	Q874	106
Uganda	28.9	Q1036	107
United States	3.5	Q30	108
Uruguay	10.7	Q77	109
Uzbekistan	10.8	Q265	110
Vanuatu	28.9	Q686	111
Vietnam	23.8	Q881	112
West Bank and Gaza	7.4	Q407199	113
Yemen, Rep.	46.4	Q805	114
Zambia	34.6	Q953	115
Zimbabwe	23.5	Q954	116
