Country	Total1990	Total2014	Carbonintensity1990	Carbonintensity2014	percapita1990	percapita2014	KgGDP1990	KgGDP2014	ID	id_row
Albania	5515.0	5489.0	2.1	2.4	1.7	1.9	0.3	0.2	Q222	0
Algeria	76970.0	145411.0	3.5	2.8	3.0	3.7	0.3	0.3	Q262	1
Angola	5115.0	44851.0	0.9	3.1	0.4	1.7	0.1	0.2	Q916	2
Argentina	112148.0	195777.0	2.4	2.3	3.4	4.6	0.2	0.2	Q414	3
Armenia	5827.0	5530.0	1.4	1.9	1.7	1.9	0.6	0.2	Q399	4
Australia	263705.0	361317.0	3.1	2.9	15.5	15.4	0.5	0.3	Q408	5
Austria	57792.0	58903.0	2.3	1.8	7.5	6.9	0.2	0.1	Q40	6
Azerbaijan	56241.0	37385.0	3.1	2.6	7.6	3.9	1.3	0.3	Q227	7
Bahrain	12427.0	31368.0	2.4	2.2	25.1	23.5	0.6	0.5	Q398	8
Bangladesh	14162.0	73758.0	1.1	2.1	0.1	0.5	0.1	0.1	Q902	9
Belarus	87418.0	62801.0	2.4	2.3	8.6	6.6	1.1	0.3	Q184	10
Belgium	106050.0	93564.0	2.2	1.8	10.6	8.3	0.3	0.2	Q31	11
Benin	708.0	5376.0	0.4	1.3	0.1	0.5	0.1	0.2	Q962	12
Bolivia	5757.0	20330.0	2.2	2.4	0.8	1.9	0.2	0.2	Q750	13
Botswana	2703.0	6857.0	2.2	2.5	2.1	3.3	0.2	0.2	Q963	14
Brazil	208887.0	533530.0	1.5	1.8	1.4	2.6	0.1	0.2	Q155	15
Brunei Darussalam	6194.0	9054.0	3.6	2.5	23.9	22.1	0.3	0.3	Q921	16
Bulgaria	74480.0	42328.0	2.6	2.4	8.5	5.9	0.7	0.3	Q219	17
Cameroon	682.0	6799.0	0.1	0.9	0.1	0.3	0.0	0.1	Q1009	18
Canada	435181.0	540615.0	2.1	1.9	15.7	15.3	0.5	0.3	Q16	19
Chile	33315.0	79101.0	2.4	2.2	2.5	4.5	0.3	0.2	Q298	20
China	2442919.0	10291927.0	2.8	3.4	2.2	7.5	1.5	0.6	Q148	21
Hong Kong SAR, China	27334.0	45749.0	3.2	3.2	4.8	6.3	0.2	0.1	Q8646	22
Colombia	57337.0	86681.0	2.4	2.5	1.7	1.8	0.2	0.1	Q739	23
Congo, Dem. Rep.	4294.0	4672.0	0.4	0.2	0.1	0.1	0.1	0.1	Q974	24
Congo, Rep.	1188.0	3157.0	1.5	1.2	0.5	0.7	0.1	0.2	Q971	25
Costa Rica	2956.0	7844.0	1.8	1.6	0.9	1.6	0.1	0.1	Q800	26
Cote d'Ivoire	5035.0	11089.0	1.2	0.8	0.4	0.5	0.1	0.1	Q1008	27
Cyprus	4708.0	6062.0	3.4	3.1	6.1	5.3	0.3	0.2	Q229	28
Czech Republic	138176.0	97161.0	3.2	2.4	13.4	9.2	0.6	0.3	Q213	29
Denmark	50231.0	33146.0	2.9	2.0	9.8	5.9	0.2	0.1	Q35	30
Dominican Republic	9230.0	22145.0	2.3	2.9	1.3	2.2	0.2	0.2	Q786	31
Ecuador	16828.0	46153.0	2.7	3.3	1.6	2.9	0.2	0.2	Q736	32
Egypt, Arab Rep.	75540.0	227853.0	2.3	3.0	1.3	2.5	0.2	0.2	Q79	33
El Salvador	2519.0	6285.0	1.0	1.5	0.5	1.0	0.1	0.1	Q792	34
Ethiopia	3018.0	12435.0	0.1	0.3	0.1	0.1	0.1	0.1	Q115	35
Finland	51745.0	47231.0	1.8	1.4	10.4	8.6	0.3	0.2	Q33	36
France	375691.0	303276.0	1.7	1.2	6.5	4.6	0.2	0.1	Q142	37
Gabon	4499.0	5324.0	3.8	1.0	4.7	2.8	0.3	0.2	Q1000	38
Georgia	15335.0	8980.0	1.8	2.0	3.1	2.4	0.7	0.2	Q230	39
Germany	929973.0	720364.0	2.7	2.4	11.6	8.9	0.3	0.2	Q183	40
Ghana	3854.0	15266.0	0.7	1.7	0.3	0.6	0.1	0.1	Q117	41
Greece	74279.0	67528.0	3.5	2.9	7.3	6.2	0.3	0.2	Q41	42
Guatemala	5086.0	13953.0	1.2	1.1	0.6	0.9	0.1	0.1	Q774	43
Haiti	1008.0	2809.0	0.6	0.7	0.1	0.3	0.1	0.2	Q790	44
Honduras	2593.0	9509.0	1.1	1.8	0.5	1.1	0.1	0.2	Q783	45
Hungary	69647.0	41342.0	2.4	1.8	6.7	4.2	0.4	0.2	Q28	46
Iceland	1999.0	1984.0	0.9	0.3	7.8	6.1	0.2	0.1	Q189	47
India	619155.0	2232730.0	2.0	2.7	0.7	1.7	0.4	0.3	Q668	48
Indonesia	149566.0	369945.0	1.5	1.6	0.8	1.5	0.2	0.1	Q252	49
Iran, Islamic Rep.	210464.0	652392.0	3.0	2.8	3.7	8.4	0.4	0.6	Q794	50
Iraq	49908.0	166628.0	2.5	3.4	2.9	4.8	0.4	0.5	Q796	51
Ireland	31217.0	34004.0	3.1	2.7	8.9	7.3	0.3	0.1	Q27	52
Israel	36296.0	62882.0	3.2	2.8	7.8	7.7	0.3	0.2	Q801	53
Italy	417550.0	320411.0	2.8	2.2	7.4	5.3	0.2	0.1	Q38	54
Jamaica	7532.0	7294.0	2.7	2.6	3.1	2.5	0.4	0.3	Q766	55
Japan	1092396.0	1206674.0	2.5	2.7	8.8	9.5	0.3	0.2	Q17	56
Jordan	10634.0	26571.0	3.2	3.2	3.0	3.0	0.4	0.3	Q810	57
Kazakhstan	262044.0	248395.0	3.3	3.2	15.9	14.4	1.4	0.6	Q232	58
Kenya	5823.0	14437.0	0.5	0.6	0.2	0.3	0.1	0.1	Q114	59
Korea, Rep.	246943.0	587156.0	2.7	2.2	5.8	11.6	0.5	0.3	Q884	60
Kuwait	37909.0	88371.0	4.2	2.6	18.1	23.9	0.4	0.4	Q817	61
Kyrgyz Republic	11133.0	10290.0	2.2	2.7	2.5	1.8	0.6	0.4	Q813	62
Lebanon	8214.0	24070.0	4.2	3.2	2.9	3.8	0.4	0.2	Q822	63
Luxembourg	10004.0	9663.0	3.0	2.5	26.2	17.4	0.4	0.2	Q32	64
North Macedonia	11038.0	7539.0	4.1	2.9	5.6	3.6	0.6	0.3	Q221	65
Malaysia	56593.0	242671.0	2.6	2.7	3.1	8.1	0.3	0.3	Q833	66
Malta	2248.0	2347.0	3.2	3.0	6.3	5.4	0.4	0.2	Q233	67
Mauritius	1463.0	4210.0	2.2	3.0	1.4	3.3	0.2	0.2	Q1027	68
Mexico	318428.0	481499.0	2.6	2.6	3.8	4.0	0.3	0.2	Q96	69
Mongolia	9989.0	29633.0	2.9	5.5	4.6	10.1	0.9	0.9	Q711	70
Morocco	23080.0	59882.0	3.0	3.2	0.9	1.8	0.2	0.2	Q1028	71
Mozambique	1023.0	8434.0	0.2	0.7	0.1	0.3	0.2	0.3	Q1029	72
Myanmar	4276.0	16347.0	0.4	0.8	0.1	0.3	0.2	0.1	Q836	73
Namibia	40.0	3740.0	1.5	2.1	0.0	1.6	0.0	0.2	Q1030	74
Nepal	777.0	8031.0	0.1	0.7	0.0	0.3	0.0	0.1	Q837	75
Netherlands	163336.0	168884.0	2.5	2.3	10.9	10.0	0.3	0.2	Q55	76
New Zealand	23546.0	34657.0	1.8	1.7	7.1	7.7	0.3	0.2	Q664	77
Nicaragua	2549.0	4679.0	1.3	1.3	0.6	0.8	0.2	0.1	Q811	78
Nigeria	39197.0	130131.0	0.6	1.0	0.4	0.7	0.1	0.1	Q1033	79
Norway	31511.0	47924.0	1.5	1.7	7.4	9.3	0.2	0.2	Q20	80
Oman	11313.0	61221.0	2.7	2.5	6.2	15.2	0.2	0.5	Q842	81
Pakistan	68566.0	182415.0	1.6	2.0	0.6	0.9	0.2	0.2	Q843	82
Panama	2769.0	11107.0	1.9	2.6	1.1	2.8	0.1	0.1	Q804	83
Paraguay	2156.0	5702.0	0.7	1.1	0.5	0.9	0.1	0.1	Q733	84
Peru	21071.0	51331.0	2.2	2.2	1.0	1.7	0.2	0.1	Q419	85
Philippines	41763.0	104517.0	1.5	2.2	0.7	1.0	0.2	0.1	Q928	86
Poland	368423.0	285938.0	3.6	3.0	9.7	7.5	0.9	0.3	Q36	87
Portugal	42321.0	44657.0	2.5	2.1	4.2	4.3	0.2	0.1	Q45	88
Romania	174087.0	69490.0	2.8	2.2	7.5	3.5	0.6	0.2	Q218	89
Russian Federation	3610209.0	1736985.0	4.1	2.4	24.4	12.1	1.1	0.5	Q159	90
Saudi Arabia	185803.0	601047.0	3.2	2.8	11.4	19.4	0.3	0.4	Q851	91
Senegal	3183.0	9377.0	1.9	2.4	0.4	0.7	0.2	0.2	Q1041	92
Singapore	44495.0	56644.0	3.9	2.0	14.6	10.4	0.4	0.1	Q334	93
Slovak Republic	44184.0	30678.0	2.4	1.9	8.3	5.7	0.7	0.2	Q214	94
Slovenia	12479.0	12482.0	2.4	1.9	6.3	6.1	0.3	0.2	Q215	95
South Africa	313305.0	484495.0	3.4	3.3	8.5	8.9	0.8	0.7	Q258	96
Spain	218597.0	233977.0	2.4	2.0	5.6	5.0	0.2	0.1	Q29	97
Sri Lanka	3869.0	17924.0	0.7	1.7	0.2	0.9	0.1	0.1	Q854	98
Sudan	5222.0	15838.0	0.5	1.1	0.2	0.3	0.1	0.1	Q1049	99
Sweden	51947.0	43483.0	1.1	0.9	6.1	4.5	0.2	0.1	Q34	100
Switzerland	42611.0	35680.0	1.7	1.4	6.3	4.4	0.1	0.1	Q39	101
Tajikistan	7316.0	4620.0	1.8	1.6	1.3	0.6	0.5	0.2	Q863	102
Tanzania	2160.0	11562.0	0.2	0.5	0.1	0.2	0.1	0.1	Q924	103
Thailand	90722.0	280977.0	2.2	2.1	1.6	4.1	0.2	0.3	Q869	104
Togo	774.0	2589.0	0.6	0.8	0.2	0.4	0.2	0.3	Q945	105
Trinidad and Tobago	17026.0	46267.0	2.8	2.4	13.9	34.0	1.4	1.2	Q754	106
Tunisia	13227.0	28830.0	2.7	2.7	1.6	2.6	0.3	0.2	Q948	107
Turkey	145994.0	345908.0	2.8	2.8	2.7	4.5	0.2	0.2	Q43	108
Turkmenistan	32123.0	68426.0	3.1	2.6	8.2	12.5	1.5	1.0	Q874	109
Ukraine	630929.0	228469.0	2.9	2.2	12.1	5.0	0.9	0.4	Q212	110
United Arab Emirates	52009.0	226144.0	2.5	3.2	28.4	24.5	0.3	0.4	Q878	111
United Kingdom	555925.0	419743.0	2.7	2.3	9.7	6.5	0.3	0.1	Q145	112
United States	4823403.0	5225413.0	2.5	2.4	19.3	16.4	0.5	0.3	Q30	113
Uruguay	3993.0	6747.0	1.8	1.4	1.3	2.0	0.1	0.1	Q77	114
Uzbekistan	111649.0	105214.0	2.5	2.4	5.2	3.4	1.8	0.6	Q265	115
Vietnam	21445.0	167336.0	1.2	2.5	0.3	1.8	0.2	0.3	Q881	116
Zambia	2446.0	4503.0	0.4	0.4	0.3	0.3	0.1	0.1	Q953	117
Zimbabwe	15643.0	12116.0	1.7	1.0	1.5	0.9	0.5	0.3	Q954	118
