Country	Savings	ID	id_row
Afghanistan	0.1	Q889	0
Albania	1.3	Q222	1
Algeria	9.2	Q262	2
Angola	20.0	Q916	3
Antigua and Barbuda	0.0	Q781	4
Argentina	1.5	Q414	5
Armenia	0.0	Q399	6
Aruba	0.0	Q21203	7
Australia	1.3	Q408	8
Austria	0.1	Q40	9
Azerbaijan	18.5	Q227	10
Bahamas, The	0.0	Q778	11
Bahrain	3.8	Q398	12
Bangladesh	0.5	Q902	13
Barbados	0.0	Q244	14
Belarus	0.4	Q184	15
Belgium	0.0	Q31	16
Belize	0.6	Q242	17
Benin	0.1	Q962	18
Bhutan	0.0	Q917	19
Bolivia	2.6	Q750	20
Bosnia and Herzegovina	0.0	Q225	21
Botswana	0.3	Q963	22
Brazil	1.7	Q155	23
Brunei Darussalam	16.0	Q921	24
Bulgaria	0.1	Q219	25
Burkina Faso	0.0	Q965	26
Burundi	0.0	Q967	27
Cabo Verde	0.0	Q1011	28
Cambodia	0.0	Q424	29
Cameroon	2.9	Q1009	30
Canada	0.5	Q16	31
Cayman Islands	0.0	Q5785	32
Central African Republic	0.0	Q929	33
Chad	11.9	Q657	34
Chile	0.0	Q298	35
China	0.7	Q148	36
Hong Kong SAR, China	0.0	Q8646	37
Macao SAR, China	0.0	Q14773	38
Colombia	4.3	Q739	39
Comoros	0.0	Q970	40
Congo, Dem. Rep.	0.4	Q974	41
Congo, Rep.	46.9	Q971	42
Costa Rica	0.0	Q800	43
Cote d'Ivoire	1.8	Q1008	44
Croatia	0.4	Q224	45
Cuba	0.2	Q241	46
Curacao	0.0	Q25279	47
Cyprus	0.0	Q229	48
Czech Republic	0.1	Q213	49
Denmark	0.5	Q35	50
Djibouti	0.0	Q977	51
Dominica	0.0	Q784	52
Dominican Republic	0.0	Q786	53
Ecuador	5.7	Q736	54
Egypt, Arab Rep.	4.8	Q79	55
El Salvador	0.0	Q792	56
Equatorial Guinea	31.9	Q983	57
Estonia	0.3	Q191	58
Eswatini	0.0	Q1050	59
Ethiopia	0.0	Q115	60
Fiji	0.0	Q712	61
Finland	0.0	Q33	62
France	0.0	Q142	63
Gabon	13.6	Q1000	64
Gambia, The	0.0	Q1005	65
Georgia	0.1	Q230	66
Germany	0.0	Q183	67
Ghana	4.2	Q117	68
Greece	0.0	Q41	69
Grenada	0.0	Q769	70
