Country	Goveernment2010	Goveernment2018	ID	id_row
Afghanistan	2.6	0.7	Q889	0
Albania	0.1	1.9	Q222	1
Angola	-1.7	13.6	Q916	2
Armenia	-1.4	1.6	Q399	3
Australia	0.0	1.2	Q408	4
Azerbaijan	15.6	7.1	Q227	5
Bahamas, The	0.6	0.3	Q778	6
Bangladesh	2.0	2.3	Q902	7
Barbados	1.6	3.0	Q244	8
Belarus	1.0	4.3	Q184	9
Bhutan	2.3	4.3	Q917	10
Bosnia and Herzegovina	-0.4	1.4	Q225	11
Botswana	-2.4	0.3	Q963	12
Brazil	4.9	-1.1	Q155	13
Burkina Faso	0.3	-0.5	Q965	14
Cambodia	-0.3	1.8	Q424	15
Cameroon	0.9	-0.2	Q1009	16
Central African Republic	0.3	-0.5	Q929	17
Chile	2.0	0.0	Q298	18
Colombia	3.2	-0.5	Q739	19
Congo, Rep.	4.9	-2.0	Q971	20
Cote d'Ivoire	1.1	0.2	Q1008	21
Dominican Republic	0.8	1.0	Q786	22
El Salvador	-1.7	-3.2	Q792	23
Ethiopia	18.1	0.4	Q115	24
Fiji	1.7	2.1	Q712	25
Gabon	-0.2	0.8	Q1000	26
Georgia	1.6	0.8	Q230	27
Ghana	-0.9	0.1	Q117	28
Guatemala	0.1	0.2	Q774	29
Honduras	-0.1	1.3	Q783	30
Hungary	-1.3	1.7	Q28	31
Iceland	2.5	-0.1	Q189	32
India	0.9	0.8	Q668	33
Indonesia	0.7	0.7	Q252	34
Ireland	-7.0	5.4	Q27	35
Israel	-1.7	-0.5	Q801	36
Jamaica	3.3	-2.7	Q766	37
Japan	-0.5	0.6	Q17	38
Kazakhstan	7.2	2.4	Q232	39
Kiribati	-6.0	16.1	Q710	40
Korea, Rep.	2.7	3.5	Q884	41
Lebanon	-2.9	-0.4	Q822	42
Lesotho	-4.0	-2.5	Q1013	43
Madagascar	1.2	0.6	Q1019	44
Malawi	0.3	0.0	Q1020	45
Malaysia	-0.1	0.1	Q833	46
Mali	0.4	-1.4	Q912	47
Malta	2.6	2.1	Q233	48
Marshall Islands	3.9	0.0	Q709	49
Mauritius	-0.6	-2.8	Q1027	50
Mexico	-0.6	0.4	Q96	51
Micronesia, Fed. Sts.	0.7	19.4	Q702	52
Moldova	0.6	-0.4	Q217	53
Mongolia	2.9	-0.2	Q711	54
Morocco	0.0	-0.1	Q1028	55
Mozambique	2.1	3.3	Q1029	56
Myanmar	0.0	0.1	Q836	57
Namibia	-2.3	-0.6	Q1030	58
Nepal	1.0	0.5	Q837	59
North Macedonia	-0.9	1.6	Q221	60
Norway	14.3	11.6	Q20	61
Palau	3.9	10.3	Q695	62
Paraguay	1.8	2.7	Q733	63
Peru	-0.6	-3.3	Q419	64
Philippines	0.5	-0.3	Q928	65
Russian Federation	-0.3	3.9	Q159	66
Samoa	-0.9	1.9	Q683	67
Seychelles	15.9	2.7	Q1042	68
Singapore	17.0	13.7	Q334	69
Solomon Islands	7.0	0.6	Q685	70
South Africa	3.1	0.7	Q258	71
Spain	1.3	2.2	Q29	72
Sri Lanka	0.9	0.3	Q854	73
Tanzania	6.7	0.1	Q924	74
Thailand	1.8	1.9	Q869	75
Timor-Leste	186.4	-3.3	Q574	76
Togo	-0.2	0.1	Q945	77
Tonga	-0.7	3.8	Q678	78
Trinidad and Tobago	-3.0	0.1	Q754	79
Turkey	0.3	0.9	Q43	80
Ukraine	3.3	-0.2	Q212	81
United Arab Emirates	-0.3	0.3	Q878	82
United Kingdom	0.6	0.8	Q145	83
United States	1.6	1.2	Q30	84
Uruguay	-2.3	-0.7	Q77	85
Uzbekistan	7.3	2.6	Q265	86
Vanuatu	-0.9	3.4	Q686	87
Zambia	1.1	0.2	Q953	88
