Country	Surfacearea	ID	id_row
Grenada	0.3	Q769	78
Guam	0.5	Q16635	79
Guatemala	108.9	Q774	80
Guinea	245.9	Q1006	81
Guinea-Bissau	36.1	Q1007	82
Guyana	215.0	Q734	83
Haiti	27.8	Q790	84
Honduras	112.5	Q783	85
Hungary	93.0	Q28	86
Iceland	103.0	Q189	87
India	3287.3	Q668	88
Indonesia	1913.6	Q252	89
Iran, Islamic Rep.	1745.2	Q794	90
Iraq	435.1	Q796	91
Ireland	70.3	Q27	92
Isle of Man	0.6	Q9676	93
Israel	22.1	Q801	94
Italy	301.3	Q38	95
Jamaica	11.0	Q766	96
Japan	378.0	Q17	97
Jordan	89.3	Q810	98
Kazakhstan	2724.9	Q232	99
Kenya	580.4	Q114	100
Kiribati	0.8	Q710	101
Korea, Dem. People’s Rep.	120.5	Q423	102
Korea, Rep.	100.3	Q884	103
Kosovo	10.9	Q1246	104
Kuwait	17.8	Q817	105
Kyrgyz Republic	200.0	Q813	106
Lao PDR	236.8	Q819	107
Latvia	64.5	Q211	108
Lebanon	10.5	Q822	109
Lesotho	30.4	Q1013	110
Liberia	111.4	Q1014	111
Libya	1759.5	Q1016	112
Liechtenstein	0.2	Q347	113
Lithuania	65.3	Q37	114
Luxembourg	2.6	Q32	115
Madagascar	587.3	Q1019	116
Malawi	118.5	Q1020	117
Malaysia	330.3	Q833	118
Maldives	0.3	Q826	119
Mali	1240.2	Q912	120
Malta	0.3	Q233	121
Marshall Islands	0.2	Q709	122
Mauritania	1030.7	Q1025	123
Mauritius	2.0	Q1027	124
Mexico	1964.4	Q96	125
Micronesia, Fed. Sts.	0.7	Q702	126
Moldova	33.9	Q217	127
Monaco	0.0	Q235	128
Mongolia	1564.1	Q711	129
Montenegro	13.8	Q236	130
Morocco	446.6	Q1028	131
Mozambique	786.4	Q1029	132
Myanmar	676.6	Q836	133
Namibia	824.3	Q1030	134
Nauru	0.0	Q697	135
Nepal	147.2	Q837	136
Netherlands	41.5	Q55	137
New Caledonia	18.6	Q33788	138
New Zealand	267.7	Q664	139
Nicaragua	130.4	Q811	140
Niger	1267.0	Q1032	141
Nigeria	923.8	Q1033	142
North Macedonia	25.7	Q221	143
Northern Mariana Islands	0.5	Q16644	144
Norway	625.2	Q20	145
Oman	309.5	Q842	146
Pakistan	796.1	Q843	147
Palau	0.5	Q695	148
Panama	75.4	Q804	149
Papua New Guinea	462.8	Q691	150
Paraguay	406.8	Q733	151
Peru	1285.2	Q419	152
Philippines	300.0	Q928	153
Poland	312.7	Q36	154
Portugal	92.2	Q45	155
Puerto Rico	8.9	Q1183	156
Qatar	11.6	Q846	157
Romania	238.4	Q218	158
Russian Federation	17098.3	Q159	159
Rwanda	26.3	Q1037	160
Samoa	2.8	Q683	161
San Marino	0.1	Q238	162
Sao Tome and Principe	1.0	Q1039	163
Saudi Arabia	2149.7	Q851	164
Senegal	196.7	Q1041	165
Serbia	88.4	Q403	166
Seychelles	0.5	Q1042	167
Sierra Leone	72.3	Q1044	168
Singapore	0.7	Q334	169
Sint Maarten (Dutch part)	0.0	Q26273	170
Slovak Republic	49.0	Q214	171
Slovenia	20.7	Q215	172
Solomon Islands	28.9	Q685	173
Somalia	637.7	Q1045	174
South Africa	1219.1	Q258	175
Spain	505.9	Q29	176
Sri Lanka	65.6	Q854	177
St. Kitts and Nevis	0.3	Q763	178
St. Lucia	0.6	Q760	179
St. Martin (French part)	0.1	Q126125	180
St. Vincent and the Grenadines	0.4	Q757	181
Suriname	163.8	Q730	182
Sweden	447.4	Q34	183
Switzerland	41.3	Q39	184
Syrian Arab Republic	185.2	Q858	185
Tajikistan	141.4	Q863	186
Tanzania	947.3	Q924	187
Thailand	513.1	Q869	188
Timor-Leste	14.9	Q574	189
Togo	56.8	Q945	190
Tonga	0.8	Q678	191
Trinidad and Tobago	5.1	Q754	192
Tunisia	163.6	Q948	193
Turkey	785.4	Q43	194
Turkmenistan	488.1	Q874	195
Turks and Caicos Islands	1.0	Q18221	196
Tuvalu	0.0	Q672	197
Uganda	241.6	Q1036	198
Ukraine	603.6	Q212	199
United Arab Emirates	83.6	Q878	200
United Kingdom	243.6	Q145	201
United States	9831.5	Q30	202
Uruguay	176.2	Q77	203
Uzbekistan	447.4	Q265	204
Vanuatu	12.2	Q686	205
Venezuela, RB	912.1	Q717	206
Vietnam	331.2	Q881	207
Virgin Islands (U.S.)	0.4	Q11703	208
West Bank and Gaza	6.0	Q407199	209
Yemen, Rep.	528.0	Q805	210
Zambia	752.6	Q953	211
Zimbabwe	390.8	Q954	212
