Country	imports2010	imports2019	ID	id_row
Afghanistan	13.7	32.3	Q889	0
Albania	17.9	13.5	Q222	1
Algeria	16.3	20.2	Q262	2
Andorra	22.0	22.2	Q228	3
Angola	15.2	20.4	Q916	4
Antigua and Barbuda	21.3	27.5	Q781	5
Argentina	2.6	6.5	Q414	6
Armenia	18.0	16.8	Q399	7
Aruba	31.8	27.7	Q21203	8
Australia	5.5	6.6	Q408	9
Austria	7.3	7.5	Q40	10
Azerbaijan	18.5	16.3	Q227	11
Bahrain	7.6	9.4	Q398	12
Barbados	24.9	22.6	Q244	13
Belarus	7.9	10.2	Q184	14
Belgium	8.3	9.0	Q31	15
Belize	16.5	20.2	Q242	16
Benin	38.6	47.8	Q962	17
Bermuda	13.1	20.8	Q23635	18
Bolivia	7.7	7.6	Q750	19
Bosnia and Herzegovina	18.1	16.2	Q225	20
Botswana	12.4	12.7	Q963	21
Brazil	4.6	5.8	Q155	22
Brunei Darussalam	17.0	12.1	Q921	23
Bulgaria	9.6	9.7	Q219	24
Burkina Faso	15.1	12.4	Q965	25
Burundi	13.8	16.7	Q967	26
Cabo Verde	27.7	30.2	Q1011	27
Cambodia	7.3	7.6	Q424	28
Cameroon	17.7	22.8	Q1009	29
Canada	7.3	8.3	Q16	30
Central African Republic	28.1	21.1	Q929	31
Chile	7.1	10.1	Q298	32
China	4.6	6.3	Q148	33
Hong Kong SAR, China	4.2	4.9	Q8646	34
Macao SAR, China	17.1	16.3	Q14773	35
Colombia	9.7	12.5	Q739	36
Comoros	38.0	42.9	Q970	37
Congo, Rep.	7.0	24.9	Q971	38
Costa Rica	9.0	12.9	Q800	39
Cote d'Ivoire	19.2	21.4	Q1008	40
Croatia	10.4	12.4	Q224	41
Cyprus	14.8	15.2	Q229	42
Czech Republic	5.4	5.7	Q213	43
Denmark	13.4	14.0	Q35	44
Dominican Republic	13.6	15.1	Q786	45
Ecuador	8.3	10.1	Q736	46
Egypt, Arab Rep.	19.1	19.0	Q79	47
El Salvador	16.1	17.8	Q792	48
Estonia	11.4	10.2	Q191	49
Eswatini	18.7	18.2	Q1050	50
Ethiopia	10.9	15.0	Q115	51
Fiji	18.4	16.3	Q712	52
Finland	7.1	7.5	Q33	53
France	8.5	9.4	Q142	54
Gambia, The	36.1	25.8	Q1005	55
Georgia	13.0	13.3	Q230	56
Germany	7.6	7.8	Q183	57
Ghana	15.3	20.1	Q117	58
Greece	12.3	12.5	Q41	59
Greenland	19.0	19.8	Q223	60
Guatemala	13.3	15.6	Q774	61
Guyana	14.8	6.9	Q734	62
Honduras	16.4	18.0	Q783	63
Hungary	4.9	5.6	Q28	64
Iceland	11.0	11.3	Q189	65
India	4.0	4.2	Q668	66
Indonesia	8.5	10.3	Q252	67
Iran, Islamic Rep.	15.4	20.2	Q794	68
Ireland	11.4	9.9	Q27	69
Israel	7.3	8.7	Q801	70
Italy	9.2	10.3	Q38	71
Jamaica	17.7	18.0	Q766	72
Japan	9.2	9.8	Q17	73
Jordan	16.2	19.1	Q810	74
Kazakhstan	9.5	10.0	Q232	75
Kenya	12.0	14.0	Q114	76
Korea, Rep.	4.5	6.2	Q884	77
Kuwait	15.4	15.0	Q817	78
Kyrgyz Republic	16.9	11.1	Q813	79
Lao PDR	11.8	12.5	Q819	80
Latvia	14.7	16.2	Q211	81
Lebanon	16.3	17.8	Q822	82
Lesotho	20.6	18.3	Q1013	83
Lithuania	12.4	11.7	Q37	84
Luxembourg	11.2	12.4	Q32	85
Madagascar	13.6	14.6	Q1019	86
Malawi	13.6	11.9	Q1020	87
Malaysia	7.9	7.6	Q833	88
Maldives	22.4	17.2	Q826	89
Mali	11.6	16.9	Q912	90
Malta	10.8	10.1	Q233	91
Mauritania	19.4	13.8	Q1025	92
Mauritius	21.1	20.8	Q1027	93
Mexico	6.5	4.7	Q96	94
Moldova	14.9	12.7	Q217	95
Montenegro	24.2	21.0	Q236	96
Morocco	11.4	10.9	Q1028	97
Mozambique	11.6	14.3	Q1029	98
Myanmar	7.2	13.1	Q836	99
Namibia	14.9	11.3	Q1030	100
Nepal	14.2	18.1	Q837	101
Netherlands	10.0	12.7	Q55	102
New Zealand	10.6	11.5	Q664	103
Nicaragua	16.3	14.4	Q811	104
Nigeria	10.2	10.9	Q1033	105
North Macedonia	12.4	9.6	Q221	106
Norway	7.9	9.2	Q20	107
Oman	12.1	15.0	Q842	108
Pakistan	13.1	10.7	Q843	109
Palau	24.7	22.8	Q695	110
Paraguay	7.5	8.5	Q733	111
Peru	10.3	11.4	Q419	112
Philippines	11.1	11.2	Q928	113
Poland	7.6	8.9	Q36	114
Portugal	13.6	13.6	Q45	115
Qatar	8.2	11.0	Q846	116
Romania	7.7	9.3	Q218	117
Russian Federation	14.1	11.9	Q159	118
Samoa	24.5	28.4	Q683	119
Sao Tome and Principe	29.8	29.2	Q1039	120
Saudi Arabia	16.1	14.8	Q851	121
Senegal	22.4	19.6	Q1041	122
Seychelles	17.0	19.0	Q1042	123
Singapore	3.1	3.8	Q334	124
Slovak Republic	6.4	5.7	Q214	125
Slovenia	8.0	7.7	Q215	126
Solomon Islands	22.8	22.0	Q685	127
South Africa	6.6	7.1	Q258	128
Spain	10.4	10.8	Q29	129
Sri Lanka	15.4	13.4	Q854	130
St. Kitts and Nevis	19.7	25.4	Q763	131
St. Lucia	24.1	24.6	Q760	132
St. Vincent and the Grenadines	22.2	26.3	Q757	133
Suriname	15.2	13.2	Q730	134
Sweden	8.8	10.6	Q34	135
Switzerland	5.8	5.5	Q39	136
Tanzania	10.0	7.2	Q924	137
Thailand	5.0	6.3	Q869	138
Togo	13.3	17.7	Q945	139
Tunisia	9.3	11.1	Q948	140
Turkey	4.0	7.2	Q43	141
Uganda	12.4	12.5	Q1036	142
Ukraine	9.2	8.6	Q212	143
United Arab Emirates	7.0	8.2	Q878	144
United Kingdom	9.0	10.2	Q145	145
United States	5.0	6.2	Q30	146
Uruguay	9.5	14.6	Q77	147
Vietnam	8.7	7.9	Q881	148
Zambia	4.7	7.2	Q953	149
Zimbabwe	17.9	8.1	Q954	150
