Entity	Date	Excess mortality P-scores, all ages	ID
Austria	2020-01-05	-11	Q40
Austria	2020-01-12	-8	Q40
Austria	2020-01-19	1	Q40
Austria	2020-01-26	2	Q40
Austria	2020-02-02	7	Q40
Austria	2020-02-09	-9	Q40
Austria	2020-02-16	-5	Q40
Austria	2020-02-23	-6	Q40
Austria	2020-03-01	-3	Q40
Austria	2020-03-08	-1	Q40
Austria	2020-03-15	0	Q40
Austria	2020-03-22	15	Q40
Austria	2020-03-29	7	Q40
Austria	2020-04-05	15	Q40
Austria	2020-04-12	16	Q40
Austria	2020-04-19	12	Q40
Austria	2020-04-26	8	Q40
Austria	2020-05-03	1	Q40
Austria	2020-05-10	6	Q40
Austria	2020-05-17	2	Q40
Austria	2020-05-24	4	Q40
Austria	2020-05-31	0	Q40
Austria	2020-06-07	5	Q40
Austria	2020-06-14	1	Q40
Austria	2020-06-21	0	Q40
Austria	2020-06-28	3	Q40
Austria	2020-07-05	9	Q40
Austria	2020-07-12	0	Q40
Austria	2020-07-19	-2	Q40
Austria	2020-07-26	-2	Q40
Austria	2020-08-02	1	Q40
Austria	2020-08-09	0	Q40
Austria	2020-08-16	10	Q40
Austria	2020-08-23	3	Q40
Austria	2020-08-30	5	Q40
Austria	2020-09-06	10	Q40
Austria	2020-09-13	10	Q40
Austria	2020-09-20	10	Q40
Austria	2020-09-27	3	Q40
Austria	2020-10-04	4	Q40
Belgium	2020-01-05	-7	Q31
Belgium	2020-01-12	-2	Q31
Belgium	2020-01-19	-5	Q31
Belgium	2020-01-26	-9	Q31
Belgium	2020-02-02	-6	Q31
Belgium	2020-02-09	-13	Q31
Belgium	2020-02-16	-9	Q31
Belgium	2020-02-23	-8	Q31
Belgium	2020-03-01	-12	Q31
Belgium	2020-03-08	-10	Q31
Belgium	2020-03-15	-5	Q31
Belgium	2020-03-22	10	Q31
Belgium	2020-03-29	43	Q31
Belgium	2020-04-05	90	Q31
Belgium	2020-04-12	104	Q31
Belgium	2020-04-19	80	Q31
Belgium	2020-04-26	49	Q31
Belgium	2020-05-03	20	Q31
Belgium	2020-05-10	17	Q31
Belgium	2020-05-17	3	Q31
Belgium	2020-05-24	5	Q31
Belgium	2020-05-31	2	Q31
Belgium	2020-06-07	-5	Q31
Belgium	2020-06-14	2	Q31
Belgium	2020-06-21	-6	Q31
Belgium	2020-06-28	3	Q31
Belgium	2020-07-05	-13	Q31
Belgium	2020-07-12	-10	Q31
Belgium	2020-07-19	-3	Q31
Belgium	2020-07-26	-10	Q31
Belgium	2020-08-02	3	Q31
Belgium	2020-08-09	8	Q31
Belgium	2020-08-16	54	Q31
Belgium	2020-08-23	15	Q31
Belgium	2020-08-30	-2	Q31
Belgium	2020-09-06	1	Q31
Belgium	2020-09-13	-4	Q31
Belgium	2020-09-20	5	Q31
Bulgaria	2020-01-05	-19	Q219
Bulgaria	2020-01-12	-12	Q219
Bulgaria	2020-01-19	-14	Q219
Bulgaria	2020-01-26	-5	Q219
Bulgaria	2020-02-02	-1	Q219
Bulgaria	2020-02-09	1	Q219
Bulgaria	2020-02-16	0	Q219
Bulgaria	2020-02-23	-6	Q219
Bulgaria	2020-03-01	-4	Q219
Bulgaria	2020-03-08	-10	Q219
Bulgaria	2020-03-15	-6	Q219
Bulgaria	2020-03-22	-6	Q219
Bulgaria	2020-03-29	-3	Q219
Bulgaria	2020-04-05	-5	Q219
Bulgaria	2020-04-12	-3	Q219
Bulgaria	2020-04-19	-3	Q219
Bulgaria	2020-04-26	-4	Q219
Bulgaria	2020-05-03	-6	Q219
Bulgaria	2020-05-10	-6	Q219
Bulgaria	2020-05-17	6	Q219
Bulgaria	2020-05-24	-4	Q219
Bulgaria	2020-05-31	-8	Q219
Bulgaria	2020-06-07	0	Q219
Bulgaria	2020-06-14	0	Q219
Bulgaria	2020-06-21	-2	Q219
Bulgaria	2020-06-28	-3	Q219
Bulgaria	2020-07-05	12	Q219
Bulgaria	2020-07-12	5	Q219
Bulgaria	2020-07-19	-2	Q219
Bulgaria	2020-07-26	0	Q219
Bulgaria	2020-08-02	10	Q219
Bulgaria	2020-08-09	6	Q219
Bulgaria	2020-08-16	6	Q219
Bulgaria	2020-08-23	3	Q219
Bulgaria	2020-08-30	6	Q219
Bulgaria	2020-09-06	7	Q219
Bulgaria	2020-09-13	5	Q219
Bulgaria	2020-09-20	1	Q219
Bulgaria	2020-09-27	1	Q219
Chile	2020-01-05	7	Q298
Chile	2020-01-12	11	Q298
Chile	2020-01-19	9	Q298
Chile	2020-01-26	3	Q298
Chile	2020-02-02	3	Q298
Chile	2020-02-09	8	Q298
Chile	2020-02-16	4	Q298
Chile	2020-02-23	1	Q298
Chile	2020-03-01	6	Q298
Chile	2020-03-08	5	Q298
Chile	2020-03-15	7	Q298
Chile	2020-03-22	11	Q298
Chile	2020-03-29	9	Q298
Chile	2020-04-05	10	Q298
Chile	2020-04-12	3	Q298
Chile	2020-04-19	9	Q298
Chile	2020-04-26	5	Q298
Chile	2020-05-03	5	Q298
Chile	2020-05-10	20	Q298
Chile	2020-05-17	19	Q298
Chile	2020-05-24	35	Q298
Chile	2020-05-31	54	Q298
Chile	2020-06-07	69	Q298
Chile	2020-06-14	65	Q298
Chile	2020-06-21	54	Q298
Chile	2020-06-28	44	Q298
Chile	2020-07-05	28	Q298
Chile	2020-07-12	25	Q298
Chile	2020-07-19	16	Q298
Chile	2020-07-26	14	Q298
Chile	2020-08-02	13	Q298
Chile	2020-08-09	10	Q298
Chile	2020-08-16	8	Q298
Chile	2020-08-23	16	Q298
Chile	2020-08-30	15	Q298
Chile	2020-09-06	8	Q298
Chile	2020-09-13	11	Q298
Chile	2020-09-20	8	Q298
Chile	2020-09-27	11	Q298
Croatia	2020-01-05	-16	Q224
Croatia	2020-01-12	-17	Q224
Croatia	2020-01-19	-18	Q224
Croatia	2020-01-26	-10	Q224
Croatia	2020-02-02	-9	Q224
Croatia	2020-02-09	-5	Q224
Croatia	2020-02-16	-7	Q224
Croatia	2020-02-23	-5	Q224
Croatia	2020-03-01	-10	Q224
Croatia	2020-03-08	-8	Q224
Croatia	2020-03-15	0	Q224
Croatia	2020-03-22	2	Q224
Croatia	2020-03-29	9	Q224
Croatia	2020-04-05	-3	Q224
Croatia	2020-04-12	1	Q224
Croatia	2020-04-19	2	Q224
Croatia	2020-04-26	-13	Q224
Croatia	2020-05-03	-5	Q224
Croatia	2020-05-10	-10	Q224
Croatia	2020-05-17	-2	Q224
Croatia	2020-05-24	-6	Q224
Croatia	2020-05-31	-5	Q224
Croatia	2020-06-07	-3	Q224
Croatia	2020-06-14	5	Q224
Croatia	2020-06-21	-3	Q224
Croatia	2020-06-28	-1	Q224
Croatia	2020-07-05	5	Q224
Croatia	2020-07-12	-4	Q224
Croatia	2020-07-19	-7	Q224
Croatia	2020-07-26	-2	Q224
Croatia	2020-08-02	9	Q224
Croatia	2020-08-09	2	Q224
Croatia	2020-08-16	-1	Q224
Czech Republic	2020-01-05	-3	Q213
Czech Republic	2020-01-12	-1	Q213
Czech Republic	2020-01-19	-6	Q213
Czech Republic	2020-01-26	-2	Q213
Czech Republic	2020-02-02	-2	Q213
Czech Republic	2020-02-09	-5	Q213
Czech Republic	2020-02-16	-5	Q213
Czech Republic	2020-02-23	-6	Q213
Czech Republic	2020-03-01	-5	Q213
Czech Republic	2020-03-08	-5	Q213
Czech Republic	2020-03-15	-1	Q213
Czech Republic	2020-03-22	2	Q213
Czech Republic	2020-03-29	4	Q213
Czech Republic	2020-04-05	7	Q213
Czech Republic	2020-04-12	6	Q213
Czech Republic	2020-04-19	2	Q213
Czech Republic	2020-04-26	-4	Q213
Czech Republic	2020-05-03	4	Q213
Czech Republic	2020-05-10	-2	Q213
Czech Republic	2020-05-17	2	Q213
Czech Republic	2020-05-24	-4	Q213
Czech Republic	2020-05-31	-6	Q213
Czech Republic	2020-06-07	9	Q213
Czech Republic	2020-06-14	1	Q213
Czech Republic	2020-06-21	4	Q213
Czech Republic	2020-06-28	5	Q213
Czech Republic	2020-07-05	6	Q213
Czech Republic	2020-07-12	0	Q213
Czech Republic	2020-07-19	-1	Q213
Czech Republic	2020-07-26	2	Q213
Czech Republic	2020-08-02	9	Q213
Czech Republic	2020-08-09	6	Q213
Czech Republic	2020-08-16	5	Q213
Denmark	2020-01-05	0	Q35
Denmark	2020-01-12	3	Q35
Denmark	2020-01-19	-3	Q35
Denmark	2020-01-26	-7	Q35
Denmark	2020-02-02	-5	Q35
Denmark	2020-02-09	-5	Q35
Denmark	2020-02-16	-9	Q35
Denmark	2020-02-23	-10	Q35
Denmark	2020-03-01	-14	Q35
Denmark	2020-03-08	-9	Q35
Denmark	2020-03-15	-8	Q35
Denmark	2020-03-22	1	Q35
Denmark	2020-03-29	2	Q35
Denmark	2020-04-05	9	Q35
Denmark	2020-04-12	7	Q35
Denmark	2020-04-19	5	Q35
Denmark	2020-04-26	10	Q35
Denmark	2020-05-03	1	Q35
Denmark	2020-05-10	1	Q35
Denmark	2020-05-17	-2	Q35
Denmark	2020-05-24	3	Q35
Denmark	2020-05-31	-1	Q35
Denmark	2020-06-07	-1	Q35
Denmark	2020-06-14	2	Q35
Denmark	2020-06-21	-2	Q35
Denmark	2020-06-28	5	Q35
Denmark	2020-07-05	6	Q35
Denmark	2020-07-12	1	Q35
Denmark	2020-07-19	7	Q35
Denmark	2020-07-26	-4	Q35
Denmark	2020-08-02	2	Q35
Denmark	2020-08-09	0	Q35
Denmark	2020-08-16	5	Q35
Denmark	2020-08-23	2	Q35
Denmark	2020-08-30	1	Q35
Denmark	2020-09-06	4	Q35
Denmark	2020-09-13	3	Q35
Denmark	2020-09-20	12	Q35
Denmark	2020-09-27	-1	Q35
England & Wales	2020-01-05	0	Q1156248
England & Wales	2020-01-12	2	Q1156248
England & Wales	2020-01-19	-2	Q1156248
England & Wales	2020-01-26	-7	Q1156248
England & Wales	2020-02-02	-5	Q1156248
England & Wales	2020-02-09	-8	Q1156248
England & Wales	2020-02-16	-6	Q1156248
England & Wales	2020-02-23	-6	Q1156248
England & Wales	2020-03-01	-3	Q1156248
England & Wales	2020-03-08	-5	Q1156248
England & Wales	2020-03-15	-2	Q1156248
England & Wales	2020-03-22	1	Q1156248
England & Wales	2020-03-29	10	Q1156248
England & Wales	2020-04-05	59	Q1156248
England & Wales	2020-04-12	76	Q1156248
England & Wales	2020-04-19	113	Q1156248
England & Wales	2020-04-26	110	Q1156248
England & Wales	2020-05-03	81	Q1156248
England & Wales	2020-05-10	32	Q1156248
England & Wales	2020-05-17	43	Q1156248
England & Wales	2020-05-24	24	Q1156248
England & Wales	2020-05-31	20	Q1156248
England & Wales	2020-06-07	7	Q1156248
England & Wales	2020-06-14	6	Q1156248
England & Wales	2020-06-21	-1	Q1156248
England & Wales	2020-06-28	-3	Q1156248
England & Wales	2020-07-05	0	Q1156248
England & Wales	2020-07-12	-6	Q1156248
England & Wales	2020-07-19	-3	Q1156248
England & Wales	2020-07-26	-2	Q1156248
England & Wales	2020-08-02	-1	Q1156248
England & Wales	2020-08-09	-2	Q1156248
England & Wales	2020-08-16	3	Q1156248
England & Wales	2020-08-23	5	Q1156248
England & Wales	2020-08-30	10	Q1156248
England & Wales	2020-09-06	-16	Q1156248
England & Wales	2020-09-13	5	Q1156248
England & Wales	2020-09-20	3	Q1156248
England & Wales	2020-09-27	3	Q1156248
Estonia	2020-01-05	-14	Q191
Estonia	2020-01-12	-4	Q191
Estonia	2020-01-19	-4	Q191
Estonia	2020-01-26	-11	Q191
Estonia	2020-02-02	-9	Q191
Estonia	2020-02-09	-19	Q191
Estonia	2020-02-16	0	Q191
Estonia	2020-02-23	-1	Q191
Estonia	2020-03-01	-6	Q191
Estonia	2020-03-08	-12	Q191
Estonia	2020-03-15	5	Q191
Estonia	2020-03-22	0	Q191
Estonia	2020-03-29	4	Q191
Estonia	2020-04-05	4	Q191
Estonia	2020-04-12	4	Q191
Estonia	2020-04-19	4	Q191
Estonia	2020-04-26	14	Q191
Estonia	2020-05-03	6	Q191
Estonia	2020-05-10	10	Q191
Estonia	2020-05-17	-5	Q191
Estonia	2020-05-24	-3	Q191
Estonia	2020-05-31	10	Q191
Estonia	2020-06-07	-3	Q191
Estonia	2020-06-14	4	Q191
Estonia	2020-06-21	1	Q191
Estonia	2020-06-28	11	Q191
Estonia	2020-07-05	3	Q191
Estonia	2020-07-12	3	Q191
Estonia	2020-07-19	4	Q191
Estonia	2020-07-26	6	Q191
Estonia	2020-08-02	14	Q191
Estonia	2020-08-09	2	Q191
Estonia	2020-08-16	5	Q191
Estonia	2020-08-23	-1	Q191
Estonia	2020-08-30	10	Q191
Estonia	2020-09-06	5	Q191
Estonia	2020-09-13	-6	Q191
Estonia	2020-09-20	11	Q191
Estonia	2020-09-27	12	Q191
Finland	2020-01-05	-10	Q33
Finland	2020-01-12	-10	Q33
Finland	2020-01-19	-10	Q33
Finland	2020-01-26	-8	Q33
Finland	2020-02-02	-6	Q33
Finland	2020-02-09	-1	Q33
Finland	2020-02-16	0	Q33
Finland	2020-02-23	0	Q33
Finland	2020-03-01	-6	Q33
Finland	2020-03-08	0	Q33
Finland	2020-03-15	0	Q33
Finland	2020-03-22	3	Q33
Finland	2020-03-29	4	Q33
Finland	2020-04-05	3	Q33
Finland	2020-04-12	13	Q33
Finland	2020-04-19	3	Q33
Finland	2020-04-26	12	Q33
Finland	2020-05-03	9	Q33
Finland	2020-05-10	8	Q33
Finland	2020-05-17	14	Q33
Finland	2020-05-24	0	Q33
Finland	2020-05-31	4	Q33
Finland	2020-06-07	2	Q33
Finland	2020-06-14	5	Q33
Finland	2020-06-21	10	Q33
Finland	2020-06-28	7	Q33
Finland	2020-07-05	5	Q33
Finland	2020-07-12	0	Q33
Finland	2020-07-19	6	Q33
Finland	2020-07-26	-1	Q33
Finland	2020-08-02	4	Q33
Finland	2020-08-09	3	Q33
Finland	2020-08-16	2	Q33
Finland	2020-08-23	6	Q33
Finland	2020-08-30	2	Q33
Finland	2020-09-06	1	Q33
Finland	2020-09-13	14	Q33
Finland	2020-09-20	3	Q33
Finland	2020-09-27	7	Q33
France	2020-01-05	-5	Q142
France	2020-01-12	-3	Q142
France	2020-01-19	-5	Q142
France	2020-01-26	-6	Q142
France	2020-02-02	-4	Q142
France	2020-02-09	-6	Q142
France	2020-02-16	-6	Q142
France	2020-02-23	-8	Q142
France	2020-03-01	-7	Q142
France	2020-03-08	-4	Q142
France	2020-03-15	4	Q142
France	2020-03-22	19	Q142
France	2020-03-29	39	Q142
France	2020-04-05	65	Q142
France	2020-04-12	57	Q142
France	2020-04-19	39	Q142
France	2020-04-26	17	Q142
France	2020-05-03	4	Q142
France	2020-05-10	4	Q142
France	2020-05-17	2	Q142
France	2020-05-24	5	Q142
France	2020-05-31	1	Q142
France	2020-06-07	2	Q142
France	2020-06-14	3	Q142
France	2020-06-21	0	Q142
France	2020-06-28	7	Q142
France	2020-07-05	-7	Q142
France	2020-07-12	1	Q142
France	2020-07-19	-3	Q142
France	2020-07-26	1	Q142
France	2020-08-02	6	Q142
France	2020-08-09	4	Q142
France	2020-08-16	17	Q142
France	2020-08-23	1	Q142
France	2020-08-30	1	Q142
France	2020-09-06	4	Q142
Germany	2020-01-05	-2	Q183
Germany	2020-01-12	-1	Q183
Germany	2020-01-19	-2	Q183
Germany	2020-01-26	-5	Q183
Germany	2020-02-02	-3	Q183
Germany	2020-02-09	-7	Q183
Germany	2020-02-16	-5	Q183
Germany	2020-02-23	-10	Q183
Germany	2020-03-01	-10	Q183
Germany	2020-03-08	-8	Q183
Germany	2020-03-15	-3	Q183
Germany	2020-03-22	1	Q183
Germany	2020-03-29	4	Q183
Germany	2020-04-05	12	Q183
Germany	2020-04-12	14	Q183
Germany	2020-04-19	11	Q183
Germany	2020-04-26	6	Q183
Germany	2020-05-03	5	Q183
Germany	2020-05-10	2	Q183
Germany	2020-05-17	1	Q183
Germany	2020-05-24	3	Q183
Germany	2020-05-31	0	Q183
Germany	2020-06-07	5	Q183
Germany	2020-06-14	4	Q183
Germany	2020-06-21	-1	Q183
Germany	2020-06-28	4	Q183
Germany	2020-07-05	0	Q183
Germany	2020-07-12	0	Q183
Germany	2020-07-19	-2	Q183
Germany	2020-07-26	-4	Q183
Germany	2020-08-02	0	Q183
Germany	2020-08-09	5	Q183
