Country	Primary_1999	Primary_2018	Secondary_1999	Secondary_2018	ID	id_row
Albania	96.8	94.5	66.7	86.6	Q222	0
Argentina	99.2	99.2	76.3	90.8	Q414	1
Austria	90.2	88.6	88.5	87.0	Q40	2
Bahamas, The	90.5	74.2	70.7	62.5	Q778	3
Bahrain	96.9	96.7	84.8	90.2	Q398	4
Barbados	97.1	96.7	94.9	93.6	Q244	5
Belgium	98.9	98.8	93.6	94.9	Q31	6
Belize	97.7	95.9	55.3	71.1	Q242	7
Bhutan	54.6	88.0	19.6	70.2	Q917	8
Bolivia	94.8	92.9	62.4	76.6	Q750	9
Bulgaria	95.6	86.4	85.2	89.1	Q219	10
Burkina Faso	35.5	78.6	8.6	31.0	Q965	11
Chad	49.7	73.2	7.0	18.9	Q657	12
Macao SAR, China	87.3	96.4	65.3	86.4	Q14773	13
Croatia	86.0	88.0	82.0	92.4	Q224	14
Cuba	97.8	97.7	75.8	84.2	Q241	15
Cyprus	95.4	97.5	87.8	95.3	Q229	16
Czech Republic	89.1	89.4	88.5	90.5	Q213	17
Denmark	97.9	98.5	88.6	90.9	Q35	18
Dominica	94.8	95.4	82.1	87.7	Q784	19
Dominican Republic	83.6	92.7	39.7	70.6	Q786	20
Ecuador	95.0	90.9	47.2	84.7	Q736	21
El Salvador	89.2	81.0	47.9	61.8	Q792	22
Eritrea	45.2	51.5	24.9	41.6	Q986	23
Estonia	95.0	93.7	84.0	94.4	Q191	24
Finland	99.8	98.6	94.5	96.1	Q33	25
France	96.0	98.9	90.1	94.7	Q142	26
Georgia	99.9	96.4	82.2	95.9	Q230	27
Ghana	59.1	84.5	31.7	58.3	Q117	28
Greece	94.6	98.2	79.9	93.3	Q41	29
Guatemala	79.6	86.9	22.1	43.8	Q774	30
Hungary	87.1	90.8	83.5	89.3	Q28	31
Iceland	98.8	99.8	83.7	91.3	Q189	32
Indonesia	91.9	93.5	49.6	78.7	Q252	33
Ireland	94.7	95.8	90.0	98.7	Q27	34
Israel	97.5	97.0	97.1	98.6	Q801	35
Italy	98.8	95.7	85.2	94.7	Q38	36
Jamaica	90.1	81.0	81.2	74.0	Q766	37
Jordan	87.1	80.9	74.4	62.6	Q810	38
Kazakhstan	87.0	87.6	88.7	99.8	Q232	39
Korea, Rep.	98.5	97.3	93.3	98.0	Q884	40
Lao PDR	74.9	91.5	25.6	60.0	Q819	41
Lesotho	54.3	93.3	16.2	41.4	Q1013	42
Lithuania	95.2	98.2	89.2	98.4	Q37	43
Luxembourg	96.2	95.0	84.0	83.6	Q32	44
Malaysia	95.6	99.6	75.7	72.2	Q833	45
Malta	98.3	99.5	80.1	93.0	Q233	46
Mauritania	59.5	79.6	13.5	31.0	Q1025	47
Mauritius	92.8	94.8	66.4	84.3	Q1027	48
Mexico	97.5	95.3	55.0	81.2	Q96	49
Moldova	89.1	86.3	78.2	78.0	Q217	50
Myanmar	89.7	97.9	29.7	64.1	Q836	51
Netherlands	99.4	98.6	91.0	93.2	Q55	52
New Zealand	99.8	99.1	91.6	96.9	Q664	53
Niger	26.0	65.1	5.4	20.1	Q1032	54
Norway	99.8	99.9	95.3	95.6	Q20	55
Oman	81.2	86.3	63.4	96.2	Q842	56
Panama	93.1	86.2	57.1	63.8	Q804	57
Peru	96.1	95.7	59.7	89.3	Q419	58
Poland	96.9	95.8	89.7	94.1	Q36	59
Portugal	97.0	97.6	80.6	94.7	Q45	60
Romania	86.7	82.2	71.2	82.8	Q218	61
Samoa	90.5	94.4	71.1	85.5	Q683	62
Seychelles	84.7	92.2	66.6	80.1	Q1042	63
Slovenia	94.5	98.3	90.1	95.7	Q215	64
South Africa	87.1	87.0	59.6	71.9	Q258	65
Spain	99.9	97.3	87.2	96.9	Q29	66
St. Lucia	89.3	95.4	60.9	81.3	Q760	67
St. Vincent and the Grenadines	96.7	93.6	67.9	89.5	Q757	68
Sweden	99.8	99.2	96.1	99.1	Q34	69
Switzerland	95.7	93.2	84.6	85.3	Q39	70
Togo	85.1	90.7	20.3	41.0	Q945	71
Turkey	95.0	87.9	57.9	87.2	Q43	72
United Arab Emirates	79.4	95.0	69.9	92.8	Q878	73
United Kingdom	99.9	99.5	94.7	97.1	Q145	74
Venezuela, RB	85.5	87.4	48.5	73.2	Q717	75
West Bank and Gaza	88.4	94.8	73.2	87.2	Q407199	76
Yemen, Rep.	56.8	84.2	33.5	47.6	Q805	77
