Country	Exports2010	Exports2019	ID	id_row
Afghanistan	6.0	1.0	Q889	0
Albania	0.0	0.0	Q222	1
Algeria	9.0	11.0	Q262	2
Antigua and Barbuda	4.0	3.0	Q781	3
Argentina	2.0	2.0	Q414	4
Armenia	2.0	2.0	Q399	5
Aruba	1.0	1.0	Q21203	6
Australia	3.0	6.0	Q408	7
Austria	7.0	4.0	Q40	8
Azerbaijan	0.0	1.0	Q227	9
Bahrain	21.0	45.0	Q398	10
Bangladesh	4.0	5.0	Q902	11
Barbados	3.0	2.0	Q244	12
Belarus	1.0	1.0	Q184	13
Belgium	8.0	10.0	Q31	14
Belize	2.0	1.0	Q242	15
Benin	2.0	26.0	Q962	16
Bermuda	19.0	19.0	Q23635	17
Bhutan	4.0	5.0	Q917	18
Bolivia	10.0	0.0	Q750	19
Bosnia and Herzegovina	0.0	1.0	Q225	20
Botswana	0.0	1.0	Q963	21
Brazil	7.0	6.0	Q155	22
Brunei Darussalam	1.0	0.0	Q921	23
Bulgaria	2.0	1.0	Q219	24
Burkina Faso	5.0	19.0	Q965	25
Burundi	22.0	6.0	Q967	26
Cabo Verde	1.0	1.0	Q1011	27
Cambodia	0.0	1.0	Q424	28
Cameroon	4.0	10.0	Q1009	29
Canada	10.0	11.0	Q16	30
Chile	4.0	5.0	Q298	31
China	3.0	4.0	Q148	32
Hong Kong SAR, China	17.0	23.0	Q8646	33
Macao SAR, China	2.0	3.0	Q14773	34
Colombia	1.0	1.0	Q739	35
Comoros	0.0	1.0	Q970	36
Congo, Dem. Rep.	16.0	3.0	Q974	37
Congo, Rep.	2.0	1.0	Q971	38
Costa Rica	0.0	1.0	Q800	39
Cote d'Ivoire	10.0	2.0	Q1008	40
Croatia	1.0	1.0	Q224	41
Curacao	0.0	1.0	Q25279	42
Cyprus	31.0	25.0	Q229	43
Czech Republic	3.0	2.0	Q213	44
Denmark	2.0	1.0	Q35	45
Dominica	2.0	3.0	Q784	46
Dominican Republic	1.0	1.0	Q786	47
Egypt, Arab Rep.	1.0	2.0	Q79	48
El Salvador	2.0	4.0	Q792	49
Estonia	3.0	1.0	Q191	50
Eswatini	16.0	12.0	Q1050	51
Ethiopia	0.0	1.0	Q115	52
Fiji	0.0	0.0	Q712	53
Finland	3.0	2.0	Q33	54
France	6.0	7.0	Q142	55
French Polynesia	1.0	1.0	Q30971	56
Gambia, The	0.0	0.0	Q1005	57
Georgia	4.0	1.0	Q230	58
Germany	14.0	11.0	Q183	59
Ghana	1.0	1.0	Q117	60
Greece	2.0	1.0	Q41	61
Grenada	3.0	1.0	Q769	62
Guatemala	3.0	4.0	Q774	63
Guinea	16.0	16.0	Q1006	64
Guinea-Bissau	11.0	9.0	Q1007	65
Guyana	11.0	14.0	Q734	66
Honduras	1.0	0.0	Q783	67
Hungary	2.0	2.0	Q28	68
Iceland	5.0	2.0	Q189	69
India	7.0	3.0	Q668	70
Indonesia	3.0	2.0	Q252	71
Iraq	1.0	1.0	Q796	72
Ireland	21.0	12.0	Q27	73
Israel	0.0	0.0	Q801	74
Italy	7.0	7.0	Q38	75
Jamaica	2.0	0.0	Q766	76
Japan	4.0	8.0	Q17	77
Kazakhstan	3.0	2.0	Q232	78
Kenya	5.0	16.0	Q114	79
Kiribati	30.0	3.0	Q710	80
Korea, Rep.	3.0	4.0	Q884	81
Kosovo	4.0	2.0	Q1246	82
Kuwait	4.0	34.0	Q817	83
Kyrgyz Republic	1.0	2.0	Q813	84
Lao PDR	2.0	1.0	Q819	85
Latvia	12.0	3.0	Q211	86
Lebanon	14.0	13.0	Q822	87
Lesotho	1.0	0.0	Q1013	88
Liberia	100.0	100.0	Q1014	89
Libya	18.0	42.0	Q1016	90
Lithuania	2.0	1.0	Q37	91
Luxembourg	65.0	59.0	Q32	92
Madagascar	0.0	1.0	Q1019	93
Malawi	1.0	24.0	Q1020	94
Malaysia	2.0	2.0	Q833	95
Mali	2.0	1.0	Q912	96
Malta	34.0	20.0	Q233	97
Mauritania	2.0	2.0	Q1025	98
Mauritius	3.0	5.0	Q1027	99
Mexico	13.0	11.0	Q96	100
Moldova	1.0	0.0	Q217	101
Mongolia	2.0	0.0	Q711	102
Montenegro	1.0	0.0	Q236	103
Morocco	1.0	1.0	Q1028	104
Mozambique	2.0	2.0	Q1029	105
Myanmar	0.0	0.0	Q836	106
Namibia	3.0	4.0	Q1030	107
Nepal	0.0	3.0	Q837	108
Netherlands	8.0	3.0	Q55	109
New Caledonia	2.0	1.0	Q33788	110
New Zealand	3.0	3.0	Q664	111
Nicaragua	1.0	1.0	Q811	112
Niger	5.0	2.0	Q1032	113
Nigeria	1.0	18.0	Q1033	114
North Macedonia	0.0	0.0	Q221	115
Norway	4.0	9.0	Q20	116
Oman	1.0	1.0	Q842	117
Pakistan	3.0	3.0	Q843	118
Palau	1.0	1.0	Q695	119
Panama	9.0	10.0	Q804	120
Papua New Guinea	3.0	33.0	Q691	121
Paraguay	5.0	3.0	Q733	122
Peru	7.0	11.0	Q419	123
Philippines	1.0	1.0	Q928	124
Poland	3.0	2.0	Q36	125
Portugal	2.0	2.0	Q45	126
Qatar	7.0	5.0	Q846	127
Romania	2.0	2.0	Q218	128
Russian Federation	3.0	2.0	Q159	129
Samoa	0.0	5.0	Q683	130
Sao Tome and Principe	3.0	0.0	Q1039	131
Saudi Arabia	12.0	3.0	Q851	132
Senegal	2.0	3.0	Q1041	133
Serbia	2.0	2.0	Q403	134
Sierra Leone	1.0	6.0	Q1044	135
Singapore	15.0	18.0	Q334	136
Sint Maarten (Dutch part)	0.0	0.0	Q26273	137
Slovak Republic	2.0	2.0	Q214	138
Slovenia	4.0	2.0	Q215	139
Solomon Islands	9.0	0.0	Q685	140
South Africa	7.0	7.0	Q258	141
Spain	4.0	3.0	Q29	142
Sri Lanka	3.0	4.0	Q854	143
St. Kitts and Nevis	2.0	6.0	Q763	144
St. Lucia	2.0	1.0	Q760	145
St. Vincent and the Grenadines	2.0	3.0	Q757	146
Sudan	7.0	0.0	Q1049	147
Suriname	1.0	3.0	Q730	148
Sweden	3.0	6.0	Q34	149
Switzerland	31.0	24.0	Q39	150
Tajikistan	0.0	0.0	Q863	151
Tanzania	2.0	1.0	Q924	152
Thailand	1.0	1.0	Q869	153
Timor-Leste	3.0	1.0	Q574	154
Togo	4.0	4.0	Q945	155
Tonga	2.0	0.0	Q678	156
Trinidad and Tobago	16.0	9.0	Q754	157
Tunisia	3.0	4.0	Q948	158
Turkey	3.0	4.0	Q43	159
Uganda	3.0	2.0	Q1036	160
Ukraine	3.0	1.0	Q212	161
United Kingdom	33.0	26.0	Q145	162
United States	16.0	16.0	Q30	163
Uruguay	5.0	3.0	Q77	164
Vanuatu	4.0	1.0	Q686	165
Venezuela, RB	1.0	1.0	Q717	166
West Bank and Gaza	1.0	0.0	Q407199	167
Zambia	1.0	9.0	Q953	168
