Country	Female	Male	ID	id_row
Luxembourg	49.47	50.53	Q32	105
Latvia	53.96	46.04	Q211	106
Macao SAR, China	51.95	48.05	Q14773	107
Morocco	50.39	49.61	Q1028	108
Moldova	52.07	47.93	Q217	109
Madagascar	50.12	49.88	Q1019	110
Maldives	36.7	63.3	Q826	111
Mexico	51.09	48.91	Q96	112
North Macedonia	49.97	50.03	Q221	113
Mali	49.92	50.08	Q912	114
Malta	49.87	50.13	Q233	115
Myanmar	51.81	48.19	Q836	116
Montenegro	50.56	49.44	Q236	117
Mongolia	50.7	49.3	Q711	118
Mozambique	51.44	48.56	Q1029	119
Mauritania	49.8	50.2	Q1025	120
Mauritius	50.62	49.38	Q1027	121
Malawi	50.69	49.31	Q1020	122
Malaysia	48.6	51.4	Q833	123
Namibia	51.54	48.46	Q1030	124
New Caledonia	49.7	50.3	Q33788	125
Niger	49.75	50.25	Q1032	126
Nigeria	49.33	50.67	Q1033	127
Nicaragua	50.71	49.29	Q811	128
Netherlands	50.2	49.8	Q55	129
Norway	49.49	50.51	Q20	130
Nepal	54.4	45.6	Q837	131
New Zealand	50.84	49.16	Q664	132
Oman	33.98	66.02	Q842	133
Pakistan	48.54	51.46	Q843	134
Panama	49.92	50.08	Q804	135
Peru	50.33	49.67	Q419	136
Philippines	49.76	50.24	Q928	137
Papua New Guinea	48.95	51.05	Q691	138
Poland	51.54	48.46	Q36	139
Puerto Rico	52.55	47.45	Q1183	140
Korea, Dem. People’s Rep.	51.09	48.91	Q423	141
Portugal	52.7	47.3	Q45	142
Paraguay	49.17	50.83	Q733	143
West Bank and Gaza	49.28	50.72	Q407199	144
French Polynesia	49.34	50.66	Q30971	145
Qatar	24.67	75.33	Q846	146
Romania	51.36	48.64	Q218	147
Russian Federation	53.66	46.34	Q159	148
Rwanda	50.85	49.15	Q1037	149
Saudi Arabia	42.27	57.73	Q851	150
Sudan	50.04	49.96	Q1049	151
Senegal	51.24	48.76	Q1041	152
Singapore	47.66	52.34	Q334	153
Solomon Islands	49.15	50.85	Q685	154
Sierra Leone	50.11	49.89	Q1044	155
El Salvador	53.15	46.85	Q792	156
Somalia	50.14	49.86	Q1045	157
Serbia	51.01	48.99	Q403	158
South Sudan	49.95	50.05	Q958	159
Sao Tome and Principe	49.96	50.04	Q1039	160
Suriname	49.73	50.27	Q730	161
Slovak Republic	51.32	48.68	Q214	162
Slovenia	50.22	49.78	Q215	163
Sweden	49.93	50.07	Q34	164
Eswatini	50.98	49.02	Q1050	165
Seychelles	48.67	51.33	Q1042	166
Syrian Arab Republic	49.89	50.11	Q858	167
Chad	50.08	49.92	Q657	168
Togo	50.25	49.75	Q945	169
Thailand	51.3	48.7	Q869	170
Tajikistan	49.6	50.4	Q863	171
Turkmenistan	50.76	49.24	Q874	172
Timor-Leste	49.46	50.54	Q574	173
Tonga	49.96	50.04	Q678	174
Trinidad and Tobago	50.61	49.39	Q754	175
Tunisia	50.42	49.58	Q948	176
Turkey	50.65	49.35	Q43	177
Tanzania	50.04	49.96	Q924	178
Uganda	50.74	49.26	Q1036	179
Ukraine	53.68	46.32	Q212	180
Uruguay	51.7	48.3	Q77	181
United States	50.52	49.48	Q30	182
Uzbekistan	50.12	49.88	Q265	183
St. Vincent and the Grenadines	49.28	50.72	Q757	184
Venezuela, RB	50.75	49.25	Q717	185
Virgin Islands (U.S.)	52.47	47.53	Q11703	186
Vietnam	50.08	49.92	Q881	187
Vanuatu	49.3	50.7	Q686	188
Samoa	48.25	51.75	Q683	189
Yemen, Rep.	49.62	50.38	Q805	190
South Africa	50.72	49.28	Q258	191
Zambia	50.49	49.51	Q953	192
Zimbabwe	52.32	47.68	Q954	193
