Country	Investment201014	Investment201519	ID	id_row
Brazil	9664.6	2483.4	Q155	0
China	2027.5	8103.7	Q148	1
India	250.7	652.7	Q668	2
Indonesia	155.0	554.2	Q252	3
Mexico	2290.3	1961.9	Q96	4
Peru	1088.8	225.4	Q419	5
Philippines	178.3	539.8	Q928	6
Russian Federation	100.0	1200.0	Q159	7
