Country	Imports2007	Imports2017	ID	id_row
American Samoa	2.0	7.8	Q16641	0
Cambodia	1.8	1.2	Q424	1
China	14.4	16.1	Q148	2
Fiji	2.8	3.4	Q712	3
Indonesia	9.5	10.0	Q252	4
Kiribati	0.7	0.7	Q710	5
Korea, Dem. Peopleâ€™s Rep.	42.0	5.2	Q423	6
Lao PDR	0.4	0.7	Q819	7
Malaysia	5.1	8.0	Q833	8
Marshall Islands	4.6	4.3	Q709	9
Micronesia, Fed. Sts.	0.5	0.5	Q702	10
Mongolia	40.9	33.0	Q711	11
Myanmar	6.3	8.8	Q836	12
Palau	12.3	16.1	Q695	13
Papua New Guinea	1.1	2.0	Q691	14
Philippines	3.1	4.2	Q928	15
Samoa	0.1	0.9	Q683	16
Solomon Islands	10.2	0.5	Q685	17
Thailand	6.9	6.5	Q869	18
Timor-Leste	1.3	3.8	Q574	19
Tonga	0.3	1.3	Q678	20
Tuvalu	0.1	5.2	Q672	21
Vanuatu	1.8	35.0	Q686	22
Vietnam	5.0	7.1	Q881	23
Albania	10.8	13.8	Q222	24
Armenia	15.0	23.4	Q399	25
Azerbaijan	11.4	19.4	Q227	26
Belarus	4.9	12.2	Q184	27
Bosnia and Herzegovina	7.4	11.1	Q225	28
Bulgaria	5.9	8.7	Q219	29
Georgia	8.4	14.0	Q230	30
Kazakhstan	13.2	20.8	Q232	31
Kosovo	21.7	14.3	Q1246	32
Kyrgyz Republic	16.8	35.1	Q813	33
Lithuania	27.2	24.4	Q37	34
North Macedonia	11.3	13.6	Q221	35
Moldova	8.0	13.9	Q217	36
Montenegro	7.3	13.2	Q236	37
Romania	7.0	7.9	Q218	38
Russian Federation	19.6	32.0	Q159	39
Serbia	11.2	15.3	Q403	40
Tajikistan	18.6	19.0	Q863	41
Turkey	22.2	27.1	Q43	42
Turkmenistan	15.4	12.7	Q874	43
Ukraine	10.0	18.1	Q212	44
Uzbekistan	27.4	29.4	Q265	45
Antigua and Barbuda	25.6	14.8	Q781	46
Argentina	17.2	26.4	Q414	47
Belize	7.5	14.2	Q242	48
Bolivia	10.4	26.2	Q750	49
Brazil	28.4	31.3	Q155	50
Chile	50.0	53.3	Q298	51
Colombia	15.2	26.4	Q739	52
Costa Rica	8.8	17.7	Q800	53
Cuba	27.4	32.4	Q241	54
Dominica	4.0	3.4	Q784	55
Dominican Republic	5.0	17.9	Q786	56
Ecuador	13.4	20.3	Q736	57
El Salvador	7.3	11.5	Q792	58
Grenada	3.8	12.4	Q769	59
Guatemala	8.5	14.5	Q774	60
Guyana	12.0	12.7	Q734	61
Haiti	14.9	24.7	Q790	62
Honduras	5.3	11.6	Q783	63
Jamaica	6.2	10.6	Q766	64
Mexico	15.3	25.4	Q96	65
Nicaragua	11.1	18.1	Q811	66
Panama	30.5	33.4	Q804	67
Paraguay	30.8	35.5	Q733	68
Peru	21.0	30.4	Q419	69
St. Kitts and Nevis	9.6	11.7	Q763	70
St. Lucia	3.6	4.2	Q760	71
St. Vincent and the Grenadines	5.4	8.7	Q757	72
Suriname	9.5	11.0	Q730	73
Uruguay	74.6	66.7	Q77	74
Venezuela, RB	8.9	18.1	Q717	75
Algeria	26.3	45.1	Q262	76
Djibouti	20.3	26.0	Q977	77
Egypt, Arab Rep.	26.4	30.2	Q79	78
Iran, Islamic Rep.	24.1	44.1	Q794	79
Iraq	35.0	69.4	Q796	80
Jordan	25.6	33.8	Q810	81
Lebanon	27.4	32.3	Q822	82
Libya	24.2	40.1	Q1016	83
Morocco	23.1	26.0	Q1028	84
Syrian Arab Republic	34.1	24.4	Q858	85
Tunisia	18.2	27.9	Q948	86
West Bank and Gaza	10.0	21.5	Q407199	87
Yemen, Rep.	33.3	53.7	Q805	88
Afghanistan	45.0	63.1	Q889	89
Bangladesh	28.8	41.8	Q902	90
Bhutan	11.9	2.2	Q917	91
India	36.8	47.0	Q668	92
Maldives	19.3	30.2	Q826	93
Nepal	18.4	21.0	Q837	94
Pakistan	29.5	44.4	Q843	95
Sri Lanka	18.0	33.2	Q854	96
Angola	39.9	32.5	Q916	97
Benin	25.3	54.1	Q962	98
Botswana	3.0	5.3	Q963	99
Burkina Faso	25.4	29.7	Q965	100
Burundi	9.9	34.6	Q967	101
Cabo Verde	11.5	13.8	Q1011	102
Cameroon	28.3	40.1	Q1009	103
Central African Republic	13.3	16.7	Q929	104
Chad	18.0	31.5	Q657	105
Comoros	12.2	30.7	Q970	106
Congo, Dem. Rep.	31.7	31.7	Q974	107
Congo, Rep.	5.0	13.9	Q971	108
Cote d'Ivoire	23.3	32.7	Q1008	109
Eritrea	32.7	31.5	Q986	110
Ethiopia	40.2	45.5	Q115	111
Gabon	13.5	28.3	Q1000	112
Gambia, The	19.5	29.3	Q1005	113
Ghana	28.5	37.7	Q117	114
Guinea	22.7	35.2	Q1006	115
Guinea-Bissau	13.0	26.2	Q1007	116
Kenya	29.2	50.2	Q114	117
