Country	Migrants	ID	id_row
Korea, Rep.	59.0	Q884	95
Kuwait	198.0	Q817	96
Kyrgyz Republic	-20.0	Q813	97
Lao PDR	-7400.0	Q819	98
Latvia	-74.0	Q211	99
Lebanon	-150.0	Q822	100
Lesotho	-50.0	Q1013	101
Liberia	-2500.0	Q1014	102
Libya	-1000.0	Q1016	103
Lithuania	-16400.0	Q37	104
Luxembourg	49.0	Q32	105
North Macedonia	-5.0	Q221	106
Madagascar	-8.0	Q1019	107
Malawi	-80.0	Q1020	108
Malaysia	250.0	Q833	109
Maldives	57.0	Q826	110
Mali	-20000.0	Q912	111
Malta	500.0	Q233	112
Mauritania	2500.0	Q1025	113
Mauritius	0.0	Q1027	114
Mexico	-30000.0	Q96	115
Micronesia, Fed. Sts.	-3.0	Q702	116
Moldova	-700.0	Q217	117
Mongolia	-4.0	Q711	118
Montenegro	-2.0	Q236	119
Morocco	-257.0	Q1028	120
Mozambique	-25.0	Q1029	121
Myanmar	-817.0	Q836	122
Namibia	-2400.0	Q1030	123
Nepal	20900.0	Q837	124
Netherlands	8000.0	Q55	125
New Caledonia	300.0	Q33788	126
New Zealand	7400.0	Q664	127
Nicaragua	-106.0	Q811	128
Niger	20.0	Q1032	129
Nigeria	-30000.0	Q1033	130
Norway	14000.0	Q20	131
Oman	437.0	Q842	132
Pakistan	-1.167	Q843	133
Panama	56.0	Q804	134
Papua New Guinea	-4.0	Q691	135
Paraguay	-8300.0	Q733	136
Peru	495.0	Q419	137
Philippines	-33600.0	Q928	138
Poland	-14700.0	Q36	139
Portugal	-3000.0	Q45	140
Puerto Rico	-49000.0	Q1183	141
Qatar	20000.0	Q846	142
Romania	-37000.0	Q218	143
Russian Federation	912.0	Q159	144
Rwanda	-45.0	Q1037	145
Samoa	-1400.0	Q683	146
Sao Tome and Principe	-800.0	Q1039	147
Saudi Arabia	675.0	Q851	148
Senegal	-100.0	Q1041	149
Serbia	2000.0	Q403	150
Seychelles	-1.0	Q1042	151
Sierra Leone	-2100.0	Q1044	152
Singapore	13500.0	Q334	153
Slovak Republic	700.0	Q214	154
Slovenia	10.0	Q215	155
Solomon Islands	-800.0	Q685	156
Somalia	-20000.0	Q1045	157
South Africa	72700.0	Q258	158
South Sudan	-87100.0	Q958	159
Spain	20000.0	Q29	160
Sri Lanka	-49000.0	Q854	161
St. Lucia	0.0	Q760	162
St. Vincent and the Grenadines	-1.0	Q757	163
Sudan	-25000.0	Q1049	164
Suriname	-5.0	Q730	165
Sweden	20000.0	Q34	166
Switzerland	26000.0	Q39	167
Syrian Arab Republic	-2137.0	Q858	168
Tajikistan	-100.0	Q863	169
Tanzania	-200.0	Q924	170
Thailand	9700.0	Q869	171
Timor-Leste	-27.0	Q574	172
