Country	Total1990	Total2014	PerCapita1990	PerCapita2014	Fossilfuel1990	Fossilfuel2014	Combustiblerenewableandwaste1990	Combustiblerenewableandwaste2014	Alternativeandnuclearenergy1990	Alternativeandnuclearenergy2014	ID	id_row
Canada	211.3	279.9	7630.0	7898.0	73.6	73.2	4.8	4.1	19.7	19.7	Q16	20
Chile	14.0	36.1	1055.0	2033.0	72.2	73.3	20.1	12.3	4.6	5.6	Q298	21
China	870.7	3051.5	767.0	2237.0	75.7	87.7	23.0	2020.9	0.9	2020.1	Q148	22
Colombia	24.2	34.0	732.0	724.0	67.4	76.7	22.2	8.9	7.2	9.2	Q739	23
Congo, Dem. Rep.	11.8	28.7	341.0	389.0	11.2	5.4	80.9	67.2	1.5	2.4	Q974	24
Congo, Rep.	0.8	2.6	334.0	555.0	34.3	40.5	46.4	45.7	3.8	1.4	Q971	25
Costa Rica	1.7	4.9	538.0	1023.0	58.5	49.9	23.0	12.8	16.5	14.2	Q800	26
Cote d'Ivoire	4.3	13.9	364.0	613.0	23.7	26.5	45.8	38.5	2.4	0.8	Q1008	27
Croatia	9.5	8.0	1981.0	1898.0	81.1	70.7	9.1	13.6	5.5	11.9	Q224	28
Cuba	17.4	11.7	1643.0	1035.0	61.7	85.6	33.4	11.4	0.0	0.1	Q241	29
Cyprus	1.4	2.0	1781.0	1712.0	99.6	92.9	0.3	1.3	0.0	5.2	Q229	30
Czech Republic	49.6	41.2	4797.0	3915.0	91.6	75.3	2.1	6.6	6.8	20.8	Q213	31
Denmark	17.4	16.2	3377.0	2873.0	89.6	67.7	4.0	13.7	1.3	9.9	Q35	32
Dominican Republic	4.0	7.6	563.0	752.0	76.5	86.6	15.1	10.0	0.6	2.3	Q786	33
Ecuador	6.3	14.2	619.0	889.0	78.2	86.9	15.0	4.1	5.1	6.2	Q736	34
Egypt, Arab Rep.	32.3	74.8	575.0	827.0	94.1	97.9	3.3	2.3	2.3	1.5	Q79	35
El Salvador	2.5	4.1	468.0	646.0	31.4	48.4	47.9	9.5	5.9	6.3	Q792	36
Estonia	9.8	6.0	6233.0	4593.0	43.7	14.5	1.9	11.0	0.0	0.6	Q191	37
Ethiopia	22.9	48.4	479.0	493.0	3.6	6.6	77.2	74.4	0.3	1.2	Q115	38
Finland	28.4	33.9	5692.0	6213.0	55.5	42.2	14.4	23.5	21.2	23.2	Q33	39
France	224.0	242.6	3847.0	3659.0	58.2	46.2	4.3	4.6	38.3	49.6	Q142	40
Gabon	1.2	5.1	1244.0	2694.0	32.0	22.8	62.7	73.7	4.1	1.2	Q1000	41
Georgia	12.4	4.4	2585.0	1180.0	88.8	72.2	3.7	10.6	5.2	15.7	Q230	42
Germany	351.2	306.1	4421.0	3779.0	86.8	79.7	0.8	4.0	11.8	13.0	Q183	43
Ghana	5.3	9.0	358.0	332.0	18.2	52.5	57.4	26.9	7.3	5.9	Q117	44
Greece	21.4	23.1	2103.0	2124.0	94.6	86.0	4.2	4.9	0.9	5.4	Q41	45
Guatemala	4.4	13.2	487.0	864.0	27.9	37.4	65.1	44.6	3.0	2.6	Q774	46
Haiti	1.6	4.2	222.0	394.0	19.7	22.0	62.2	59.0	1.7	0.1	Q790	47
Honduras	2.4	5.4	480.0	598.0	30.0	52.5	62.4	39.4	6.4	3.3	Q783	48
Hungary	28.8	22.8	2774.0	2314.0	81.6	68.2	2.2	9.7	12.8	19.0	Q28	49
Iceland	2.3	5.9	8908.0	17916.0	28.6	10.9	0.0	0.0	32.1	35.4	Q189	50
India	305.7	824.7	350.0	637.0	53.8	73.6	42.6	21.4	2.0	2.7	Q668	51
Indonesia	98.6	225.5	544.0	884.0	53.4	66.1	42.6	24.8	0.5	0.8	Q252	52
Iran, Islamic Rep.	69.3	237.1	1230.0	3060.0	98.9	99.0	0.2	0.2	0.6	0.9	Q794	53
Iraq	20.0	49.5	1151.0	1438.0	98.8	96.0	0.1	0.1	1.1	0.3	Q796	54
Ireland	9.9	12.8	2820.0	2742.0	85.1	84.4	1.1	2.4	0.5	4.2	Q27	55
Israel	11.5	22.7	2460.0	2763.0	97.0	91.7	0.0	0.0	3.1	5.2	Q801	56
Italy	146.6	146.8	2584.0	2414.0	93.4	78.6	0.5	5.7	2.2	7.1	Q38	57
Jamaica	2.8	2.8	1151.0	977.0	82.6	81.0	5.1	11.1	0.2	0.6	Q766	58
Japan	438.7	441.7	3551.0	3471.0	84.6	94.4	0.8	1.1	13.9	2.2	Q17	59
Jordan	3.3	8.2	918.0	917.0	98.1	97.6	0.1	0.1	1.8	1.9	Q810	60
Kazakhstan	73.4	76.7	4493.0	4435.0	97.0	99.2	0.2	0.0	1.0	0.6	Q232	61
Kenya	10.7	23.6	452.0	506.0	17.8	17.4	51.3	44.5	2.0	2.2	Q114	62
Korea, Dem. Peopleâ€™s Rep.	33.2	11.9	1637.0	475.0	93.1	62.1	2.4	7.4	3.4	7.0	Q423	63
Korea, Rep.	92.9	268.4	2167.0	5289.0	83.8	82.4	0.5	0.9	15.4	15.6	Q884	64
Kuwait	9.1	33.9	4347.0	9179.0	99.9	93.7	0.1	0.0	0.0	0.0	Q817	65
Kyrgyz Republic	7.5	3.8	1705.0	650.0	93.5	75.5	0.1	0.1	7.2	22.7	Q813	66
Latvia	7.9	4.3	2949.0	2177.0	81.8	56.7	8.0	28.2	6.2	6.8	Q211	67
Lebanon	2.0	7.5	697.0	1197.0	92.5	97.6	4.6	1.5	2.0	0.5	Q822	68
Libya	11.2	17.9	2517.0	2809.0	98.9	99.1	1.1	0.8	0.0	0.0	Q1016	69
Lithuania	16.1	7.0	4344.0	2387.0	75.8	68.0	1.7	15.0	28.1	3.8	Q37	70
Luxembourg	3.4	3.8	8874.0	6861.0	89.2	83.3	0.0	3.6	1.4	2.5	Q32	71
North Macedonia	2.5	2.6	1241.0	1262.0	98.0	79.4	0.0	9.0	1.4	5.5	Q221	72
Malaysia	21.8	89.7	1211.0	3003.0	89.9	96.6	5.8	1.3	1.4	1.2	Q833	73
Malta	0.7	0.8	1962.0	1782.0	100.0	97.8	0.0	0.8	0.0	1.5	Q233	74
Mauritius	0.7	1.4	629.0	1111.0	55.5	84.5	36.4	5.1	1.0	0.8	Q1027	75
Mexico	123.7	188.0	1473.0	1562.0	87.4	90.3	6.9	3.8	2.4	3.4	Q96	76
Moldova	9.9	3.3	3332.0	1156.0	99.7	88.7	0.6	8.3	0.1	0.8	Q217	77
Mongolia	3.4	5.4	1560.0	1828.0	97.2	93.2	1.5	1.7	0.0	0.3	Q711	78
Morocco	7.6	19.0	307.0	555.0	85.5	88.5	12.7	7.2	1.2	1.6	Q1028	79
Mozambique	5.9	11.6	456.0	443.0	5.5	12.6	74.2	69.1	0.5	9.2	Q1029	80
Myanmar	10.7	19.3	258.0	369.0	14.6	44.3	78.6	52.1	0.7	3.1	Q836	81
Namibia	0.7	1.8	470.0	794.0	54.3	66.7	21.4	7.2	18.1	17.8	Q1030	82
Nepal	5.8	11.7	306.0	434.0	5.1	15.5	93.7	77.9	0.9	5.2	Q837	83
Netherlands	65.7	72.9	4395.0	4326.0	98.0	90.9	0.6	1.6	1.6	3.1	Q55	84
New Zealand	12.8	20.6	3854.0	4560.0	66.7	59.8	5.0	5.0	16.3	13.5	Q664	85
Nicaragua	2.0	3.7	484.0	596.0	29.3	40.7	46.9	29.4	2.5	3.3	Q811	86
Nigeria	66.4	134.7	698.0	764.0	20.5	18.9	77.6	74.3	0.3	0.3	Q1033	87
Norway	21.1	28.7	4967.0	5596.0	52.1	58.0	4.3	3.1	39.5	32.3	Q20	88
Oman	4.2	24.3	2328.0	6041.0	100.0	100.0	0.0	0.0	0.0	0.0	Q842	89
Pakistan	42.9	89.9	399.0	460.0	52.7	61.6	43.0	35.0	2.8	4.0	Q843	90
Panama	1.5	4.2	603.0	1080.0	58.4	80.7	26.1	7.0	9.8	8.9	Q804	91
Paraguay	3.1	5.2	728.0	783.0	21.3	33.7	69.0	40.4	5.5	16.3	Q733	92
Peru	9.7	23.8	441.0	790.0	63.3	79.6	26.5	11.2	7.9	7.2	Q419	93
Philippines	28.7	47.7	464.0	474.0	43.1	62.4	31.7	13.0	2.8	2.9	Q928	94
Poland	103.1	94.0	2706.0	2473.0	97.8	90.1	1.3	6.4	0.1	0.9	Q36	95
Portugal	16.8	21.2	1681.0	2035.0	80.4	72.8	14.2	10.6	4.0	10.7	Q45	96
Qatar	6.5	44.1	13703.0	17923.0	100.0	100.0	0.0	0.0	0.0	0.0	Q846	97
Romania	62.3	31.7	2683.0	1592.0	96.1	72.5	0.9	11.6	1.3	14.5	Q218	98
Russian Federation	879.2	710.9	5942.0	4943.0	93.4	92.1	2020.3	0.4	2020.8	2020.2	Q159	99
Saudi Arabia	58.0	213.5	3573.0	6906.0	100.0	99.9	0.0	0.0	0.0	0.0	Q851	100
Senegal	1.7	4.0	224.0	279.0	43.3	53.9	35.2	27.9	0.0	0.6	Q1041	101
Serbia	19.7	13.3	2599.0	1859.0	90.8	83.9	5.9	7.8	3.3	5.7	Q403	102
Singapore	11.5	28.0	3783.0	5122.0	99.4	90.6	0.0	0.0	0.1	0.2	Q334	103
Slovak Republic	21.3	15.9	4025.0	2943.0	81.6	63.9	0.8	4.1	15.4	28.3	Q214	104
Slovenia	5.7	6.7	2858.0	3236.0	71.3	59.7	4.7	8.4	24.4	31.9	Q215	105
South Africa	91.0	147.0	2472.0	2695.0	86.2	86.8	8.5	7.7	2.5	2.7	Q258	106
Spain	90.1	114.6	2317.0	2465.0	77.4	71.5	4.4	4.4	17.7	21.6	Q29	107
Sri Lanka	5.5	10.7	318.0	516.0	24.1	50.5	70.6	45.2	4.1	3.4	Q854	108
Sudan	10.6	15.0	412.0	381.0	17.4	31.7	40.4	38.0	0.6	4.4	Q1049	109
Sweden	47.2	48.2	5515.0	4966.0	37.3	29.8	10.6	18.5	48.8	47.5	Q34	110
Switzerland	24.4	25.1	3628.0	3060.0	58.5	48.7	2.8	3.4	35.0	42.4	Q39	111
Syrian Arab Republic	10.5	10.8	841.0	577.0	97.7	97.8	0.0	0.0	1.6	1.4	Q858	112
Tajikistan	5.3	2.8	1005.0	340.0	71.3	46.0	0.0	0.0	26.1	37.5	Q863	113
Tanzania	9.7	24.8	386.0	497.0	6.9	14.4	83.9	74.0	1.1	0.7	Q924	114
Thailand	41.9	134.8	742.0	1969.0	63.8	79.8	21.9	12.1	0.9	1.1	Q869	115
Togo	1.3	3.3	335.0	462.0	15.1	17.8	51.3	44.1	1.4	2.4	Q945	116
Trinidad and Tobago	6.0	19.6	4903.0	14364.0	98.9	99.9	0.3	0.1	0.0	0.0	Q754	117
Tunisia	4.9	10.5	600.0	950.0	87.0	88.9	10.6	8.3	0.1	0.8	Q948	118
Turkey	52.7	121.5	978.0	1574.0	81.8	89.5	13.7	2.7	3.7	5.0	Q43	119
Ukraine	252.0	105.7	4857.0	2334.0	91.8	75.3	0.1	1.3	8.1	22.5	Q212	120
United Arab Emirates	20.4	70.5	11170.0	7648.0	100.0	86.1	0.0	0.1	0.0	0.1	Q878	121
United Kingdom	205.9	179.4	3597.0	2777.0	90.7	82.7	0.1	2.5	8.6	11.6	Q145	122
United States	1915.1	2216.2	7672.0	6963.0	86.4	83.1	1.4	3.7	9.5	11.7	Q30	123
Uruguay	2.3	4.7	724.0	1386.0	58.7	46.3	23.7	33.7	13.6	14.8	Q77	124
Uzbekistan	46.4	42.9	2261.0	1419.0	99.2	97.7	0.0	0.0	0.9	1.9	Q265	125
Venezuela, RB	39.6	68.8	2016.0	2309.0	90.5	88.4	1.5	1.1	6.1	8.2	Q717	126
Vietnam	17.9	59.9	263.0	660.0	27.6	69.8	66.4	23.8	1.8	6.9	Q881	127
Yemen, Rep.	2.5	8.3	215.0	329.0	96.9	98.5	1.5	0.7	0.0	0.0	Q805	128
Zambia	5.4	9.6	678.0	645.0	15.5	10.6	55.9	61.5	9.3	9.7	Q953	129
Zimbabwe	9.3	11.3	891.0	845.0	44.8	29.1	50.7	62.6	3.9	3.3	Q954	130
