Country	Total1990	Total2014	PerCapita1990	PerCapita2014	Fossilfuel1990	Fossilfuel2014	Combustiblerenewableandwaste1990	Combustiblerenewableandwaste2014	Alternativeandnuclearenergy1990	Alternativeandnuclearenergy2014	ID	id_row
Albania	2.7	2.3	813.0	808.0	76.6	61.4	13.6	9.4	4.7	24.5	Q222	0
Algeria	22.2	51.7	861.0	1328.0	99.9	100.0	0.0	0.0	0.0	0.0	Q262	1
Angola	5.9	14.7	497.0	545.0	25.5	48.3	54.2	36.4	0.7	2.5	Q916	2
Argentina	46.1	86.6	1412.0	2030.0	88.7	87.7	2.8	3.2	6.8	5.5	Q414	3
Armenia	7.7	3.0	2179.0	1016.0	97.0	74.6	0.2	1.1	1.5	25.7	Q399	4
Australia	86.4	125.2	5062.0	5335.0	93.9	93.4	3.6	3.3	1.3	2.4	Q408	5
Austria	24.9	32.2	3240.0	3763.0	79.1	64.8	8.8	13.8	9.6	13.2	Q40	6
Azerbaijan	22.7	14.3	3165.0	1502.0	99.9	98.4	0.1	0.6	0.4	0.6	Q227	7
Bahrain	5.2	14.2	10555.0	10597.0	99.8	99.4	0.0	0.0	0.0	0.0	Q398	8
Bangladesh	12.7	35.4	123.0	229.0	45.5	73.8	53.1	25.6	0.4	0.2	Q902	9
Belarus	45.5	27.7	4465.0	2929.0	95.6	92.4	0.4	4.0	0.0	0.1	Q184	10
Belgium	47.9	52.8	4810.0	4708.0	75.8	72.7	0.7	3.5	23.3	18.6	Q31	11
Benin	1.7	4.3	334.0	417.0	4.8	36.7	81.0	41.3	0.0	0.0	Q962	12
Bolivia	2.6	8.3	380.0	778.0	67.2	84.2	27.7	11.1	3.0	2.0	Q750	13
Bosnia and Herzegovina	7.0	7.8	1572.0	2247.0	93.9	77.5	2.3	17.8	2.6	4.3	Q225	14
Botswana	1.2	2.7	947.0	1301.0	64.8	74.7	34.5	20.0	0.0	0.0	Q963	15
Brazil	140.2	303.2	941.0	1496.0	51.2	59.1	24.2	20.4	12.4	10.8	Q155	16
Brunei Darussalam	1.7	3.6	6675.0	8673.0	99.9	100.0	0.1	0.0	0.0	0.0	Q921	17
Bulgaria	28.2	17.9	3237.0	2478.0	84.1	71.0	0.6	6.0	14.0	25.8	Q219	18
Cameroon	5.0	7.6	423.0	335.0	18.7	38.3	73.2	61.9	4.0	4.6	Q1009	19
