Country	GCF2010	GCF2019	ID	id_row
Ukraine	21.0	13.0	Q212	157
United Arab Emirates	27.0	24.0	Q878	158
United Kingdom	16.0	17.0	Q145	159
United States	19.0	21.0	Q30	160
Uruguay	19.0	16.0	Q77	161
Uzbekistan	26.0	40.0	Q265	162
Vietnam	36.0	27.0	Q881	163
West Bank and Gaza	22.0	24.0	Q407199	164
Zambia	30.0	39.0	Q953	165
Zimbabwe	19.0	9.0	Q954	166
