Country	Volume	ID	id_row
Afghanistan	11.0	Q889	0
Albania	0.9	Q222	1
Algeria	10.1	Q262	2
American Samoa	-1.0	Q16641	3
Angola	3.7	Q916	4
Antigua and Barbuda	-7.2	Q781	5
Argentina	4.8	Q414	6
Armenia	1.4	Q399	7
Aruba	-16.7	Q21203	8
Australia	2.9	Q408	9
Austria	0.5	Q40	10
Azerbaijan	4.6	Q227	11
Bahamas, The	-2.5	Q778	12
Bahrain	-2.3	Q398	13
Bangladesh	8.3	Q902	14
Barbados	-2.5	Q244	15
Belarus	2.1	Q184	16
Belgium	0.5	Q31	17
Belize	2.7	Q242	18
Benin	4.0	Q962	19
Bermuda	-3.7	Q23635	20
Bhutan	8.2	Q917	21
Bolivia	6.2	Q750	22
Bosnia and Herzegovina	-0.7	Q225	23
Botswana	6.4	Q963	24
Brazil	3.9	Q155	25
Brunei Darussalam	4.1	Q921	26
Bulgaria	2.3	Q219	27
Burkina Faso	8.8	Q965	28
Burundi	7.5	Q967	29
Cabo Verde	-1.3	Q1011	30
Cambodia	8.4	Q424	31
Cameroon	3.7	Q1009	32
Canada	2.0	Q16	33
Cayman Islands	-4.1	Q5785	34
Central African Republic	1.0	Q929	35
Chad	6.8	Q657	36
Chile	5.8	Q298	37
China	7.0	Q148	38
Hong Kong SAR, China	3.4	Q8646	39
Macao SAR, China	7.9	Q14773	40
Colombia	7.1	Q739	41
Comoros	4.6	Q970	42
Congo, Dem. Rep.	5.7	Q974	43
Congo, Rep.	10.1	Q971	44
Costa Rica	2.6	Q800	45
Cote d'Ivoire	4.3	Q1008	46
Croatia	-1.2	Q224	47
Cuba	-1.4	Q241	48
Cyprus	-1.1	Q229	49
Czech Republic	3.1	Q213	50
Denmark	-0.6	Q35	51
Djibouti	6.4	Q977	52
Dominica	-0.6	Q784	53
Dominican Republic	-1.5	Q786	54
Ecuador	4.1	Q736	55
Egypt, Arab Rep.	5.7	Q79	56
El Salvador	4.6	Q792	57
Equatorial Guinea	2.2	Q983	58
Eritrea	6.3	Q986	59
Estonia	1.7	Q191	60
Ethiopia	11.4	Q115	61
Faroe Islands	0.4	Q4628	62
Fiji	2.2	Q712	63
Finland	-1.3	Q33	64
France	-0.7	Q142	65
French Polynesia	-3.0	Q30971	66
Gabon	4.1	Q1000	67
Gambia, The	1.2	Q1005	68
Georgia	5.9	Q230	69
Germany	1.2	Q183	70
Ghana	6.3	Q117	71
Greece	-3.7	Q41	72
Greenland	-1.1	Q223	73
Grenada	-0.5	Q769	74
Guam	-4.1	Q16635	75
Guatemala	5.6	Q774	76
Guinea	10.5	Q1006	77
Guinea-Bissau	0.5	Q1007	78
Guyana	3.8	Q734	79
Haiti	14.0	Q790	80
Honduras	5.3	Q783	81
Hungary	2.2	Q28	82
Iceland	-0.6	Q189	83
India	9.1	Q668	84
Indonesia	5.1	Q252	85
Iran, Islamic Rep.	-1.5	Q794	86
Iraq	9.0	Q796	87
Ireland	0.1	Q27	88
