Pakistan	85.6	137.3	Q843	136
Panama	95.1	136.8	Q804	137
Papua New Guinea	84.0	119.4	Q691	138
Paraguay	91.2	129.5	Q733	139
Peru	82.8	159.0	Q419	140
Philippines	84.2	126.9	Q928	141
Poland	93.4	109.9	Q36	142
Portugal	101.5	104.3	Q45	143
Puerto Rico	113.4	104.7	Q1183	144
Qatar	110.0	198.8	Q846	145
Romania	91.8	84.7	Q218	146
Russian Federation	96.7	123.5	Q159	147
Rwanda	72.0	137.1	Q1037	148
Samoa	96.6	111.6	Q683	149
Sao Tome and Principe	88.9	116.5	Q1039	150
Saudi Arabia	88.5	140.3	Q851	151
Senegal	91.5	125.2	Q1041	152
Seychelles	175.2	103.4	Q1042	153
Sierra Leone	75.3	214.5	Q1044	154
Singapore	71.8	111.9	Q334	155
Slovak Republic	103.2	76.9	Q214	156
Slovenia	92.2	89.6	Q215	157
Solomon Islands	90.4	106.3	Q685	158
Somalia	91.4	110.2	Q1045	159
South Africa	87.9	131.1	Q258	160
Spain	95.4	95.4	Q29	161
Sri Lanka	88.5	112.8	Q854	162
St. Kitts and Nevis	128.7	84.5	Q763	163
St. Lucia	77.2	127.1	Q760	164
St. Vincent and the Grenadines	103.2	99.0	Q757	165
Suriname	89.6	125.1	Q730	166
Sweden	103.0	92.6	Q34	167
Switzerland	97.4	106.0	Q39	168
Syrian Arab Republic	74.9	82.4	Q858	169
Tajikistan	64.1	128.0	Q863	170
Tanzania	89.1	132.8	Q924	171
Thailand	94.8	131.3	Q869	172
Timor-Leste	87.4	113.8	Q574	173
Togo	81.6	143.1	Q945	174
Tonga	100.6	106.7	Q678	175
Trinidad and Tobago	75.1	120.6	Q754	176
Tunisia	100.3	131.2	Q948	177
Turkey	92.0	163.7	Q43	178
Turkmenistan	77.0	117.6	Q874	179
Tuvalu	95.7	105.7	Q672	180
Uganda	67.0	131.6	Q1036	181
Ukraine	93.5	97.5	Q212	182
United Arab Emirates	79.7	149.9	Q878	183
United Kingdom	102.1	106.6	Q145	184
United States	97.5	109.7	Q30	185
Uruguay	89.0	100.8	Q77	186
Uzbekistan	82.9	134.0	Q265	187
Vanuatu	109.8	111.3	Q686	188
Venezuela, RB	97.0	129.8	Q717	189
Vietnam	68.0	151.4	Q881	190
Virgin Islands (U.S.)	91.9	107.2	Q11703	191
West Bank and Gaza	90.7	88.8	Q407199	192
Yemen, Rep.	81.3	157.9	Q805	193
Zambia	91.7	200.6	Q953	194
Zimbabwe	96.9	106.3	Q954	195
