Country	Populationgrowth	ID	id_row
Afghanistan	3.2	Q889	0
Albania	-0.4	Q222	1
Algeria	1.7	Q262	2
American Samoa	-0.2	Q16641	3
Andorra	0.9	Q228	4
Angola	3.5	Q916	5
Antigua and Barbuda	1.3	Q781	6
Argentina	1.0	Q414	7
Armenia	-0.2	Q399	8
Aruba	0.8	Q21203	9
Australia	1.5	Q408	10
Austria	0.5	Q40	11
Azerbaijan	1.2	Q227	12
Bahamas, The	1.4	Q778	13
Bahrain	4.8	Q398	14
Bangladesh	1.3	Q902	15
Barbados	0.3	Q244	16
Belarus	-0.3	Q184	17
Belgium	0.6	Q31	18
Belize	2.4	Q242	19
Benin	2.9	Q962	20
Bermuda	0.2	Q23635	21
Bhutan	1.3	Q917	22
Bolivia	1.6	Q750	23
Bosnia and Herzegovina	-0.7	Q225	24
Botswana	1.8	Q963	25
Brazil	1.0	Q155	26
Brunei Darussalam	1.4	Q921	27
Bulgaria	-0.8	Q219	28
Burkina Faso	2.9	Q965	29
Burundi	3.1	Q967	30
Cabo Verde	1.3	Q1011	31
Cambodia	1.6	Q424	32
Cameroon	2.7	Q1009	33
Canada	1.1	Q16	34
Cayman Islands	2.3	Q5785	35
Central African Republic	1.4	Q929	36
Chad	3.4	Q657	37
Channel Islands	0.8	Q42314	38
Chile	1.1	Q298	39
China	0.5	Q148	40
Hong Kong SAR, China	0.6	Q8646	41
Macao SAR, China	2.1	Q14773	42
Colombia	1.3	Q739	43
Comoros	2.4	Q970	44
Congo, Dem. Rep.	3.2	Q974	45
Congo, Rep.	2.9	Q971	46
Costa Rica	1.3	Q800	47
Cote d'Ivoire	2.4	Q1008	48
Croatia	-0.5	Q224	49
Cuba	0.1	Q241	50
Curacao	0.9	Q25279	51
Cyprus	1.3	Q229	52
Czech Republic	0.2	Q213	53
Denmark	0.5	Q35	54
Djibouti	1.6	Q977	55
Dominica	0.2	Q784	56
Dominican Republic	1.2	Q786	57
Ecuador	1.7	Q736	58
Egypt, Arab Rep.	2.0	Q79	59
El Salvador	0.5	Q792	60
Equatorial Guinea	4.2	Q983	61
Estonia	-0.3	Q191	62
Eswatini	0.7	Q1050	63
Ethiopia	2.8	Q115	64
Faroe Islands	0.2	Q4628	65
Fiji	0.5	Q712	66
Finland	0.3	Q33	67
France	0.5	Q142	68
French Polynesia	0.8	Q30971	69
Gabon	3.0	Q1000	70
Gambia, The	3.0	Q1005	71
Georgia	-0.5	Q230	72
Germany	0.1	Q183	73
Ghana	2.4	Q117	74
Greece	0.0	Q41	75
Greenland	0.0	Q223	76
Grenada	0.4	Q769	77
Guam	0.4	Q16635	78
Guatemala	1.9	Q774	79
Guinea	2.3	Q1006	80
Guinea-Bissau	2.5	Q1007	81
Guyana	0.2	Q734	82
Haiti	1.5	Q790	83
Honduras	2.1	Q783	84
Hungary	-0.2	Q28	85
Iceland	1.3	Q189	86
India	1.4	Q668	87
Indonesia	1.3	Q252	88
Iran, Islamic Rep.	1.2	Q794	89
Iraq	2.7	Q796	90
Ireland	1.4	Q27	91
Isle of Man	0.5	Q9676	92
Israel	1.9	Q801	93
Italy	0.3	Q38	94
Jamaica	0.6	Q766	95
Japan	0.0	Q17	96
Jordan	3.6	Q810	97
Kazakhstan	1.1	Q232	98
Kenya	2.6	Q114	99
Kiribati	1.7	Q710	100
Korea, Dem. Peopleâ€™s Rep.	0.6	Q423	101
Korea, Rep.	0.5	Q884	102
Kosovo	0.3	Q1246	103
Kuwait	3.8	Q817	104
Kyrgyz Republic	1.5	Q813	105
Lao PDR	1.6	Q819	106
Latvia	-1.1	Q211	107
Lebanon	3.0	Q822	108
Lesotho	0.2	Q1013	109
Liberia	2.9	Q1014	110
Libya	1.2	Q1016	111
Liechtenstein	0.7	Q347	112
Lithuania	-1.2	Q37	113
Luxembourg	1.8	Q32	114
Madagascar	2.8	Q1019	115
Malawi	2.7	Q1020	116
Malaysia	1.7	Q833	117
Maldives	3.4	Q826	118
Mali	3.1	Q912	119
Malta	1.3	Q233	120
Marshall Islands	0.8	Q709	121
Mauritania	2.9	Q1025	122
Mauritius	0.3	Q1027	123
Mexico	1.3	Q96	124
Micronesia, Fed. Sts.	0.3	Q702	125
Moldova	-0.5	Q217	126
Monaco	1.0	Q235	127
Mongolia	1.6	Q711	128
Montenegro	0.1	Q236	129
Morocco	1.2	Q1028	130
Mozambique	2.8	Q1029	131
Myanmar	0.8	Q836	132
Namibia	1.7	Q1030	133
Nepal	0.9	Q837	134
Netherlands	0.4	Q55	135
New Caledonia	1.6	Q33788	136
New Zealand	1.3	Q664	137
Nicaragua	1.3	Q811	138
Niger	3.8	Q1032	139
Nigeria	2.6	Q1033	140
North Macedonia	0.1	Q221	141
Northern Mariana Islands	0.0	Q16644	142
Norway	0.9	Q20	143
Oman	4.1	Q842	144
Pakistan	2.2	Q843	145
Palau	-0.3	Q695	146
Panama	1.8	Q804	147
Papua New Guinea	2.1	Q691	148
Paraguay	1.5	Q733	149
Peru	1.1	Q419	150
Philippines	1.7	Q928	151
Poland	0.0	Q36	152
Portugal	0.0	Q45	153
Puerto Rico	-0.9	Q1183	154
Qatar	8.2	Q846	155
Romania	-0.8	Q218	156
Russian Federation	-0.1	Q159	157
Rwanda	2.4	Q1037	158
Samoa	0.6	Q683	159
San Marino	1.1	Q238	160
Sao Tome and Principe	2.2	Q1039	161
Saudi Arabia	2.7	Q851	162
Senegal	2.7	Q1041	163
Serbia	-0.4	Q403	164
Seychelles	1.0	Q1042	165
Sierra Leone	2.8	Q1044	166
Singapore	1.8	Q334	167
Sint Maarten (Dutch part)	1.5	Q26273	168
Slovak Republic	0.1	Q214	169
Slovenia	0.3	Q215	170
Solomon Islands	2.5	Q685	171
Somalia	2.9	Q1045	172
South Africa	1.4	Q258	173
South Sudan	3.0	Q958	174
Spain	0.8	Q29	175
Sri Lanka	0.8	Q854	176
St. Kitts and Nevis	1.0	Q763	177
St. Lucia	0.8	Q760	178
St. Martin (French part)	1.4	Q126125	179
St. Vincent and the Grenadines	0.1	Q757	180
Sudan	2.4	Q1049	181
Suriname	1.1	Q730	182
Sweden	0.8	Q34	183
Switzerland	0.9	Q39	184
Syrian Arab Republic	0.2	Q858	185
Tajikistan	2.1	Q863	186
Tanzania	2.9	Q924	187
Thailand	0.5	Q869	188
Timor-Leste	2.0	Q574	189
Togo	2.6	Q945	190
Tonga	0.3	Q678	191
Trinidad and Tobago	0.5	Q754	192
Tunisia	1.0	Q948	193
Turkey	1.5	Q43	194
Turkmenistan	1.4	Q874	195
Turks and Caicos Islands	3.4	Q18221	196
Tuvalu	1.1	Q672	197
Uganda	3.3	Q1036	198
Ukraine	-0.5	Q212	199
United Arab Emirates	6.0	Q878	200
United Kingdom	0.7	Q145	201
United States	0.8	Q30	202
Uruguay	0.2	Q77	203
Uzbekistan	1.6	Q265	204
Vanuatu	2.5	Q686	205
Venezuela, RB	0.9	Q717	206
Vietnam	1.0	Q881	207
Virgin Islands (U.S.)	-0.1	Q11703	208
West Bank and Gaza	2.5	Q407199	209
Yemen, Rep.	2.7	Q805	210
Zambia	2.8	Q953	211
Zimbabwe	1.1	Q954	212
