Country	Totalpoints	ID	id_row
Afghanistan	1052.0	Q889	0
Albania	1351.0	Q222	1
Algeria	1482.0	Q262	2
American Samoa	900.0	Q16641	3
Andorra	1076.0	Q228	4
Angola	1136.0	Q916	5
Anguilla	821.0	Q25228	6
Antigua and Barbuda	1127.0	Q781	7
Argentina	1623.0	Q414	8
Armenia	1215.0	Q399	9
Aruba	867.0	Q21203	10
Australia	1457.0	Q408	11
Austria	1505.0	Q40	12
Azerbaijan	1179.0	Q227	13
Bahamas	880.0	Q778	14
Bahrain	1225.0	Q398	15
Bangladesh	914.0	Q902	16
Barbados	1009.0	Q244	17
Belarus	1282.0	Q184	18
Belgium	1773.0	Q31	19
Belize	974.0	Q242	20
Benin	1295.0	Q962	21
Bermuda	983.0	Q23635	22
Bhutan	911.0	Q917	23
Bolivia	1324.0	Q750	24
Bosnia and Herzegovina	1426.0	Q225	25
Botswana	1055.0	Q963	26
Brazil	1712.0	Q155	27
British Virgin Islands	842.0	Q25305	28
Brunei Darussalam	904.0	Q921	29
Bulgaria	1378.0	Q219	30
Burkina Faso	1381.0	Q965	31
Burundi	1052.0	Q967	32
Cabo Verde	1318.0	Q1011	33
Cambodia	964.0	Q424	34
Cameroon	1413.0	Q1009	35
Canada	1332.0	Q16	36
Cayman Islands	897.0	Q5785	37
Central African Republic	1184.0	Q929	38
Chad	943.0	Q657	39
Chile	1579.0	Q298	40
China PR	1323.0	Q148	41
Chinese Taipei	1078.0	Q1867	42
Colombia	1622.0	Q739	43
Comoros	1088.0	Q970	44
Congo	1269.0	Q971	45
Congo DR	1389.0	Q974	46
Costa Rica	1439.0	Q800	47
Croatia	1628.0	Q224	48
Cuba	936.0	Q241	49
Curaçao	1313.0	Q25279	50
Cyprus	1236.0	Q229	51
Czech Republic	1446.0	Q213	52
Côte d'Ivoire	1378.0	Q1008	53
Denmark	1593.0	Q35	54
Djibouti	919.0	Q977	55
Dominica	919.0	Q784	56
Dominican Republic	1019.0	Q786	57
Ecuador	1368.0	Q736	58
Egypt	1420.0	Q79	59
El Salvador	1346.0	Q792	60
England	1664.0	Q21	61
Equatorial Guinea	1066.0	Q983	62
Eritrea	856.0	Q986	63
Estonia	1188.0	Q191	64
Eswatini	1042.0	Q1050	65
Ethiopia	1061.0	Q115	66
Faroe Islands	1191.0	Q4628	67
Fiji	996.0	Q712	68
Finland	1390.0	Q33	69
France	1744.0	Q142	70
