Country	Externalhealthexpenditure	ID	id_row
Afghanistan	19.4	Q889	0
Algeria	0.0	Q262	1
Andorra	0.0	Q228	2
Angola	3.1	Q916	3
Antigua and Barbuda	0.0	Q781	4
Argentina	0.5	Q414	5
Armenia	1.3	Q399	6
Australia	0.0	Q408	7
Austria	0.0	Q40	8
Azerbaijan	0.4	Q227	9
Bahamas, The	0.6	Q778	10
Bahrain	0.0	Q398	11
Bangladesh	6.8	Q902	12
Barbados	2.0	Q244	13
Belarus	0.4	Q184	14
Belgium	0.0	Q31	15
Belize	1.6	Q242	16
Benin	19.3	Q962	17
Bhutan	11.2	Q917	18
Bolivia	2.3	Q750	19
Bosnia and Herzegovina	0.0	Q225	20
Botswana	9.6	Q963	21
Brazil	0.1	Q155	22
Brunei Darussalam	0.0	Q921	23
Bulgaria	0.0	Q219	24
Burkina Faso	18.0	Q965	25
Burundi	31.0	Q967	26
Cabo Verde	8.3	Q1011	27
Cambodia	15.1	Q424	28
Cameroon	7.7	Q1009	29
Canada	0.0	Q16	30
Central African Republic	55.2	Q929	31
Chad	21.1	Q657	32
Chile	0.0	Q298	33
China	0.0	Q148	34
Colombia	0.0	Q739	35
Comoros	11.1	Q970	36
Congo, Dem. Rep.	42.5	Q974	37
Congo, Rep.	7.5	Q971	38
Costa Rica	0.1	Q800	39
Cote d'Ivoire	13.1	Q1008	40
Croatia	0.0	Q224	41
Cuba	0.1	Q241	42
Cyprus	0.4	Q229	43
Czech Republic	0.0	Q213	44
Denmark	0.0	Q35	45
Djibouti	25.8	Q977	46
Dominica	3.2	Q784	47
Dominican Republic	0.7	Q786	48
Ecuador	0.5	Q736	49
Egypt, Arab Rep.	0.3	Q79	50
El Salvador	0.1	Q792	51
Equatorial Guinea	2.0	Q983	52
Eritrea	13.6	Q986	53
Estonia	0.0	Q191	54
Eswatini	23.7	Q1050	55
Ethiopia	22.1	Q115	56
Fiji	2.3	Q712	57
Finland	0.0	Q33	58
France	0.0	Q142	59
Gabon	0.6	Q1000	60
Gambia, The	42.0	Q1005	61
Georgia	2.4	Q230	62
Germany	0.0	Q183	63
Ghana	14.5	Q117	64
Greece	0.2	Q41	65
Grenada	0.9	Q769	66
Guatemala	1.1	Q774	67
Guinea	13.9	Q1006	68
Guinea-Bissau	16.0	Q1007	69
Guyana	4.9	Q734	70
Haiti	43.1	Q790	71
Honduras	5.4	Q783	72
Hungary	0.0	Q28	73
Iceland	0.0	Q189	74
India	0.8	Q668	75
Indonesia	0.5	Q252	76
Iran, Islamic Rep.	0.0	Q794	77
Iraq	0.1	Q796	78
Ireland	0.0	Q27	79
Israel	1.8	Q801	80
Italy	0.0	Q38	81
Jamaica	2.0	Q766	82
Japan	0.0	Q17	83
Jordan	9.3	Q810	84
Kazakhstan	0.1	Q232	85
Kenya	17.9	Q114	86
Kiribati	21.1	Q710	87
Korea, Rep.	0.0	Q884	88
Kuwait	0.0	Q817	89
Kyrgyz Republic	5.6	Q813	90
Lao PDR	16.7	Q819	91
Latvia	0.2	Q211	92
Lebanon	1.0	Q822	93
Lesotho	20.4	Q1013	94
Liberia	28.8	Q1014	95
Lithuania	0.2	Q37	96
Luxembourg	1.4	Q32	97
Madagascar	23.0	Q1019	98
Malawi	52.4	Q1020	99
Malaysia	0.0	Q833	100
Maldives	0.1	Q826	101
Mali	28.0	Q912	102
Malta	0.0	Q233	103
Marshall Islands	45.6	Q709	104
Mauritania	7.0	Q1025	105
Mauritius	0.8	Q1027	106
Mexico	0.0	Q96	107
Micronesia, Fed. Sts.	71.5	Q702	108
Moldova	4.7	Q217	109
Monaco	0.0	Q235	110
Mongolia	2.8	Q711	111
Morocco	0.2	Q1028	112
Mozambique	61.2	Q1029	113
Myanmar	9.0	Q836	114
Namibia	4.0	Q1030	115
Nepal	15.3	Q837	116
