Country	Manufactoring	ID	id_row
Albania	46.0	Q222	0
Argentina	37.0	Q414	1
Australia	51.0	Q408	2
Austria	54.0	Q40	3
Azerbaijan	37.0	Q227	4
Bahamas, The	17.0	Q778	5
Bahrain	72.0	Q398	6
Bangladesh	21.0	Q902	7
Belgium	44.0	Q31	8
Bermuda	73.0	Q23635	9
Bolivia	54.0	Q750	10
Botswana	75.0	Q963	11
Brazil	45.0	Q155	12
Bulgaria	41.0	Q219	13
Cambodia	7.0	Q424	14
Cameroon	43.0	Q1009	15
Canada	45.0	Q16	16
China	48.0	Q148	17
Hong Kong SAR, China	58.0	Q8646	18
Macao SAR, China	18.0	Q14773	19
Colombia	39.0	Q739	20
Congo, Dem. Rep.	14.0	Q974	21
Congo, Rep.	14.0	Q971	22
Costa Rica	33.0	Q800	23
Croatia	60.0	Q224	24
Cyprus	46.0	Q229	25
Czech Republic	51.0	Q213	26
Denmark	48.0	Q35	27
Ecuador	64.0	Q736	28
Egypt, Arab Rep.	35.0	Q79	29
El Salvador	25.0	Q792	30
Eritrea	21.0	Q986	31
Estonia	53.0	Q191	32
Ethiopia	22.0	Q115	33
Fiji	19.0	Q712	34
Finland	54.0	Q33	35
France	45.0	Q142	36
Georgia	43.0	Q230	37
Germany	47.0	Q183	38
Ghana	95.0	Q117	39
Greece	41.0	Q41	40
Hungary	43.0	Q28	41
Iceland	49.0	Q189	42
India	38.0	Q668	43
Indonesia	35.0	Q252	44
Iran, Islamic Rep.	45.0	Q794	45
Ireland	29.0	Q27	46
Israel	41.0	Q801	47
Italy	48.0	Q38	48
Japan	41.0	Q17	49
Jordan	43.0	Q810	50
Kenya	55.0	Q114	51
Korea, Rep.	33.0	Q884	52
Kuwait	82.0	Q817	53
Kyrgyz Republic	60.0	Q813	54
Lao PDR	28.0	Q819	55
Latvia	51.0	Q211	56
Lebanon	55.0	Q822	57
Lithuania	40.0	Q37	58
Luxembourg	68.0	Q32	59
Madagascar	62.0	Q1019	60
Malawi	15.0	Q1020	61
Malaysia	42.0	Q833	62
Malta	36.0	Q233	63
Mauritius	26.0	Q1027	64
Mexico	31.0	Q96	65
Moldova	21.0	Q217	66
Mongolia	9.0	Q711	67
Morocco	32.0	Q1028	68
Nepal	24.0	Q837	69
Netherlands	46.0	Q55	70
New Zealand	54.0	Q664	71
Niger	34.0	Q1032	72
North Macedonia	38.0	Q221	73
Norway	47.0	Q20	74
Oman	76.0	Q842	75
Pakistan	25.0	Q843	76
Panama	32.0	Q804	77
Papua New Guinea	35.0	Q691	78
Paraguay	18.0	Q733	79
Peru	37.0	Q419	80
Philippines	32.0	Q928	81
Poland	66.0	Q36	82
Portugal	48.0	Q45	83
Puerto Rico	20.0	Q1183	84
Qatar	67.0	Q846	85
Romania	38.0	Q218	86
Russian Federation	50.0	Q159	87
Rwanda	17.0	Q1037	88
Saudi Arabia	44.0	Q851	89
Senegal	38.0	Q1041	90
Serbia	41.0	Q403	91
Singapore	25.0	Q334	92
Slovak Republic	59.0	Q214	93
Slovenia	54.0	Q215	94
South Africa	59.0	Q258	95
Spain	51.0	Q29	96
Sri Lanka	22.0	Q854	97
Sudan	21.0	Q1049	98
Sweden	48.0	Q34	99
Switzerland	54.0	Q39	100
Syrian Arab Republic	54.0	Q858	101
Tanzania	46.0	Q924	102
Thailand	38.0	Q869	103
Trinidad and Tobago	51.0	Q754	104
Tunisia	33.0	Q948	105
Turkey	42.0	Q43	106
Uganda	21.0	Q1036	107
United Kingdom	47.0	Q145	108
United States	42.0	Q30	109
Uruguay	41.0	Q77	110
Venezuela, RB	41.0	Q717	111
Vietnam	31.0	Q881	112
West Bank and Gaza	41.0	Q407199	113
Yemen, Rep.	48.0	Q805	114
