Country	Bothsexes	Male	Female	ID	id_row
Afghanistan	30.6	30.4	30.7	Q889	0
Albania	29.0	33.0	25.0	Q222	1
Algeria	25.1	25.4	24.6	Q262	2
Andorra	18.7	23.2	14.2	Q228	3
Angola	29.7	29.6	29.6	Q916	4
Antigua and Barbuda	23.4	26.4	20.4	Q781	5
Argentina	22.6	27.6	17.6	Q414	6
Armenia	25.5	27.8	22.9	Q399	7
Australia	15.2	18.0	12.3	Q408	8
Austria	21.0	25.2	16.8	Q40	9
Azerbaijan	24.5	25.8	23.0	Q227	10
Bahamas	20.9	25.2	16.8	Q778	11
Bahrain	21.4	22.5	19.1	Q398	12
Bangladesh	24.7	24.5	24.9	Q902	13
Barbados	24.4	27.0	21.7	Q244	14
Belarus	27.1	33.0	21.6	Q184	15
Belgium	17.5	22.4	12.6	Q31	16
Belize	22.7	24.4	21.0	Q242	17
Benin	27.7	27.1	28.1	Q962	18
Bhutan	28.1	28.5	27.6	Q917	19
Bolivia (Plurinational State of)	17.9	19.7	16.1	Q750	20
Bosnia and Herzegovina	30.8	34.0	27.6	Q225	21
Botswana	29.6	29.3	29.5	Q963	22
Brazil	23.3	26.7	19.9	Q155	23
Brunei Darussalam	18.9	22.0	15.8	Q921	24
Bulgaria	28.4	33.6	23.0	Q219	25
Burkina Faso	32.6	31.3	33.2	Q965	26
Burundi	29.2	27.3	31.1	Q967	27
Cabo Verde	29.5	30.5	28.1	Q1011	28
Cambodia	26.1	26.3	25.5	Q424	29
Cameroon	24.8	24.9	24.6	Q1009	30
Canada	13.2	15.6	10.8	Q16	31
Central African Republic	31.2	31.4	30.8	Q929	32
Chad	32.9	31.6	33.8	Q657	33
Chile	20.9	25.4	16.5	Q298	34
China	19.2	21.5	16.8	Q148	35
Colombia	19.2	21.5	16.9	Q739	36
Comoros	27.9	27.4	28.2	Q970	37
Congo	26.2	27.5	24.9	Q971	38
Cook Islands	22.3	24.9	19.5	Q26988	39
Costa Rica	18.7	21.0	16.3	Q800	40
Côte d'Ivoire	27.2	27.8	26.8	Q1008	41
Croatia	32.4	38.4	26.3	Q224	42
Cuba	19.0	20.9	16.9	Q241	43
Cyprus	19.8	23.9	15.5	Q229	44
Czechia	27.9	34.4	21.2	Q213	45
Democratic People's Republic of Korea	18.2	19.1	16.9	Q423	46
Democratic Republic of the Congo	28.5	29.3	27.6	Q974	47
Denmark	20.6	26.5	14.8	Q35	48
Djibouti	26.8	28.0	25.5	Q977	49
Dominica	22.5	25.7	19.4	Q784	50
Dominican Republic	21.5	23.8	19.1	Q786	51
Ecuador	17.9	19.8	16.0	Q736	52
Egypt	25.0	24.8	25.0	Q79	53
El Salvador	18.7	20.4	17.2	Q792	54
Equatorial Guinea	28.4	29.2	27.7	Q983	55
Eritrea	29.1	28.2	29.5	Q986	56
Estonia	27.4	34.3	20.9	Q191	57
Eswatini	29.8	28.1	30.9	Q1050	58
Ethiopia	30.3	28.8	31.7	Q115	59
Fiji	21.7	22.4	20.7	Q712	60
Finland	19.4	24.0	14.7	Q33	61
France	22.0	27.7	16.4	Q142	62
Gabon	25.5	27.8	23.0	Q1000	63
Gambia	29.1	29.6	28.8	Q1005	64
Georgia	26.3	28.9	23.8	Q230	65
Germany	19.9	24.3	15.5	Q183	66
Ghana	23.7	24.6	22.8	Q117	67
Greece	19.1	22.8	15.4	Q41	68
Grenada	24.3	26.8	21.6	Q769	69
Guatemala	21.2	22.0	20.4	Q774	70
Guinea	30.3	29.0	31.4	Q1006	71
Guinea-Bissau	30.3	29.7	30.7	Q1007	72
Guyana	23.1	24.5	21.5	Q734	73
Haiti	24.5	25.2	23.7	Q790	74
Honduras	21.4	22.6	20.2	Q783	75
Hungary	30.0	36.1	24.0	Q28	76
Iceland	19.7	26.2	13.0	Q189	77
India	25.8	26.6	24.7	Q668	78
Indonesia	23.8	24.3	23.1	Q252	79
Iran (Islamic Republic of)	19.7	20.4	18.9	Q794	80
Iraq	25.2	25.6	24.4	Q796	81
Ireland	19.7	22.8	16.5	Q27	82
Israel	16.6	20.6	12.8	Q801	83
Italy	21.2	25.2	17.1	Q38	84
Jamaica	21.8	24.5	19.2	Q766	85
Japan	17.6	22.5	12.6	Q17	86
Jordan	21.0	23.1	18.8	Q810	87
Kazakhstan	27.1	30.4	23.9	Q232	88
Kenya	26.7	26.5	26.7	Q114	89
Kiribati	21.5	24.0	19.0	Q710	90
Kuwait	23.6	25.5	20.3	Q817	91
Kyrgyzstan	26.7	27.4	25.7	Q813	92
Lao People's Democratic Republic	24.8	24.5	24.9	Q819	93
Latvia	29.4	36.4	22.9	Q211	94
Lebanon	20.7	23.3	17.8	Q822	95
Lesotho	29.0	26.1	30.8	Q1013	96
Liberia	28.3	28.2	28.3	Q1014	97
Libya	23.7	25.2	22.2	Q1016	98
Lithuania	29.3	36.1	23.1	Q37	99
Luxembourg	21.9	27.8	15.9	Q32	100
Madagascar	28.1	27.8	28.2	Q1019	101
Malawi	28.9	27.8	29.6	Q1020	102
Malaysia	22.9	25.3	20.8	Q833	103
Maldives	24.4	26.9	21.9	Q826	104
Mali	32.6	31.2	33.6	Q912	105
Malta	19.4	24.3	14.3	Q233	106
Marshall Islands	21.3	23.8	18.6	Q709	107
Mauritania	31.7	31.8	31.4	Q1025	108
Mauritius	25.0	26.5	23.4	Q1027	109
Mexico	19.7	22.3	17.3	Q96	110
Micronesia (Federated States of)	25.0	26.6	23.2	Q702	111
Mongolia	29.0	32.3	25.6	Q711	112
Montenegro	29.1	34.4	23.8	Q236	113
Morocco	26.1	26.2	25.8	Q1028	114
Mozambique	29.1	28.1	29.7	Q1029	115
Myanmar	24.6	24.9	24.2	Q836	116
Namibia	28.5	28.2	28.4	Q1030	117
Nauru	20.5	23.8	17.2	Q697	118
Nepal	29.4	29.7	29.5	Q837	119
Netherlands	18.7	23.1	14.3	Q55	120
New Zealand	16.2	19.3	13.3	Q664	121
Nicaragua	20.8	21.6	19.9	Q811	122
Niger	33.4	31.3	35.8	Q1032	123
Nigeria	23.9	22.7	25.0	Q1033	124
Niue	24.2	26.1	22.1	Q34020	125
Norway	19.7	24.6	14.7	Q20	126
Oman	24.8	25.7	22.5	Q842	127
Pakistan	30.5	31.5	29.5	Q843	128
Palau	22.9	25.7	20.0	Q695	129
Panama	19.9	22.3	17.3	Q804	130
Papua New Guinea	25.6	25.1	25.8	Q691	131
Paraguay	24.6	27.8	21.3	Q733	132
Peru	13.7	16.1	11.2	Q419	133
Philippines	22.6	24.1	21.0	Q928	134
Poland	28.7	34.6	23.0	Q36	135
Portugal	24.4	29.3	19.6	Q45	136
Qatar	22.4	23.0	19.1	Q846	137
Republic of Korea	11.0	13.8	8.2	Q884	138
Republic of Moldova	29.8	33.6	26.2	Q217	139
North Macedonia	28.5	32.7	24.1	Q221	140
Romania	30.0	34.7	25.2	Q218	141
Russian Federation	27.2	32.6	22.3	Q159	142
Rwanda	26.7	25.2	27.9	Q1037	143
Saint Kitts and Nevis	25.3	27.9	22.7	Q763	144
Saint Lucia	27.1	29.9	24.4	Q760	145
Saint Vincent and the Grenadines	23.3	25.9	20.7	Q757	146
Samoa	24.0	26.6	21.0	Q683	147
Sao Tome and Principe	25.8	26.9	24.6	Q1039	148
Saudi Arabia	23.3	24.7	20.8	Q851	149
Senegal	30.2	29.7	30.4	Q1041	150
Serbia	29.5	33.8	25.2	Q403	151
Seychelles	23.5	26.4	20.2	Q1042	152
Sierra Leone	30.3	29.4	31.0	Q1044	153
Singapore	14.6	17.8	11.3	Q334	154
Slovakia	28.5	34.3	22.8	Q214	155
Slovenia	30.5	35.8	24.9	Q215	156
Solomon Islands	22.0	20.4	23.6	Q685	157
Somalia	32.9	33.5	32.2	Q1045	158
South Africa	26.9	27.4	26.1	Q258	159
Spain	19.2	23.5	14.7	Q29	160
Sri Lanka	22.4	23.0	21.6	Q854	161
Sudan (former)	30.2	30.6	29.6	Q1049	162
Suriname	22.4	24.6	19.9	Q730	163
Sweden	19.3	24.1	14.4	Q34	164
Switzerland	18.0	22.3	13.7	Q39	165
Syrian Arab Republic	24.5	25.1	23.8	Q858	166
Tajikistan	26.1	26.4	25.7	Q863	167
Thailand	22.3	24.2	20.3	Q869	168
Timor-Leste	27.6	26.9	28.1	Q574	169
Togo	28.9	28.3	29.2	Q945	170
Tonga	23.7	25.4	21.8	Q678	171
Trinidad and Tobago	25.8	27.6	23.9	Q754	172
Tunisia	23.2	23.8	22.5	Q948	173
Turkey	20.3	20.3	20.1	Q43	174
Turkmenistan	25.4	26.6	24.1	Q874	175
Tuvalu	23.7	26.1	21.2	Q672	176
Uganda	27.3	26.7	27.7	Q1036	177
Ukraine	27.1	32.3	22.3	Q212	178
United Arab Emirates	21.1	22.1	18.3	Q878	179
United Kingdom of Great Britain and Northern Ireland	15.2	17.9	12.4	Q145	180
United Republic of Tanzania	27.3	26.6	27.7	Q924	181
United States of America	12.9	15.3	10.5	Q30	182
Uruguay	20.7	24.7	16.8	Q77	183
Uzbekistan	25.6	26.5	24.4	Q265	184
Vanuatu	24.2	24.2	24.1	Q686	185
Venezuela (Bolivarian Republic of)	18.6	21.5	15.7	Q717	186
Viet Nam	23.4	25.0	21.6	Q881	187
Yemen	30.7	29.9	31.2	Q805	188
Zambia	27.1	27.6	26.5	Q953	189
Zimbabwe	28.2	26.9	29.2	Q954	190
