Country	Strengthoflegalrightsindex	Depthofcreditinformationindex	ID	id_row
Spain	5.0	7.0	Q29	156
Sri Lanka	2.0	6.0	Q854	157
St. Kitts and Nevis	5.0	0.0	Q763	158
St. Lucia	5.0	0.0	Q760	159
St. Vincent and the Grenadines	5.0	0.0	Q757	160
Sudan	3.0	0.0	Q1049	161
Suriname	2.0	0.0	Q730	162
Eswatini	4.0	7.0	Q1050	163
Sweden	7.0	5.0	Q34	164
Switzerland	6.0	7.0	Q39	165
Syrian Arab Republic	1.0	2.0	Q858	166
Tajikistan	11.0	7.0	Q863	167
Tanzania	5.0	8.0	Q924	168
Thailand	7.0	7.0	Q869	169
Timor-Leste	0.0	4.0	Q574	170
Togo	6.0	8.0	Q945	171
Tonga	10.0	4.0	Q678	172
Trinidad and Tobago	7.0	6.0	Q754	173
Tunisia	3.0	7.0	Q948	174
Turkey	7.0	8.0	Q43	175
Uganda	5.0	7.0	Q1036	176
Ukraine	8.0	7.0	Q212	177
United Arab Emirates	6.0	8.0	Q878	178
United Kingdom	7.0	8.0	Q145	179
United States	11.0	8.0	Q30	180
Uruguay	4.0	8.0	Q77	181
Uzbekistan	6.0	7.0	Q265	182
Vanuatu	11.0	4.0	Q686	183
Venezuela, RB	1.0	7.0	Q717	184
Vietnam	8.0	8.0	Q881	185
West Bank and Gaza	8.0	8.0	Q407199	186
Yemen, Rep.	0.0	0.0	Q805	187
Zambia	11.0	8.0	Q953	188
Zimbabwe	6.0	7.0	Q954	189
