Country	Coverage	ID	id_row
Afghanistan	10.0	Q889	0
Albania	85.0	Q222	1
Algeria	67.0	Q262	2
Angola	27.0	Q916	3
Argentina	58.0	Q414	4
Armenia	85.0	Q399	5
Australia	83.0	Q408	6
Azerbaijan	52.0	Q227	7
Belarus	63.0	Q184	8
Benin	65.0	Q962	9
Bolivia	60.0	Q750	10
Botswana	82.0	Q963	11
Brazil	60.0	Q155	12
Burkina Faso	67.0	Q965	13
Burundi	84.0	Q967	14
Cabo Verde	62.0	Q1011	15
Cambodia	84.0	Q424	16
Cameroon	62.0	Q1009	17
Central African Republic	46.0	Q929	18
Chad	58.0	Q657	19
Chile	68.0	Q298	20
Colombia	68.0	Q739	21
Comoros	82.0	Q970	22
Congo, Dem. Rep.	53.0	Q974	23
Congo, Rep.	25.0	Q971	24
Costa Rica	66.0	Q800	25
Cote d'Ivoire	63.0	Q1008	26
Cuba	76.0	Q241	27
Djibouti	43.0	Q977	28
Dominican Republic	48.0	Q786	29
Ecuador	65.0	Q736	30
Egypt, Arab Rep.	32.0	Q79	31
El Salvador	50.0	Q792	32
Equatorial Guinea	35.0	Q983	33
Eritrea	62.0	Q986	34
Eswatini	96.0	Q1050	35
Ethiopia	74.0	Q115	36
France	82.0	Q142	37
Gabon	51.0	Q1000	38
Gambia, The	29.0	Q1005	39
Ghana	45.0	Q117	40
Guatemala	58.0	Q774	41
Guinea	45.0	Q1006	42
Guinea-Bissau	41.0	Q1007	43
Guyana	69.0	Q734	44
Haiti	71.0	Q790	45
Honduras	48.0	Q783	46
Iran, Islamic Rep.	25.0	Q794	47
Italy	90.0	Q38	48
Jamaica	44.0	Q766	49
Kazakhstan	52.0	Q232	50
Kenya	74.0	Q114	51
Kyrgyz Republic	40.0	Q813	52
Lao PDR	56.0	Q819	53
Latvia	90.0	Q211	54
Lesotho	65.0	Q1013	55
Liberia	33.0	Q1014	56
Libya	34.0	Q1016	57
Lithuania	90.0	Q37	58
Madagascar	13.0	Q1019	59
Malawi	79.0	Q1020	60
Malaysia	50.0	Q833	61
Mali	36.0	Q912	62
Mauritania	57.0	Q1025	63
Mauritius	25.0	Q1027	64
Moldova	46.0	Q217	65
Montenegro	40.0	Q236	66
Morocco	70.0	Q1028	67
Mozambique	60.0	Q1029	68
Myanmar	76.0	Q836	69
Namibia	85.0	Q1030	70
Nepal	63.0	Q837	71
Netherlands	87.0	Q55	72
New Zealand	63.0	Q664	73
Nicaragua	59.0	Q811	74
Niger	61.0	Q1032	75
Nigeria	65.0	Q1033	76
Oman	70.0	Q842	77
Pakistan	12.0	Q843	78
Papua New Guinea	62.0	Q691	79
Paraguay	44.0	Q733	80
Peru	77.0	Q419	81
Philippines	44.0	Q928	82
Romania	68.0	Q218	83
Rwanda	87.0	Q1037	84
Senegal	70.0	Q1041	85
Serbia	68.0	Q403	86
Sierra Leone	43.0	Q1044	87
Somalia	33.0	Q1045	88
South Africa	70.0	Q258	89
South Sudan	18.0	Q958	90
Spain	85.0	Q29	91
Sudan	22.0	Q1049	92
Suriname	50.0	Q730	93
Syrian Arab Republic	22.0	Q858	94
Tajikistan	51.0	Q863	95
Tanzania	75.0	Q924	96
Thailand	80.0	Q869	97
Timor-Leste	80.0	Q574	98
Togo	64.0	Q945	99
Trinidad and Tobago	50.0	Q754	100
Tunisia	20.0	Q948	101
Uganda	84.0	Q1036	102
Ukraine	54.0	Q212	103
Uzbekistan	58.0	Q265	104
Venezuela, RB	40.0	Q717	105
Vietnam	70.0	Q881	106
Yemen, Rep.	24.0	Q805	107
Zambia	85.0	Q953	108
Zimbabwe	85.0	Q954	109
