Country	Receipts2012	Receipts2018	Receipts2012	Receipts2018	ID	id_row
Afghanistan	167.0	50.0	7.2	3.1	Q889	0
Albania	1623.0	2306.0	45.6	48.2	Q222	1
Angola	711.0	557.0	1.0	1.3	Q916	2
Antigua and Barbuda	319.0	971.0	58.9	84.3	Q781	3
Argentina	5665.0	5999.0	6.0	7.8	Q414	4
Armenia	853.0	1237.0	29.2	26.3	Q399	5
Aruba	412.0	2024.0	44.8	79.6	Q21203	6
Australia	34137.0	47327.0	10.9	14.5	Q408	7
Austria	18931.0	25411.0	8.7	10.0	Q40	8
Azerbaijan	2634.0	2830.0	7.2	11.1	Q227	9
Bahamas. The	2333.0	3383.0	63.5	77.2	Q778	10
Bahrain	752.0	3834.0	5.6	12.7	Q398	11
Bangladesh	105.0	357.0	0.4	0.8	Q902	12
Belarus	986.0	1221.0	1.9	2.9	Q184	13
Belgium	13704.0	10381.0	3.4	2.3	Q31	14
Belize	298.0	487.0	28.8	45.2	Q242	15
Bermuda	448.0	583.0	32.0	36.9	Q23635	16
Bhutan	93.0	121.0	12.8	15.5	Q917	17
Bolivia	631.0	970.0	5.1	9.4	Q750	18
Bosnia and Herzegovina	686.0	1081.0	12.3	12.7	Q225	19
Botswana	516.0	575.0	7.1	7.8	Q963	20
Brazil	6623.0	6324.0	2.4	2.3	Q155	21
Brunei Darussalam	92.0	190.0	0.7	2.7	Q921	22
Bulgaria	3975.0	5072.0	12.2	11.7	Q219	23
Burundi	2.0	4.0	0.7	1.4	Q967	24
Cabo Verde	452.0	524.0	58.6	54.1	Q1011	25
Cambodia	2663.0	4832.0	30.0	26.2	Q424	26
Cameroon	377.0	633.0	5.1	8.7	Q1009	27
Canada	17404.0	21978.0	3.1	4.0	Q16	28
Chile	3158.0	3972.0	3.5	4.6	Q298	29
China	50028.0	40386.0	2.3	1.5	Q148	30
Hong Kong SAR. China	37098.0	41870.0	6.5	6.1	Q8646	31
Macao SAR. China	36521.0	40358.0	93.2	88.5	Q14773	32
Colombia	4363.0	6617.0	6.4	12.2	Q739	33
Comoros	39.0	77.0	43.9	50.4	Q970	34
Congo. Dem. Rep.	7.0	61.0	0.1	0.4	Q974	35
Costa Rica	2773.0	3995.0	18.3	19.4	Q800	36
