Country	Capacity2004	Capacity2019	ID	id_row
Afghanistan	24.4	50.0	Q889	0
Albania	76.7	78.9	Q222	1
Algeria	54.4	52.2	Q262	2
Angola	41.1	48.9	Q916	3
Antigua and Barbuda	36.7	47.8	Q781	4
Argentina	92.2	80.0	Q414	5
Armenia	77.8	93.3	Q399	6
Azerbaijan	76.7	76.7	Q227	7
Bangladesh	70.0	62.2	Q902	8
Belarus	80.0	86.7	Q184	9
Belize	66.7	63.3	Q242	10
Benin	53.3	68.9	Q962	11
Bhutan	57.8	63.3	Q917	12
Bolivia	68.9	66.7	Q750	13
Bosnia and Herzegovina	50.0	64.4	Q225	14
Botswana	72.2	51.1	Q963	15
Brazil	83.3	84.4	Q155	16
Bulgaria	86.7	84.4	Q219	17
Burkina Faso	67.8	62.2	Q965	18
Burundi	43.3	67.8	Q967	19
Cambodia	64.4	60.0	Q424	20
Cameroon	51.1	56.7	Q1009	21
Cabo Verde	68.9	64.4	Q1011	22
Central African Republic	40.0	35.6	Q929	23
Chad	60.0	50.0	Q657	24
Chile	91.1	90.0	Q298	25
China	64.4	80.0	Q148	26
Colombia	86.7	81.1	Q739	27
Comoros	56.7	47.8	Q970	28
Congo, Dem. Rep.	32.2	41.1	Q974	29
Congo, Rep.	42.2	45.6	Q971	30
Costa Rica	82.2	91.1	Q800	31
Cote d'Ivoire	80.0	70.0	Q1008	32
Croatia	95.6	81.1	Q224	33
Djibouti	50.0	58.9	Q977	34
Dominica	60.0	50.0	Q784	35
Dominican Republic	71.1	70.0	Q786	36
Ecuador	82.2	66.7	Q736	37
Egypt, Arab Rep.	77.8	85.6	Q79	38
El Salvador	74.4	88.9	Q792	39
Equatorial Guinea	34.4	36.7	Q983	40
Eritrea	37.8	27.8	Q986	41
Ethiopia	66.7	61.1	Q115	42
Fiji	53.3	57.8	Q712	43
Gabon	44.4	43.3	Q1000	44
Gambia, The	63.3	71.1	Q1005	45
Georgia	76.7	87.8	Q230	46
Ghana	51.1	77.8	Q117	47
Grenada	52.2	57.8	Q769	48
Guatemala	80.0	67.8	Q774	49
Guinea	66.7	58.9	Q1006	50
Guinea-Bissau	37.8	57.8	Q1007	51
Guyana	55.6	50.0	Q734	52
Haiti	37.8	46.7	Q790	53
Honduras	62.2	56.7	Q783	54
Hungary	90.0	50.0	Q28	55
India	78.9	75.6	Q668	56
Indonesia	86.7	88.9	Q252	57
Iran, Islamic Rep.	64.4	78.9	Q794	58
Iraq	32.2	34.4	Q796	59
Jamaica	76.7	61.1	Q766	60
Jordan	68.9	82.2	Q810	61
Kazakhstan	86.7	86.7	Q232	62
Kenya	64.4	57.8	Q114	63
Kiribati	32.2	40.0	Q710	64
Kyrgyz Republic	87.8	96.7	Q813	65
Lao PDR	68.9	67.8	Q819	66
Lebanon	42.2	44.4	Q822	67
Lesotho	71.1	67.8	Q1013	68
Liberia	16.7	54.4	Q1014	69
Libya	28.9	27.8	Q1016	70
North Macedonia	76.7	75.6	Q221	71
Madagascar	63.3	55.6	Q1019	72
Malawi	67.8	73.3	Q1020	73
Malaysia	75.6	78.9	Q833	74
Maldives	71.1	64.4	Q826	75
Mali	55.6	67.8	Q912	76
Marshall Islands	32.2	32.2	Q709	77
Mauritania	55.6	54.4	Q1025	78
Mauritius	70.0	85.6	Q1027	79
Mexico	74.4	93.3	Q96	80
Micronesia, Fed. Sts.	30.0	41.1	Q702	81
Moldova	74.4	91.1	Q217	82
Mongolia	72.2	91.1	Q711	83
Montenegro	53.3	85.6	Q236	84
Morocco	80.0	66.7	Q1028	85
Mozambique	67.8	64.4	Q1029	86
Myanmar	60.0	74.4	Q836	87
Namibia	58.9	50.0	Q1030	88
Nepal	72.2	74.4	Q837	89
Nicaragua	78.9	51.1	Q811	90
Niger	64.4	67.8	Q1032	91
Nigeria	44.4	56.7	Q1033	92
Pakistan	73.3	71.1	Q843	93
Palau	36.7	48.9	Q695	94
Panama	75.6	73.3	Q804	95
Papua New Guinea	46.7	52.2	Q691	96
Paraguay	58.9	65.6	Q733	97
Peru	93.3	80.0	Q419	98
Philippines	81.1	81.1	Q928	99
Poland	83.3	82.2	Q36	100
Romania	88.9	78.9	Q218	101
Russian Federation	75.6	82.2	Q159	102
Rwanda	61.1	65.6	Q1037	103
Samoa	55.6	60.0	Q683	104
Sao Tome and Principe	51.1	63.3	Q1039	105
Senegal	78.9	80.0	Q1041	106
Serbia	53.3	88.9	Q403	107
Seychelles	61.1	72.2	Q1042	108
Sierra Leone	30.0	55.6	Q1044	109
Slovak Republic	88.9	50.0	Q214	110
Solomon Islands	31.1	48.9	Q685	111
Somalia	22.2	26.7	Q1045	112
South Africa	86.7	75.6	Q258	113
Sri Lanka	75.6	81.1	Q854	114
St. Kitts and Nevis	54.4	44.4	Q763	115
St. Lucia	60.0	58.9	Q760	116
St. Vincent and the Grenadines	60.0	60.0	Q757	117
Sudan	35.6	71.1	Q1049	118
Suriname	50.0	71.1	Q730	119
Eswatini	65.6	66.7	Q1050	120
Syrian Arab Republic	57.8	26.7	Q858	121
Tajikistan	72.2	73.3	Q863	122
Tanzania	67.8	62.2	Q924	123
Thailand	82.2	80.0	Q869	124
Timor-Leste	32.2	67.8	Q574	125
Togo	52.2	74.4	Q945	126
Tonga	53.3	56.7	Q678	127
Trinidad and Tobago	63.3	47.8	Q754	128
Tunisia	72.2	71.1	Q948	129
Turkey	82.2	81.1	Q43	130
Turkmenistan	48.9	34.4	Q874	131
Uganda	60.0	67.8	Q1036	132
Ukraine	83.3	72.2	Q212	133
Uruguay	82.2	77.8	Q77	134
Uzbekistan	57.8	64.4	Q265	135
Vanuatu	44.4	48.9	Q686	136
Venezuela, RB	80.0	57.8	Q717	137
Vietnam	71.1	78.9	Q881	138
Yemen, Rep.	56.7	38.9	Q805	139
Zambia	65.6	55.6	Q953	140
Zimbabwe	57.8	56.7	Q954	141
