Country	Overallmean	Femalemean	Malemean	ID	id_row
Benin	23.4	24.3	22.6	Q962	149
Nigeria	23.4	24.0	22.8	Q1033	150
Republic of the Congo	23.3	24.1	22.5	Q971	151
Djibouti	23.3	23.9	22.7	Q977	152
Togo	23.2	24.0	22.4	Q945	153
Philippines	23.2	23.4	22.9	Q928	154
Guinea-Bissau	23.1	23.9	22.2	Q1007	155
Tanzania	23.1	24.0	22.2	Q924	156
Senegal	23.0	24.1	21.8	Q1041	157
Kenya	23.0	24.0	21.9	Q114	158
Sri Lanka	23.0	23.5	22.5	Q854	159
Indonesia	22.9	23.4	22.4	Q252	160
Sierra Leone	22.8	23.6	22.0	Q1044	161
Malawi	22.8	23.3	22.3	Q1020	162
Mali	22.8	23.0	22.6	Q912	163
Guinea	22.7	23.3	22.1	Q1006	164
Zambia	22.6	23.8	21.5	Q953	165
Myanmar	22.6	23.2	22.1	Q836	166
Laos	22.6	22.7	22.4	Q819	167
Japan	22.6	21.7	23.6	Q17	168
Central African Republic	22.4	23.2	21.6	Q929	169
Mozambique	22.3	23.0	21.6	Q1029	170
Chad	22.3	22.5	22.1	Q657	171
Democratic Republic of the Congo	22.2	22.5	21.8	Q974	172
Nepal	22.2	22.0	22.4	Q837	173
Burkina Faso	22.1	22.0	22.1	Q965	174
Uganda	22.0	23.0	21.0	Q1036	175
Rwanda	22.0	22.7	21.3	Q1037	176
Somalia	21.9	22.5	21.2	Q1045	177
India	21.9	22.1	21.8	Q668	178
Cambodia	21.9	22.0	21.9	Q424	179
North Korea	21.8	21.8	21.9	Q423	180
Niger	21.7	22.2	21.3	Q1032	181
Vietnam	21.6	21.6	21.5	Q881	182
Afghanistan	21.6	21.8	21.5	Q889	183
East Timor	21.2	21.0	21.5	Q574	184
Madagascar	21.1	21.2	20.9	Q1019	185
Bangladesh	21.0	21.2	20.7	Q902	186
Burundi	20.9	21.3	20.4	Q967	187
Ethiopia	20.6	21.0	20.2	Q115	188
Eritrea	20.5	21.0	20.1	Q986	189
