Country	Overallmean	Femalemean	Malemean	ID	id_row
Nauru	32.5	32.8	32.1	Q697	0
Tonga	31.9	33.5	30.4	Q678	1
Samoa	31.7	33.5	29.9	Q683	2
Kuwait	30.0	30.8	29.5	Q817	3
Saint Kitts and Nevis	29.7	30.9	28.4	Q763	4
Saint Lucia	29.6	30.2	28.9	Q760	5
Kiribati	29.6	30.5	28.7	Q710	6
Palau	29.4	29.5	29.4	Q695	7
Federated States of Micronesia	29.4	31.0	27.8	Q702	8
Tuvalu	29.3	29.9	28.7	Q672	9
Qatar	29.2	30.1	29.0	Q846	10
Marshall Islands	29.2	30.0	28.4	Q709	11
Egypt	29.2	30.7	27.6	Q79	12
United Arab Emirates	29.0	29.7	28.6	Q878	13
Jordan	28.9	29.7	28.2	Q810	14
Belize	28.9	30.2	27.6	Q242	15
Bahamas	28.8	29.6	28.0	Q778	16
Trinidad and Tobago	28.7	29.4	27.9	Q754	17
Barbados	28.7	30.0	27.4	Q244	18
United States	28.5	28.5	28.5	Q30	19
Saudi Arabia	28.5	28.7	28.03	Q851	20
Libya	28.4	29.6	27.02	Q1016	21
Bahrain	28.2	28.6	28.0	Q398	22
Mexico	28.1	28.7	27.5	Q96	23
Antigua and Barbuda	28.1	29.5	27.3	Q781	24
Syria	28.1	29.0	27.2	Q858	25
Iraq	28.0	28.8	27.02	Q796	26
New Zealand	27.9	27.8	28.0	Q664	27
Lebanon	27.8	27.6	28.0	Q822	28
Chile	27.8	28.0	27.6	Q298	29
Turkey	27.8	28.5	27.1	Q43	30
Argentina	27.7	27.5	27.8	Q414	31
Ireland	27.5	27.1	27.9	Q27	32
Andorra	27.5	27.1	27.8	Q228	33
Kazakhstan	27.4	27.5	27.4	Q232	34
El Salvador	27.4	28.0	26.8	Q792	35
Azerbaijan	27.4	28.1	26.6	Q227	36
Suriname	27.4	28.2	26.5	Q730	37
Jamaica	27.4	29.2	25.5	Q766	38
United Kingdom	27.3	27.1	27.5	Q145	39
Greece	27.3	27.2	27.4	Q41	40
Saint Vincent and the Grenadines	27.3	28.1	26.5	Q757	41
South Africa	27.3	29.1	25.4	Q258	42
Australia	27.2	26.8	27.6	Q408	43
Canada	27.2	26.8	27.6	Q16	44
Malta	27.2	26.8	27.5	Q233	45
Venezuela	27.2	27.1	27.4	Q717	46
Georgia	27.2	27.3	27.02	Q230	47
Fiji	27.2	28.4	26.01	Q712	48
Panama	27.1	27.7	26.4	Q804	49
Cyprus	27.0	26.3	27.6	Q229	50
Ecuador	27.0	27.7	26.4	Q736	51
Grenada	27.0	28.7	25.2	Q769	52
Dominica	27.0	29.0	25.1	Q784	53
Czech Republic	26.9	26.0	27.8	Q213	54
Slovenia	26.9	26.3	27.5	Q215	55
Oman	26.9	27.1	26.8	Q842	56
Costa Rica	26.9	27.1	26.7	Q800	57
Nicaragua	26.9	27.8	26.0	Q811	58
Uruguay	26.8	26.9	26.7	Q77	59
Tunisia	26.8	27.5	26.0	Q948	60
Seychelles	26.8	28.0	25.6	Q1042	61
Spain	26.7	26.0	27.4	Q29	62
Moldova	26.7	27.1	26.3	Q217	63
Dominican Republic	26.7	27.4	26.0	Q786	64
Armenia	26.7	27.4	25.9	Q399	65
Lithuania	26.6	26.0	27.3	Q37	66
Belarus	26.6	26.2	27.1	Q184	67
Swaziland	26.5	28.9	24.1	Q1050	68
Luxembourg	26.5	25.5	27.6	Q32	69
Slovakia	26.5	25.7	27.4	Q214	70
Russia	26.5	26.8	26.1	Q159	71
Guatemala	26.5	27.1	25.8	Q774	72
Poland	26.4	25.7	27.0	Q36	73
Turkmenistan	26.4	26.4	26.4	Q874	74
Honduras	26.4	27.3	25.05	Q783	75
Guyana	26.3	27.6	25.0	Q734	76
Hungary	26.3	25.2	27.5	Q28	77
Germany	26.3	25.6	27.0	Q183	78
Israel	26.3	26.2	26.3	Q801	79
Peru	26.3	26.9	25.7	Q419	80
Iran	26.2	27.2	25.3	Q794	81
Portugal	26.2	25.7	26.7	Q45	82
Brunei	26.2	26.6	25.8	Q921	83
Cuba	26.2	26.7	25.6	Q241	84
Kyrgyzstan	26.2	26.8	25.6	Q813	85
Vanuatu	26.2	26.8	25.6	Q686	86
Algeria	26.2	27.0	25.5	Q262	87
Albania	26.1	25.6	26.6	Q222	88
Bosnia and Herzegovina	26.1	25.7	26.5	Q225	89
Uzbekistan	26.1	26.3	25.9	Q265	90
Mongolia	26.0	26.4	25.5	Q711	91
Norway	26.0	25.2	26.9	Q20	92
Italy	26.0	25.2	26.8	Q38	93
Bulgaria	26.0	25.3	26.07	Q219	94
Montenegro	26.0	25.5	26.5	Q236	95
Ukraine	26.0	25.8	26.4	Q212	96
Bolivia	25.9	27.3	24.6	Q750	97
Colombia	25.9	26.5	25.4	Q739	98
Brazil	25.9	26.0	25.9	Q155	99
Iceland	25.9	25.1	26.7	Q189	100
Finland	25.9	25.3	26.5	Q33	101
Yemen	25.8	26.5	25.2	Q805	102
Paraguay	25.8	26.0	25.6	Q733	103
Latvia	25.8	25.1	26.8	Q211	104
Sweden	25.8	24.9	26.7	Q34	105
Serbia	25.8	25.2	26.4	Q403	106
Macedonia	25.8	25.3	26.04	Q221	107
Mauritius	25.6	26.2	25.0	Q1027	108
Equatorial Guinea	25.6	26.1	25.0	Q983	109
Morocco	25.6	25.9	25.02	Q1028	110
Gabon	25.5	26.4	24.6	Q1000	111
Solomon Islands	25.5	26.4	24.5	Q685	112
Belgium	25.5	24.7	26.2	Q31	113
Estonia	25.5	24.3	27.0	Q191	114
Croatia	25.5	24.6	26.5	Q224	115
Tajikistan	25.4	25.3	25.5	Q863	116
Netherlands	25.4	25.0	25.9	Q55	117
Austria	25.4	24.4	26.5	Q40	118
Papua New Guinea	25.3	25.6	25.0	Q691	119
Malaysia	25.3	25.6	25.0	Q833	120
Romania	25.3	24.9	25.7	Q218	121
Denmark	25.3	24.5	26.0	Q35	122
France	25.3	24.6	26.1	Q142	123
Switzerland	25.3	23.8	26.7	Q39	124
South Sudan	25.2	26.7	23.7	Q958	125
Sudan	25.2	26.7	23.7	Q1049	126
Maldives	25.1	25.9	24.2	Q826	127
Lesotho	24.9	27.1	22.7	Q1013	128
Mauritania	24.8	26.4	23.2	Q1025	129
Sao Tome and Principe	24.8	25.6	23.9	Q1039	130
Botswana	24.7	26.6	22.9	Q963	131
Cabo Verde	24.7	25.4	23.9	Q1011	132
Cameroon	24.4	25.1	23.8	Q1009	133
Namibia	24.3	25.6	22.9	Q1030	134
Ghana	24.2	25.1	23.4	Q117	135
Comoros	24.1	25.1	23.0	Q970	136
Thailand	24.1	24.6	23.6	Q869	137
Angola	24.1	24.6	23.5	Q916	138
Haiti	24.1	24.0	24.2	Q790	139
Gambia	24.0	25.1	23.0	Q1005	140
Liberia	24.0	24.9	23.2	Q1014	141
China	23.9	23.6	24.2	Q148	142
South Korea	23.9	23.4	24.3	Q884	143
Pakistan	23.8	24.4	23.3	Q843	144
Bhutan	23.8	24.2	23.4	Q917	145
Singapore	23.7	23.2	24.3	Q334	146
Côte d'Ivoire	23.6	24.1	23.2	Q1008	147
Zimbabwe	23.4	25.0	21.8	Q954	148
