Country	Netbarter	ID	id_row
Afghanistan	163.5	Q889	0
Albania	93.4	Q222	1
Algeria	155.4	Q262	2
American Samoa	173.2	Q16641	3
Angola	109.7	Q916	4
Antigua and Barbuda	62.9	Q781	5
Argentina	155.2	Q414	6
Armenia	123.4	Q399	7
Aruba	93.7	Q21203	8
Australia	148.0	Q408	9
Austria	88.6	Q40	10
Azerbaijan	99.9	Q227	11
Bahamas, The	78.3	Q778	12
Bahrain	116.9	Q398	13
Bangladesh	69.0	Q902	14
Barbados	124.1	Q244	15
Belarus	93.0	Q184	16
Belgium	96.7	Q31	17
Belize	103.7	Q242	18
Benin	125.0	Q962	19
Bermuda	106.0	Q23635	20
Bhutan	112.7	Q917	21
Bolivia	92.2	Q750	22
Bosnia and Herzegovina	103.7	Q225	23
Botswana	91.2	Q963	24
Brazil	109.6	Q155	25
Brunei Darussalam	115.4	Q921	26
Bulgaria	112.8	Q219	27
Burkina Faso	145.6	Q965	28
Burundi	155.7	Q967	29
Cabo Verde	112.4	Q1011	30
Cambodia	76.6	Q424	31
Cameroon	139.0	Q1009	32
Canada	105.0	Q16	33
Cayman Islands	62.8	Q5785	34
Central African Republic	77.9	Q929	35
Chad	113.5	Q657	36
Chile	196.9	Q298	37
China	92.3	Q148	38
Hong Kong SAR, China	97.5	Q8646	39
Macao SAR, China	88.1	Q14773	40
Colombia	111.3	Q739	41
Comoros	128.5	Q970	42
Congo, Dem. Rep.	112.4	Q974	43
Congo, Rep.	138.0	Q971	44
Costa Rica	99.9	Q800	45
Cote d'Ivoire	173.7	Q1008	46
Croatia	99.1	Q224	47
Cuba	180.9	Q241	48
Cyprus	90.2	Q229	49
Czech Republic	105.8	Q213	50
Denmark	100.8	Q35	51
Djibouti	99.7	Q977	52
Dominica	111.3	Q784	53
Dominican Republic	111.7	Q786	54
Ecuador	162.7	Q736	55
Egypt, Arab Rep.	146.4	Q79	56
El Salvador	206.9	Q792	57
Equatorial Guinea	119.8	Q983	58
Eritrea	79.6	Q986	59
Estonia	95.9	Q191	60
Ethiopia	144.7	Q115	61
Faroe Islands	119.7	Q4628	62
Fiji	113.3	Q712	63
Finland	92.5	Q33	64
France	90.6	Q142	65
French Polynesia	91.7	Q30971	66
Gabon	137.5	Q1000	67
Gambia, The	101.4	Q1005	68
Georgia	142.7	Q230	69
Germany	102.1	Q183	70
Ghana	177.0	Q117	71
Greece	88.5	Q41	72
Greenland	91.8	Q223	73
Grenada	105.3	Q769	74
Guam	106.5	Q16635	75
Guatemala	171.3	Q774	76
Guinea	103.3	Q1006	77
Guinea-Bissau	99.1	Q1007	78
Guyana	128.8	Q734	79
Haiti	249.7	Q790	80
Honduras	123.4	Q783	81
Hungary	102.0	Q28	82
Iceland	91.0	Q189	83
India	108.2	Q668	84
Indonesia	122.5	Q252	85
Iran, Islamic Rep.	123.6	Q794	86
Iraq	104.1	Q796	87
Ireland	94.3	Q27	88
Israel	114.0	Q801	89
Italy	105.6	Q38	90
Jamaica	86.3	Q766	91
Japan	72.3	Q17	92
Jordan	71.9	Q810	93
Kazakhstan	134.5	Q232	94
Kenya	104.1	Q114	95
Kiribati	111.6	Q710	96
Korea, Dem. Peopleâ€™s Rep.	66.5	Q423	97
Korea, Rep.	59.6	Q884	98
Kuwait	118.8	Q817	99
Kyrgyz Republic	130.3	Q813	100
Lao PDR	96.3	Q819	101
Latvia	106.6	Q211	102
Lebanon	110.9	Q822	103
Lesotho	86.0	Q1013	104
Liberia	126.5	Q1014	105
Libya	111.1	Q1016	106
Lithuania	101.4	Q37	107
Luxembourg	74.1	Q32	108
North Macedonia	97.0	Q221	109
Madagascar	84.4	Q1019	110
Malawi	120.0	Q1020	111
Malaysia	93.9	Q833	112
Maldives	102.5	Q826	113
Mali	173.5	Q912	114
Malta	141.7	Q233	115
Marshall Islands	109.5	Q709	116
Mauritania	131.3	Q1025	117
Mauritius	127.0	Q1027	118
Mexico	87.9	Q96	119
Micronesia, Fed. Sts.	114.0	Q702	120
Moldova	77.1	Q217	121
Mongolia	150.7	Q711	122
Morocco	137.0	Q1028	123
Mozambique	90.5	Q1029	124
Myanmar	93.2	Q836	125
Namibia	129.4	Q1030	126
Nepal	85.1	Q837	127
Netherlands	95.2	Q55	128
New Caledonia	156.0	Q33788	129
New Zealand	133.3	Q664	130
Nicaragua	182.4	Q811	131
Niger	156.0	Q1032	132
Nigeria	120.2	Q1033	133
Northern Mariana Islands	84.4	Q16644	134
Norway	109.7	Q20	135
Oman	105.8	Q842	136
Pakistan	62.8	Q843	137
Palau	97.9	Q695	138
Panama	156.4	Q804	139
Papua New Guinea	161.6	Q691	140
Paraguay	127.7	Q733	141
Peru	159.1	Q419	142
Philippines	84.2	Q928	143
Poland	100.3	Q36	144
Portugal	96.5	Q45	145
Qatar	115.0	Q846	146
Romania	109.7	Q218	147
Russian Federation	127.4	Q159	148
Rwanda	178.3	Q1037	149
Samoa	86.5	Q683	150
Sao Tome and Principe	130.4	Q1039	151
Saudi Arabia	82.1	Q851	152
Senegal	110.9	Q1041	153
Serbia	109.0	Q403	154
Seychelles	85.2	Q1042	155
Sierra Leone	52.4	Q1044	156
Singapore	89.5	Q334	157
Slovak Republic	93.8	Q214	158
Slovenia	97.1	Q215	159
Solomon Islands	92.1	Q685	160
Somalia	94.1	Q1045	161
South Africa	145.0	Q258	162
Spain	93.4	Q29	163
Sri Lanka	114.5	Q854	164
St. Kitts and Nevis	69.7	Q763	165
St. Lucia	110.6	Q760	166
St. Vincent and the Grenadines	103.1	Q757	167
Sudan	182.8	Q1049	168
Suriname	140.0	Q730	169
Eswatini	111.1	Q1050	170
Sweden	91.6	Q34	171
Switzerland	110.2	Q39	172
Syrian Arab Republic	148.0	Q858	173
Tajikistan	88.5	Q863	174
Tanzania	170.5	Q924	175
Thailand	104.5	Q869	176
Togo	125.1	Q945	177
Tonga	106.7	Q678	178
Trinidad and Tobago	118.8	Q754	179
Tunisia	124.5	Q948	180
Turkey	103.3	Q43	181
Turkmenistan	149.7	Q874	182
Turks and Caicos Islands	66.2	Q18221	183
Uganda	124.2	Q1036	184
Ukraine	83.4	Q212	185
United Arab Emirates	140.6	Q878	186
United Kingdom	98.4	Q145	187
United States	100.1	Q30	188
Uruguay	120.7	Q77	189
Uzbekistan	158.6	Q265	190
Vanuatu	102.9	Q686	191
Venezuela, RB	185.5	Q717	192
Vietnam	133.0	Q881	193
West Bank and Gaza	88.5	Q407199	194
Yemen, Rep.	131.5	Q805	195
Zambia	164.8	Q953	196
Zimbabwe	112.1	Q954	197
