Country	Consumption20002018	Consumption20172018	ID	id_row
Afghanistan	1.9	0.3	Q889	0
Albania	3.7	4.3	Q222	1
Angola	-0.1	7.8	Q916	2
Antigua and Barbuda	-0.3	2.6	Q781	3
Argentina	0.9	4.0	Q414	4
Armenia	-0.9	7.1	Q399	5
Australia	0.4	3.6	Q408	6
Austria	0.6	-0.3	Q40	7
Azerbaijan	-4.7	18.4	Q227	8
Bahamas, The	4.9	21.5	Q778	9
Bahrain	-2.2	15.1	Q398	10
Bangladesh	0.4	0.0	Q902	11
Barbados	0.8	2.1	Q244	12
Belarus	1.0	-0.1	Q184	13
Belgium	0.8	1.5	Q31	14
Belize	0.3	4.8	Q242	15
Benin	0.9	3.4	Q962	16
Bhutan	1.3	8.5	Q917	17
Bolivia	2.4	6.1	Q750	18
Bosnia and Herzegovina	7.0	-2.6	Q225	19
Botswana	2.8	6.5	Q963	20
Brazil	0.1	0.2	Q155	21
Brunei Darussalam	-0.6	2.9	Q921	22
Bulgaria	0.4	-1.3	Q219	23
Burkina Faso	3.2	6.6	Q965	24
Burundi	-1.2	1.4	Q967	25
Cabo Verde	1.8	-1.6	Q1011	26
Cambodia	5.4	7.3	Q424	27
Cameroon	3.3	2.6	Q1009	28
Canada	0.8	0.2	Q16	29
Central African Republic	7.0	-7.6	Q929	30
Chad	2.9	7.9	Q657	31
Chile	0.3	5.6	Q298	32
China	3.1	-11.3	Q148	33
Hong Kong SAR, China	-0.2	-0.4	Q8646	34
Macao SAR, China	0.8	22.1	Q14773	35
Colombia	0.8	6.5	Q739	36
Comoros	0.8	-0.2	Q970	37
Congo, Dem. Rep.	-3.6	12.8	Q974	38
Congo, Rep.	-1.4	2.1	Q971	39
Costa Rica	-0.7	0.4	Q800	40
Cote d'Ivoire	-6.0	-10.6	Q1008	41
Croatia	-0.8	-2.3	Q224	42
Cyprus	0.1	-12.0	Q229	43
Czech Republic	0.0	-2.3	Q213	44
Denmark	-0.3	0.7	Q35	45
Dominica	12.4	29.1	Q784	46
Dominican Republic	0.8	3.6	Q786	47
Ecuador	3.5	7.5	Q736	48
Egypt, Arab Rep.	-0.2	3.6	Q79	49
El Salvador	4.8	3.6	Q792	50
Equatorial Guinea	-1.2	-2.5	Q983	51
Estonia	1.6	-1.0	Q191	52
Eswatini	0.3	-1.9	Q1050	53
Ethiopia	6.8	10.8	Q115	54
Fiji	0.7	8.6	Q712	55
Finland	0.6	-1.1	Q33	56
France	1.0	1.4	Q142	57
Gabon	0.0	1.8	Q1000	58
Gambia, The	0.0	-1.3	Q1005	59
Georgia	0.5	0.6	Q230	60
Germany	0.2	1.5	Q183	61
Ghana	7.5	2.1	Q117	62
Greece	1.7	-3.6	Q41	63
Grenada	5.7	-1.4	Q769	64
Guatemala	3.5	0.9	Q774	65
Guinea	5.4	11.8	Q1006	66
Guinea-Bissau	-0.5	-7.4	Q1007	67
Guyana	1.7	0.4	Q734	68
Haiti	8.9	5.2	Q790	69
Honduras	0.7	6.2	Q783	70
Hungary	-0.3	-2.2	Q28	71
Iceland	1.8	8.0	Q189	72
India	0.2	6.4	Q668	73
Indonesia	1.6	5.5	Q252	74
Iraq	-2.8	4.8	Q796	75
Ireland	4.6	-0.3	Q27	76
Israel	-1.0	1.5	Q801	77
Italy	1.2	-0.7	Q38	78
Jamaica	-0.2	4.8	Q766	79
Japan	-0.1	-0.3	Q17	80
Jordan	-2.2	2.4	Q810	81
Kazakhstan	-1.6	12.7	Q232	82
Kenya	-0.9	1.5	Q114	83
Kiribati	-1.7	0.9	Q710	84
Korea, Rep.	0.9	2.9	Q884	85
Kosovo	1.7	2.1	Q1246	86
Kuwait	0.0	32.1	Q817	87
Kyrgyz Republic	0.8	-4.6	Q813	88
Lao PDR	3.1	4.3	Q819	89
Latvia	-0.6	-2.8	Q211	90
Lebanon	1.0	2.7	Q822	91
Lesotho	7.7	1.4	Q1013	92
Liberia	-0.3	2.8	Q1014	93
Libya	-1.3	0.7	Q1016	94
Lithuania	-0.2	-4.1	Q37	95
Luxembourg	3.2	0.7	Q32	96
Madagascar	4.3	-1.1	Q1019	97
Malawi	2.3	0.4	Q1020	98
Malaysia	0.1	3.6	Q833	99
Maldives	0.7	0.4	Q826	100
Mali	1.4	-0.1	Q912	101
Malta	-0.7	-5.9	Q233	102
Marshall Islands	-0.1	0.8	Q709	103
Mauritania	1.1	-1.8	Q1025	104
Mauritius	4.1	-1.3	Q1027	105
Mexico	1.5	3.5	Q96	106
Micronesia, Fed. Sts.	-0.9	11.1	Q702	107
Moldova	-3.4	9.1	Q217	108
Mongolia	-1.3	-17.6	Q711	109
Montenegro	1.7	0.6	Q236	110
Morocco	0.1	-0.1	Q1028	111
Mozambique	-2.4	-3.2	Q1029	112
Myanmar	9.6	51.0	Q836	113
Namibia	0.0	0.3	Q1030	114
Nepal	6.9	9.8	Q837	115
Netherlands	0.5	-0.3	Q55	116
New Zealand	-0.1	5.2	Q664	117
Nicaragua	0.2	3.5	Q811	118
Niger	0.7	16.9	Q1032	119
Nigeria	3.2	0.8	Q1033	120
North Macedonia	-0.5	2.8	Q221	121
Norway	0.9	-2.6	Q20	122
Oman	2.4	17.9	Q842	123
Pakistan	-4.2	0.3	Q843	124
Palau	0.2	-0.6	Q695	125
Panama	-1.2	5.3	Q804	126
Papua New Guinea	1.0	1.6	Q691	127
Paraguay	3.2	1.3	Q733	128
Peru	0.6	5.1	Q419	129
Philippines	-0.1	8.0	Q928	130
Poland	-1.3	0.9	Q36	131
Portugal	0.9	0.7	Q45	132
Puerto Rico	2.0	0.1	Q1183	133
Qatar	2.0	3.6	Q846	134
Romania	-0.5	1.6	Q218	135
