Country	Ages014	Ages1564	Ages65	ID	id_row
Afghanistan	42.0	55.0	3.0	Q889	0
Albania	17.0	68.0	14.0	Q222	1
Algeria	31.0	63.0	7.0	Q262	2
Angola	47.0	51.0	2.0	Q916	3
Antigua and Barbuda	22.0	69.0	9.0	Q781	4
Argentina	25.0	64.0	11.0	Q414	5
Armenia	21.0	68.0	11.0	Q399	6
Aruba	18.0	68.0	14.0	Q21203	7
Australia	19.0	65.0	16.0	Q408	8
Austria	14.0	67.0	19.0	Q40	9
Azerbaijan	23.0	70.0	6.0	Q227	10
Bahamas, The	22.0	70.0	7.0	Q778	11
Bahrain	19.0	79.0	3.0	Q398	12
Bangladesh	27.0	68.0	5.0	Q902	13
Barbados	17.0	67.0	16.0	Q244	14
Belarus	17.0	68.0	15.0	Q184	15
Belgium	17.0	64.0	19.0	Q31	16
Belize	30.0	65.0	5.0	Q242	17
Benin	42.0	55.0	3.0	Q962	18
Bhutan	25.0	69.0	6.0	Q917	19
Bolivia	31.0	62.0	7.0	Q750	20
Bosnia and Herzegovina	15.0	68.0	17.0	Q225	21
Botswana	34.0	62.0	4.0	Q963	22
Brazil	21.0	70.0	9.0	Q155	23
Brunei Darussalam	23.0	72.0	5.0	Q921	24
Bulgaria	15.0	64.0	21.0	Q219	25
Burkina Faso	45.0	53.0	2.0	Q965	26
Burundi	45.0	52.0	2.0	Q967	27
Cabo Verde	28.0	67.0	5.0	Q1011	28
Cambodia	31.0	64.0	5.0	Q424	29
Cameroon	42.0	55.0	3.0	Q1009	30
Canada	16.0	67.0	18.0	Q16	31
Central African Republic	44.0	53.0	3.0	Q929	32
Chad	47.0	51.0	2.0	Q657	33
Channel Islands	15.0	67.0	18.0	Q42314	34
Chile	19.0	69.0	12.0	Q298	35
China	18.0	71.0	11.0	Q148	36
Hong Kong SAR, China	12.0	70.0	17.0	Q8646	37
Macao SAR, China	14.0	75.0	11.0	Q14773	38
Colombia	23.0	69.0	9.0	Q739	39
Comoros	39.0	58.0	3.0	Q970	40
Congo, Dem. Rep.	46.0	51.0	3.0	Q974	41
Congo, Rep.	42.0	56.0	3.0	Q971	42
Costa Rica	21.0	69.0	10.0	Q800	43
Cote d'Ivoire	42.0	55.0	3.0	Q1008	44
Croatia	15.0	65.0	21.0	Q224	45
Cuba	16.0	68.0	16.0	Q241	46
Curacao	18.0	64.0	17.0	Q25279	47
Cyprus	17.0	69.0	14.0	Q229	48
Czech Republic	16.0	64.0	20.0	Q213	49
Denmark	16.0	64.0	20.0	Q35	50
Djibouti	29.0	66.0	5.0	Q977	51
Dominican Republic	28.0	65.0	7.0	Q786	52
Ecuador	28.0	65.0	7.0	Q736	53
Egypt, Arab Rep.	34.0	61.0	5.0	Q79	54
El Salvador	27.0	65.0	8.0	Q792	55
Equatorial Guinea	37.0	61.0	2.0	Q983	56
Estonia	16.0	64.0	20.0	Q191	57
Eswatini	38.0	58.0	4.0	Q1050	58
Ethiopia	40.0	56.0	4.0	Q115	59
Fiji	29.0	65.0	6.0	Q712	60
Finland	16.0	62.0	22.0	Q33	61
France	18.0	62.0	20.0	Q142	62
French Polynesia	23.0	69.0	9.0	Q30971	63
Gabon	37.0	59.0	4.0	Q1000	64
Gambia, The	44.0	53.0	3.0	Q1005	65
Georgia	20.0	65.0	15.0	Q230	66
Germany	14.0	65.0	22.0	Q183	67
Ghana	37.0	60.0	3.0	Q117	68
Greece	14.0	64.0	22.0	Q41	69
Grenada	24.0	67.0	10.0	Q769	70
Guam	24.0	66.0	10.0	Q16635	71
Guatemala	34.0	61.0	5.0	Q774	72
Guinea	43.0	54.0	3.0	Q1006	73
Guinea-Bissau	42.0	55.0	3.0	Q1007	74
Guyana	28.0	65.0	7.0	Q734	75
Haiti	33.0	62.0	5.0	Q790	76
Honduras	31.0	64.0	5.0	Q783	77
Hungary	14.0	66.0	20.0	Q28	78
Iceland	20.0	65.0	15.0	Q189	79
India	27.0	67.0	6.0	Q668	80
Indonesia	26.0	68.0	6.0	Q252	81
Iran, Islamic Rep.	25.0	69.0	6.0	Q794	82
Iraq	38.0	59.0	3.0	Q796	83
Ireland	21.0	65.0	14.0	Q27	84
Israel	28.0	60.0	12.0	Q801	85
Italy	13.0	64.0	23.0	Q38	86
Jamaica	24.0	68.0	9.0	Q766	87
Japan	13.0	59.0	28.0	Q17	88
Jordan	34.0	63.0	4.0	Q810	89
Kazakhstan	29.0	63.0	8.0	Q232	90
Kenya	39.0	58.0	2.0	Q114	91
Kiribati	36.0	60.0	4.0	Q710	92
Korea, Dem. Peopleâ€™s Rep.	20.0	71.0	9.0	Q423	93
Korea, Rep.	13.0	72.0	15.0	Q884	94
Kuwait	22.0	76.0	3.0	Q817	95
Kyrgyz Republic	33.0	63.0	5.0	Q813	96
Lao PDR	32.0	64.0	4.0	Q819	97
Latvia	16.0	63.0	20.0	Q211	98
Lebanon	26.0	67.0	7.0	Q822	99
Lesotho	32.0	63.0	5.0	Q1013	100
Liberia	41.0	56.0	3.0	Q1014	101
Libya	28.0	67.0	4.0	Q1016	102
Lithuania	15.0	65.0	20.0	Q37	103
Luxembourg	16.0	70.0	14.0	Q32	104
Madagascar	40.0	57.0	3.0	Q1019	105
Malawi	43.0	54.0	3.0	Q1020	106
Malaysia	24.0	69.0	7.0	Q833	107
Maldives	20.0	76.0	4.0	Q826	108
Mali	47.0	50.0	2.0	Q912	109
Malta	14.0	65.0	21.0	Q233	110
Mauritania	40.0	57.0	3.0	Q1025	111
Mauritius	17.0	71.0	12.0	Q1027	112
Mexico	26.0	66.0	7.0	Q96	113
Micronesia, Fed. Sts.	31.0	64.0	4.0	Q702	114
Moldova	16.0	72.0	12.0	Q217	115
Mongolia	31.0	65.0	4.0	Q711	116
Montenegro	18.0	66.0	15.0	Q236	117
Morocco	27.0	66.0	7.0	Q1028	118
Mozambique	44.0	53.0	3.0	Q1029	119
Myanmar	26.0	68.0	6.0	Q836	120
Namibia	37.0	59.0	4.0	Q1030	121
Nepal	30.0	65.0	6.0	Q837	122
Netherlands	16.0	65.0	20.0	Q55	123
New Caledonia	22.0	68.0	9.0	Q33788	124
New Zealand	20.0	64.0	16.0	Q664	125
Nicaragua	30.0	65.0	5.0	Q811	126
Niger	50.0	48.0	3.0	Q1032	127
Nigeria	44.0	54.0	3.0	Q1033	128
North Macedonia	16.0	70.0	14.0	Q221	129
Norway	17.0	65.0	17.0	Q20	130
Oman	22.0	75.0	2.0	Q842	131
Pakistan	35.0	61.0	4.0	Q843	132
Panama	27.0	65.0	8.0	Q804	133
Papua New Guinea	35.0	61.0	4.0	Q691	134
Paraguay	29.0	64.0	7.0	Q733	135
Peru	25.0	66.0	8.0	Q419	136
Philippines	30.0	64.0	5.0	Q928	137
Poland	15.0	67.0	18.0	Q36	138
Portugal	13.0	64.0	22.0	Q45	139
Puerto Rico	16.0	64.0	20.0	Q1183	140
Qatar	14.0	85.0	2.0	Q846	141
Romania	16.0	66.0	19.0	Q218	142
Russian Federation	18.0	67.0	15.0	Q159	143
Rwanda	40.0	57.0	3.0	Q1037	144
Samoa	38.0	57.0	5.0	Q683	145
Sao Tome and Principe	42.0	55.0	3.0	Q1039	146
Saudi Arabia	25.0	72.0	3.0	Q851	147
Senegal	43.0	54.0	3.0	Q1041	148
Serbia	16.0	66.0	19.0	Q403	149
Seychelles	24.0	68.0	8.0	Q1042	150
Sierra Leone	41.0	56.0	3.0	Q1044	151
Singapore	12.0	75.0	12.0	Q334	152
Slovak Republic	16.0	68.0	16.0	Q214	153
Slovenia	15.0	65.0	20.0	Q215	154
Solomon Islands	40.0	56.0	4.0	Q685	155
Somalia	46.0	51.0	3.0	Q1045	156
South Africa	29.0	66.0	5.0	Q258	157
South Sudan	42.0	55.0	3.0	Q958	158
Spain	15.0	66.0	20.0	Q29	159
Sri Lanka	24.0	65.0	11.0	Q854	160
St. Lucia	18.0	72.0	10.0	Q760	161
St. Vincent and the Grenadines	22.0	68.0	10.0	Q757	162
Sudan	40.0	56.0	4.0	Q1049	163
Suriname	27.0	66.0	7.0	Q730	164
Sweden	18.0	62.0	20.0	Q34	165
Switzerland	15.0	66.0	19.0	Q39	166
Syrian Arab Republic	31.0	64.0	5.0	Q858	167
Tajikistan	37.0	60.0	3.0	Q863	168
Tanzania	44.0	54.0	3.0	Q924	169
Thailand	17.0	71.0	12.0	Q869	170
Timor-Leste	37.0	58.0	4.0	Q574	171
Togo	41.0	56.0	3.0	Q945	172
Tonga	35.0	59.0	6.0	Q678	173
Trinidad and Tobago	20.0	69.0	11.0	Q754	174
Tunisia	24.0	67.0	9.0	Q948	175
Turkey	24.0	67.0	9.0	Q43	176
Turkmenistan	31.0	65.0	5.0	Q874	177
Uganda	47.0	52.0	2.0	Q1036	178
Ukraine	16.0	67.0	17.0	Q212	179
United Arab Emirates	15.0	84.0	1.0	Q878	180
United Kingdom	18.0	64.0	19.0	Q145	181
United States	19.0	65.0	16.0	Q30	182
Uruguay	20.0	65.0	15.0	Q77	183
Uzbekistan	29.0	67.0	5.0	Q265	184
Vanuatu	39.0	58.0	4.0	Q686	185
Venezuela, RB	27.0	65.0	8.0	Q717	186
Vietnam	23.0	69.0	8.0	Q881	187
Virgin Islands (U.S.)	19.0	61.0	20.0	Q11703	188
West Bank and Gaza	39.0	58.0	3.0	Q407199	189
Yemen, Rep.	39.0	58.0	3.0	Q805	190
Zambia	44.0	53.0	2.0	Q953	191
Zimbabwe	42.0	55.0	3.0	Q954	192
